Date: 20.2.2020 , In use by: Mena
Daytime: 11:49:15, Temperature: 25°C
ID, strain4A, strain4B, loadcell x, temp [°C], runtime [ms]
BASELINE Time: 11:49:23
94, 1799015.00, 9704330.00, 8492538.00,25, 9617
95, 1798864.00, 9704262.00, 8492581.00,25, 9722
96, 1798705.00, 9704084.00, 8492530.00,25, 9826
97, 1798524.00, 9703990.00, 8492640.00,25, 9931
98, 1798344.00, 9703825.00, 8492596.00,25, 10035
99, 1798271.00, 9703750.00, 8492653.00,25, 10140
100, 1798229.00, 9703578.00, 8492577.00,25, 10245
101, 1798064.00, 9703529.00, 8492388.00,25, 10349
102, 1797908.00, 9703417.00, 8492654.00,25, 10454
103, 1797792.00, 9703309.00, 8492391.00,25, 10558
104, 1797588.00, 9703182.00, 8492304.00,25, 10663
105, 1797438.00, 9703080.00, 8492569.00,25, 10767
106, 1797350.00, 9702913.00, 8492618.00,25, 10872
107, 1797276.00, 9702780.00, 8492490.00,25, 10976
108, 1797130.00, 9702695.00, 8492536.00,25, 11081
109, 1796997.00, 9702548.00, 8492381.00,25, 11186
110, 1796875.00, 9702432.00, 8492569.00,25, 11290
111, 1796748.00, 9702383.00, 8492725.00,25, 11395
112, 1796617.00, 9702306.00, 8492511.00,25, 11499
113, 1796470.00, 9702214.00, 8492446.00,25, 11604
114, 1796413.00, 9702102.00, 8492494.00,25, 11708
115, 1796301.00, 9701962.00, 8492731.00,25, 11813
116, 1796097.00, 9701863.00, 8492655.00,25, 11917
117, 1795961.00, 9701804.00, 8492342.00,25, 12022
118, 1795874.00, 9701745.00, 8492346.00,25, 12127
119, 1795802.00, 9701699.00, 8492514.00,25, 12231
120, 1795662.00, 9701621.00, 8492518.00,25, 12336
121, 1795551.00, 9701582.00, 8492427.00,25, 12440
122, 1795411.00, 9701426.00, 8492337.00,25, 12545
123, 1795294.00, 9701364.00, 8492432.00,25, 12649
124, 1795179.00, 9701305.00, 8492405.00,25, 12754
125, 1794990.00, 9701189.00, 8492449.00,25, 12858
126, 1794844.00, 9701115.00, 8492454.00,25, 12963
127, 1794771.00, 9701062.00, 8492539.00,25, 13068
128, 1794636.00, 9700976.00, 8492642.00,25, 13172
129, 1794504.00, 9700888.00, 8492475.00,25, 13277
130, 1794414.00, 9700789.00, 8492444.00,25, 13381
131, 1794201.00, 9700677.00, 8492276.00,25, 13486
132, 1794053.00, 9700532.00, 8492408.00,25, 13590
133, 1793999.00, 9700526.00, 8492637.00,25, 13695
134, 1793614.00, 9700373.00, 8492729.00,25, 13799
135, 1793376.00, 9699898.00, 8492816.00,25, 13904
136, 1793534.00, 9700168.00, 8492654.00,25, 14008
BASELINE Time: 11:49:37
RECORDING Time: 11:49:47
1, 1783077.00, 9692246.00, 8492423.00,25, 0
2, 1782951.00, 9692227.00, 8492556.00,25, 0
3, 1782544.00, 9692310.00, 8492593.00,25, 104
4, 1782443.00, 9692093.00, 8492520.00,25, 209
5, 1782506.00, 9691941.00, 8492549.00,25, 314
6, 1782426.00, 9691823.00, 8492710.00,25, 418
7, 1782295.00, 9691665.00, 8492726.00,25, 523
8, 1782146.00, 9691542.00, 8492762.00,25, 627
9, 1782029.00, 9691269.00, 8492664.00,25, 732
10, 1781863.00, 9691273.00, 8492479.00,25, 837
11, 1781755.00, 9691160.00, 8492833.00,25, 941
12, 1781660.00, 9691066.00, 8492942.00,25, 1046
13, 1781593.00, 9691075.00, 8492634.00,25, 1150
14, 1781523.00, 9690967.00, 8492530.00,25, 1255
15, 1781385.00, 9690806.00, 8492349.00,25, 1360
16, 1781305.00, 9690699.00, 8492422.00,25, 1464
17, 1781215.00, 9690601.00, 8492627.00,25, 1569
18, 1781085.00, 9690523.00, 8492595.00,25, 1673
19, 1780998.00, 9690411.00, 8492729.00,25, 1778
20, 1780921.00, 9690426.00, 8492676.00,25, 1883
21, 1780909.00, 9690301.00, 8492417.00,25, 1987
22, 1780802.00, 9690230.00, 8492708.00,25, 2092
23, 1780759.00, 9690153.00, 8492677.00,25, 2196
24, 1780730.00, 9690107.00, 8492572.00,25, 2301
25, 1780776.00, 9690166.00, 8492668.00,25, 2405
26, 1780935.00, 9690246.00, 8492714.00,25, 2510
27, 1780749.00, 9690014.00, 8492646.00,25, 2615
28, 1780502.00, 9689886.00, 8492667.00,25, 2719
29, 1780397.00, 9689861.00, 8492506.00,25, 2824
30, 1780305.00, 9689807.00, 8492428.00,25, 2928
31, 1780185.00, 9689648.00, 8492599.00,25, 3033
32, 1780149.00, 9689532.00, 8492653.00,25, 3138
33, 1780055.00, 9689399.00, 8492414.00,25, 3242
34, 1780023.00, 9689163.00, 8492300.00,25, 3347
35, 1779991.00, 9689266.00, 8492434.00,25, 3451
36, 1780113.00, 9688878.00, 8492565.00,25, 3556
37, 1780186.00, 9689115.00, 8492638.00,25, 3660
38, 1780046.00, 9688895.00, 8492568.00,25, 3765
39, 1780020.00, 9688723.00, 8492600.00,25, 3870
40, 1779938.00, 9688786.00, 8492489.00,25, 3974
41, 1779787.00, 9688395.00, 8492539.00,25, 4079
42, 1779637.00, 9688374.00, 8492516.00,25, 4183
43, 1779519.00, 9688591.00, 8492871.00,25, 4288
