Date: 20.2.2020 , In use by: Mena
Daytime: 11:13:11, Temperature: 25°C
ID, strain4A, strain4B, loadcell x, temp [°C], runtime [ms]
BASELINE Time: 11:13:31
1, 5838837.00, 9358678.00, 8493069.00,25, 0
2, 5838800.00, 9358666.00, 8493011.00,25, 0
3, 5838607.00, 9358609.00, 8492937.00,25, 105
4, 5838438.00, 9358512.00, 8492940.00,25, 209
5, 5838307.00, 9358482.00, 8493027.00,25, 314
6, 5838141.00, 9358439.00, 8493035.00,25, 418
7, 5838058.00, 9358371.00, 8493113.00,25, 523
8, 5838000.00, 9358375.00, 8493091.00,25, 628
9, 5838005.00, 9358337.00, 8493006.00,25, 732
10, 5837968.00, 9358304.00, 8492927.00,25, 837
11, 5837979.00, 9358228.00, 8492965.00,25, 941
12, 5837906.00, 9357985.00, 8493179.00,25, 1046
13, 5837837.00, 9357948.00, 8493126.00,25, 1150
14, 5837790.00, 9357891.00, 8493102.00,25, 1255
15, 5837719.00, 9357786.00, 8493038.00,25, 1360
16, 5837610.00, 9357779.00, 8493011.00,25, 1464
17, 5837615.00, 9357713.00, 8492970.00,25, 1569
18, 5837521.00, 9357664.00, 8492988.00,25, 1673
19, 5837368.00, 9357571.00, 8493010.00,25, 1778
20, 5837314.00, 9357626.00, 8493089.00,25, 1883
21, 5837206.00, 9357641.00, 8493156.00,25, 1987
22, 5837212.00, 9357590.00, 8493124.00,25, 2092
23, 5837204.00, 9357520.00, 8493063.00,25, 2196
24, 5837191.00, 9357501.00, 8493013.00,25, 2301
25, 5837172.00, 9357431.00, 8493046.00,25, 2406
26, 5837097.00, 9357425.00, 8493106.00,25, 2510
27, 5837063.00, 9357315.00, 8493076.00,25, 2615
28, 5837107.00, 9357192.00, 8493033.00,25, 2719
29, 5837108.00, 9357143.00, 8493158.00,25, 2824
30, 5837026.00, 9357140.00, 8493147.00,25, 2929
31, 5836964.00, 9357073.00, 8493120.00,25, 3033
32, 5836934.00, 9357021.00, 8493085.00,25, 3138
33, 5836947.00, 9357017.00, 8493181.00,25, 3242
34, 5836926.00, 9357062.00, 8493092.00,25, 3347
35, 5836895.00, 9356970.00, 8492986.00,25, 3451
36, 5836873.00, 9356810.00, 8493083.00,25, 3556
37, 5836852.00, 9356730.00, 8493047.00,25, 3661
38, 5836850.00, 9356714.00, 8493031.00,25, 3765
39, 5836842.00, 9356645.00, 8493114.00,25, 3870
40, 5836837.00, 9356586.00, 8493122.00,25, 3974
41, 5836852.00, 9356516.00, 8493113.00,25, 4079
42, 5836806.00, 9356499.00, 8492954.00,25, 4184
43, 5836771.00, 9356431.00, 8492918.00,25, 4288
44, 5836789.00, 9356339.00, 8493015.00,25, 4393
45, 5836783.00, 9356281.00, 8493032.00,25, 4497
46, 5836710.00, 9356268.00, 8492993.00,25, 4602
47, 5836675.00, 9356224.00, 8493010.00,25, 4707
48, 5836662.00, 9356161.00, 8493014.00,25, 4811
