150,681	14,084
150,747	14,085
150,834	14,086
150,866	14,087
150,859	14,088
150,666	14,088
150,277	14,089
149,990	14,089
149,727	14,089
149,535	14,089
149,440	14,089
149,392	14,088
149,562	14,088
149,688	14,087
149,690	14,086
149,572	14,085
149,285	14,084
148,955	14,083
148,454	14,082
147,867	14,080
147,397	14,079
146,966	14,077
146,656	14,075
146,344	14,073
146,173	14,071
146,035	14,069
145,795	14,066
145,529	14,064
145,199	14,061
144,732	14,058
144,096	14,055
143,400	14,052
142,668	14,049
141,839	14,046
141,030	14,042
140,396	14,038
139,866	14,034
139,459	14,031
139,105	14,027
138,818	14,022
138,523	14,018
138,087	14,014
137,499	14,009
136,701	14,004
135,807	13,999
134,812	13,994
133,764	13,989
132,865	13,984
132,035	13,978
131,320	13,973
130,646	13,967
130,045	13,961
129,483	13,956
128,874	13,949
128,180	13,943
127,531	13,937
126,817	13,930
126,083	13,924
125,295	13,917
124,334	13,910
123,363	13,903
122,406	13,896
121,423	13,889
120,461	13,881
119,413	13,873
118,443	13,866
117,608	13,858
116,659	13,850
115,715	13,842
114,883	13,834
114,161	13,825
113,412	13,817
112,605	13,808
111,908	13,800
111,276	13,791
110,415	13,782
109,620	13,772
108,804	13,763
107,940	13,754
106,861	13,744
105,820	13,734
104,775	13,725
103,587	13,715
102,510	13,705
101,484	13,694
100,513	13,684
99,530	13,674
98,684	13,663
98,010	13,652
97,271	13,642
96,630	13,631
96,111	13,619
95,636	13,608
95,266	13,597
94,903	13,585
94,571	13,574
94,274	13,562
93,988	13,550
93,674	13,538
93,362	13,526
93,042	13,514
92,838	13,501
92,536	13,489
92,361	13,476
92,169	13,463
91,945	13,450
91,657	13,437
91,323	13,424
91,060	13,411
90,715	13,398
90,407	13,384
90,237	13,370
90,007	13,357
89,775	13,343
89,552	13,329
89,329	13,315
89,083	13,300
88,728	13,286
88,517	13,271
88,345	13,257
88,114	13,242
87,864	13,227
87,663	13,212
87,393	13,197
87,119	13,182
86,787	13,166
86,517	13,151
86,312	13,135
86,172	13,119
85,928	13,104
85,677	13,088
85,447	13,072
85,232	13,055
84,824	13,039
84,395	13,023
84,180	13,006
83,950	12,989
83,728	12,973
83,505	12,956
83,409	12,939
83,198	12,922
82,882	12,904
82,674	12,887
82,412	12,869
82,122	12,852
81,858	12,834
81,592	12,816
81,362	12,798
81,062	12,780
80,839	12,762
80,645	12,744
80,315	12,725
80,097	12,707
79,924	12,688
79,682	12,669
79,435	12,651
79,114	12,632
78,898	12,613
78,579	12,593
78,293	12,574
78,071	12,555
77,811	12,535
77,684	12,515
77,433	12,496
77,229	12,476
76,948	12,456
76,652	12,436
76,327	12,416
75,929	12,395
75,672	12,375
75,472	12,354
75,280	12,334
75,089	12,313
74,843	12,292
74,609	12,272
74,424	12,250
74,146	12,229
73,976	12,208
73,646	12,187
73,438	12,165
73,193	12,144
72,851	12,122
72,683	12,100
72,370	12,078
72,164	12,057
71,918	12,034
71,744	12,012
71,677	11,990
71,408	11,968
71,095	11,945
70,883	11,923
70,546	11,900
70,212	11,877
69,845	11,855
69,525	11,832
69,334	11,809
69,083	11,785
69,006	11,762
68,832	11,739
68,644	11,715
68,477	11,692
68,257	11,668
67,997	11,645
67,624	11,621
67,380	11,597
67,119	11,573
66,915	11,549
66,775	11,525
66,610	11,500
66,418	11,476
66,094	11,452
65,802	11,427
65,542	11,402
65,209	11,378
64,875	11,353
64,614	11,328
64,431	11,303
64,346	11,278
64,091	11,253
63,925	11,228
63,803	11,202
63,693	11,177
63,465	11,152
63,132	11,126
62,916	11,100
62,648	11,075
62,515	11,049
62,333	11,023
62,167	10,997
62,030	10,971
61,876	10,945
61,690	10,918
61,452	10,892
61,298	10,866
61,086	10,839
60,922	10,813
60,663	10,786
60,522	10,759
60,238	10,733
59,861	10,706
59,597	10,679
59,312	10,652
59,159	10,625
58,795	10,598
58,620	10,570
58,500	10,543
58,435	10,516
58,167	10,488
57,928	10,461
57,755	10,433
57,534	10,405
57,336	10,378
57,110	10,350
56,991	10,322
56,827	10,294
56,650	10,266
56,479	10,238
56,220	10,210
55,982	10,181
55,681	10,153
55,346	10,125
55,041	10,096
54,669	10,068
54,338	10,039
53,992	10,011
53,813	9,982
53,706	9,953
53,559	9,924
53,618	9,895
53,645	9,867
53,499	9,838
53,384	9,809
53,217	9,779
52,986	9,750
52,551	9,721
52,228	9,692
52,083	9,662
51,873	9,633
51,647	9,603
51,522	9,574
51,412	9,544
51,273	9,515
50,948	9,485
50,669	9,455
50,350	9,425
50,024	9,396
49,716	9,366
49,422	9,336
49,247	9,306
48,976	9,276
48,813	9,245
48,697	9,215
48,494	9,185
48,293	9,155
48,185	9,124
48,094	9,094
47,964	9,064
47,701	9,033
47,540	9,003
47,412	8,972
47,159	8,942
46,842	8,911
46,597	8,880
46,528	8,850
46,348	8,819
46,089	8,788
46,028	8,757
45,868	8,726
45,583	8,695
45,219	8,664
45,120	8,633
45,000	8,602
44,741	8,571
44,685	8,540
44,762	8,509
44,937	8,478
44,934	8,446
44,899	8,415
44,783	8,384
44,676	8,352
44,409	8,321
44,088	8,289
43,696	8,258
43,311	8,226
42,999	8,195
42,709	8,163
42,395	8,132
42,269	8,100
42,204	8,069
42,177	8,037
42,157	8,005
42,014	7,973
42,015	7,942
41,808	7,910
41,616	7,878
41,481	7,846
41,333	7,814
41,275	7,782
41,081	7,751
41,049	7,719
40,958	7,687
40,802	7,655
40,701	7,623
40,690	7,591
40,795	7,559
40,726	7,527
40,506	7,494
40,412	7,462
40,260	7,430
40,036	7,398
