Date: 27.3.2020 , In use by: Mena
Daytime: 11:4:19, Temperature: 25°C
ID, strain1, strain2, strain3, strain4, strain5, strain6, temp [°C], runtime [ms]
BASELINE Time: 11:4:27
1, 6710470.00, 6364657.00, 8397932.00, 4963696.00, 0.00, 16777215.00, 25, 0
2, 6720489.00, 6363198.00, 8397918.00, 4980908.00, 0.00, 16777215.00, 25, 0
3, 6710925.00, 6355373.00, 8397922.00, 4979525.00, 0.00, 16777215.00, 25, 272
4, 6706528.00, 6351390.00, 8397914.00, 4980088.00, 0.00, 16777215.00, 25, 635
5, 6702536.00, 6351629.00, 8397986.00, 4972693.00, 0.00, 16777215.00, 25, 907
6, 6717171.00, 6365411.00, 8397792.00, 4959419.00, 0.00, 16777215.00, 25, 1179
7, 6741355.00, 6386190.00, 8397995.00, 5014122.00, 0.00, 16777215.00, 25, 1452
8, 6764848.00, 6404482.00, 8398062.00, 5031127.00, 0.00, 16777215.00, 25, 1724
9, 6771118.00, 6418013.00, 8398030.00, 5082441.00, 0.00, 16777215.00, 25, 2087
10, 6761237.00, 6413888.00, 8397967.00, 5101834.00, 0.00, 16777215.00, 25, 2360
11, 6761505.00, 6415186.00, 8397891.00, 5108201.00, 0.00, 16777215.00, 25, 2541
12, 6768298.00, 6418790.00, 8397939.00, 5096959.00, 0.00, 16777215.00, 25, 2813
13, 6771345.00, 6421829.00, 8398038.00, 5087985.00, 0.00, 16777215.00, 25, 3085
14, 6772203.00, 6417078.00, 8397986.00, 5073784.00, 0.00, 16777215.00, 25, 3358
15, 6769942.00, 6414103.00, 8397890.00, 5075218.00, 0.00, 16777215.00, 25, 3630
16, 6769002.00, 6411847.00, 8397998.00, 5075187.00, 0.00, 16777215.00, 25, 3812
17, 6754633.00, 6396639.00, 8397934.00, 5061734.00, 0.00, 16777215.00, 25, 4084
18, 6756646.00, 6386360.00, 8397949.00, 5015966.00, 0.00, 16777215.00, 25, 4447
19, 6749959.00, 6369964.00, 8398070.00, 5016634.00, 0.00, 16777215.00, 25, 4810
20, 6740268.00, 6355327.00, 8397853.00, 4970605.00, 0.00, 16777215.00, 25, 5082
21, 6731980.00, 6342960.00, 8398049.00, 4930910.00, 0.00, 16777215.00, 25, 5446
22, 6741195.00, 6353433.00, 8397918.00, 4947435.00, 0.00, 16777215.00, 25, 5718
23, 6733476.00, 6345580.00, 8397933.00, 4944073.00, 0.00, 16777215.00, 25, 6081
24, 6742275.00, 6355212.00, 8397944.00, 4983814.00, 0.00, 16777215.00, 25, 6353
25, 6737031.00, 6333440.00, 8397935.00, 4898830.00, 0.00, 16777215.00, 25, 6971
26, 6740345.00, 6334134.00, 8397936.00, 4914532.00, 0.00, 16777215.00, 25, 7152
27, 6750130.00, 6350414.00, 8397842.00, 4957890.00, 0.00, 16777215.00, 25, 7425
28, 6759695.00, 6362774.00, 8397931.00, 4990640.00, 0.00, 16777215.00, 25, 7697
29, 6760982.00, 6361046.00, 8397955.00, 4979884.00, 0.00, 16777215.00, 25, 8060
30, 6758120.00, 6360319.00, 8397908.00, 4986836.00, 0.00, 16777215.00, 25, 8332
31, 6763751.00, 6362049.00, 8397991.00, 4986005.00, 0.00, 16777215.00, 25, 8696
32, 6754038.00, 6354395.00, 8397896.00, 4975543.00, 0.00, 16777215.00, 25, 8968
BASELINE Time: 11:4:37
RECORDING Time: 11:4:39
1, 6744545.00, 6354529.00, 8397935.00, 5066007.00, 0.00, 16777215.00, 25, 0
2, 6746822.00, 6359487.00, 8398020.00, 5137903.00, 0.00, 16777215.00, 25, 0
3, 6758497.00, 6372992.00, 8397955.00, 5127839.00, 0.00, 16777215.00, 25, 363
4, 6773296.00, 6367418.00, 8397916.00, 4871217.00, 47.00, 16777215.00, 25, 726
5, 6751245.00, 6314221.00, 8397984.00, 4775819.00, 0.00, 16777215.00, 25, 998
6, 6703840.00, 6265427.00, 8397989.00, 4978573.00, 0.00, 16777215.00, 25, 1180
7, 6744856.00, 6309416.00, 8397984.00, 5565069.00, 0.00, 16777215.00, 25, 1452
8, 6862073.00, 6315380.00, 8397922.00, 6171073.00, 0.00, 16777215.00, 25, 1724
9, 6868479.00, 6269908.00, 8397944.00, 6564318.00, 0.00, 16777215.00, 25, 1906
10, 6976894.00, 6329684.00, 8397797.00, 6476827.00, 0.00, 16777215.00, 25, 2178
11, 6875518.00, 6303235.00, 8397967.00, 5455682.00, 13344.00, 16777215.00, 25, 2451
12, 6795489.00, 6286371.00, 8398020.00, 5055524.00, 0.00, 16777215.00, 25, 2723
13, 6747957.00, 6288018.00, 8397909.00, 4901384.00, 0.00, 16777215.00, 25, 2905
14, 6721747.00, 6288114.00, 8397989.00, 4858167.00, 0.00, 16777215.00, 25, 3086
15, 6729203.00, 6309254.00, 8397941.00, 4936769.00, 0.00, 16777215.00, 25, 3268
16, 6728839.00, 6282837.00, 8397967.00, 5100647.00, 0.00, 16777215.00, 25, 3540
17, 6754133.00, 6246720.00, 8397984.00, 5718780.00, 0.00, 16777215.00, 25, 3812
18, 6900976.00, 6290971.00, 8397951.00, 6068912.00, 0.00, 16777215.00, 25, 4266
19, 6839297.00, 6254173.00, 8398003.00, 5790521.00, 0.00, 16777215.00, 25, 4629
20, 6804173.00, 6255240.00, 8398018.00, 5072885.00, 0.00, 16777215.00, 25, 4993
21, 6724742.00, 6230435.00, 8398039.00, 4894692.00, 0.00, 16777215.00, 25, 5265
22, 6724076.00, 6352313.00, 8398022.00, 4818210.00, 0.00, 16777215.00, 25, 5537
23, 6745634.00, 6395942.00, 8398039.00, 4796465.00, 0.00, 16777215.00, 25, 5810
24, 6749294.00, 6396932.00, 8398010.00, 4781163.00, 0.00, 16777215.00, 25, 5991
25, 6741290.00, 6377243.00, 8398002.00, 4874663.00, 0.00, 16777215.00, 25, 6264
26, 6747589.00, 6335216.00, 8398045.00, 5046168.00, 0.00, 16777215.00, 25, 6536
27, 6772381.00, 6312079.00, 8398124.00, 5378751.00, 0.00, 16777215.00, 25, 6718
28, 6884980.00, 6351260.00, 8398026.00, 6200689.00, 0.00, 16777215.00, 25, 6990
29, 6906961.00, 8388607.00, 8398130.00, 6190587.00, 0.00, 16777215.00, 25, 7262
30, 6877903.00, 6316044.00, 8397942.00, 5838784.00, 0.00, 16777215.00, 25, 7626
31, 6830263.00, 6284753.00, 8397917.00, 5063256.00, 0.00, 16777215.00, 25, 7898
32, 6738759.00, 6299540.00, 8398030.00, 4771589.00, 0.00, 16777215.00, 25, 8261
33, 6728442.00, 6370139.00, 8397953.00, 4778213.00, 0.00, 16777215.00, 25, 8443
34, 6741121.00, 6411039.00, 8397966.00, 4780413.00, 0.00, 16777215.00, 25, 8624
35, 6740925.00, 6403328.00, 8397855.00, 4781778.00, 0.00, 16777215.00, 25, 8896
36, 6728461.00, 6375124.00, 8398048.00, 4885265.00, 0.00, 16777215.00, 25, 9169
37, 6735129.00, 6332782.00, 8398033.00, 5000419.00, 0.00, 16777215.00, 25, 9350
38, 6772894.00, 6304688.00, 8398098.00, 5822256.00, 0.00, 16777215.00, 25, 9623
39, 6876568.00, 6282266.00, 8398045.00, 6244872.00, 0.00, 16777215.00, 25, 9986
40, 6864238.00, 6280280.00, 8398017.00, 5967352.00, 0.00, 16777215.00, 25, 10349
41, 6830168.00, 6293776.00, 8397905.00, 5246719.00, 8388863.00, 16777215.00, 25, 10621
42, 6796201.00, 6296945.00, 8398009.00, 4928844.00, 0.00, 16777215.00, 25, 10803
43, 6735974.00, 6334758.00, 8398067.00, 4748923.00, 0.00, 16777215.00, 25, 11075
44, 6737310.00, 6406192.00, 8397891.00, 4707536.00, 21038.00, 16777215.00, 25, 11347
45, 6719261.00, 6342456.00, 8398013.00, 4730999.00, 0.00, 16777215.00, 25, 11711
46, 6736499.00, 6333313.00, 8397950.00, 5119668.00, 0.00, 16777215.00, 25, 11983
47, 6829322.00, 6346171.00, 8398029.00, 5968386.00, 0.00, 16777215.00, 25, 12346
48, 6934634.00, 6391714.00, 8398020.00, 6048724.00, 71253.00, 16777215.00, 25, 12619
49, 6877130.00, 6345056.00, 8398014.00, 5670095.00, 28572.00, 16777215.00, 25, 12982
50, 6825040.00, 6301654.00, 8397899.00, 5052697.00, 0.00, 16777215.00, 25, 13254
51, 6766854.00, 6291783.00, 8398051.00, 4898294.00, 0.00, 16777215.00, 25, 13436
52, 6723177.00, 6326312.00, 8398039.00, 4842606.00, 0.00, 16777215.00, 25, 13708
53, 6727718.00, 6373111.00, 8397929.00, 4878851.00, 0.00, 16777215.00, 25, 13980
54, 6729166.00, 6377758.00, 8398030.00, 4874104.00, 0.00, 16777215.00, 25, 14162
55, 6720281.00, 6375278.00, 8398039.00, 4838240.00, 0.00, 16777215.00, 25, 14434
56, 6724479.00, 6396175.00, 8397943.00, 4834049.00, 0.00, 16777215.00, 25, 14707
57, 6736098.00, 6423577.00, 8398012.00, 4931359.00, 0.00, 16777215.00, 25, 15070
58, 6724683.00, 6403814.00, 8397940.00, 4935571.00, 0.00, 16777215.00, 25, 15342
59, 6723215.00, 6403615.00, 8397890.00, 4923780.00, 0.00, 16777215.00, 25, 15524
60, 6732271.00, 6402300.00, 8398011.00, 4897372.00, 0.00, 16777215.00, 25, 15887
RECORDING Time: 11:4:56
BASELINE Time: 11:4:58
1, 6735238.00, 6404356.00, 8397806.00, 4896197.00, 0.00, 16777215.00, 25, 0
2, 6746153.00, 6419678.00, 8397951.00, 4918595.00, 0.00, 16777215.00, 25, 0
3, 6756176.00, 6430415.00, 8397953.00, 4933711.00, 0.00, 16777215.00, 25, 363
4, 6754687.00, 6438001.00, 8397989.00, 4922601.00, 0.00, 16777215.00, 25, 636
5, 6761524.00, 6419797.00, 8397990.00, 4823074.00, 3528.00, 16777215.00, 25, 999
