Date: 28.2.2020 , In use by: Mena
Daytime: 14:57:43, Temperature: 13°C
ID, strain1, strain2, strain3, temp [°C], runtime [ms]
BASELINE Time: 14:58:44
121, 0.00, 0.00, 7575479.00, 13, 12351
122, 0.00, 0.00, 7575584.00, 13, 12454
123, 0.00, 0.00, 7575779.00, 13, 12558
124, 0.00, 0.00, 7575904.00, 13, 12662
125, 0.00, 0.00, 7576087.00, 13, 12766
126, 0.00, 0.00, 7576229.00, 13, 12870
127, 0.00, 0.00, 7576333.00, 13, 12973
128, 0.00, 0.00, 7576412.00, 13, 13077
129, 0.00, 0.00, 7576548.00, 13, 13181
130, 0.00, 0.00, 7576661.00, 13, 13285
131, 0.00, 0.00, 7576734.00, 13, 13389
132, 0.00, 0.00, 7576773.00, 13, 13492
133, 0.00, 0.00, 7576783.00, 13, 13596
134, 0.00, 0.00, 7576703.00, 13, 13700
135, 0.00, 0.00, 7576659.00, 13, 13804
136, 0.00, 0.00, 7576855.00, 13, 13907
137, 0.00, 0.00, 7576960.00, 13, 14011
138, 0.00, 0.00, 7576960.00, 13, 14115
139, 0.00, 0.00, 7576932.00, 13, 14219
140, 0.00, 0.00, 7576930.00, 13, 14323
141, 0.00, 0.00, 7576908.00, 13, 14426
142, 0.00, 0.00, 7576908.00, 13, 14530
143, 0.00, 0.00, 7577005.00, 13, 14634
BASELINE Time: 14:58:59
RECORDING Time: 14:59:3
1, 0.00, 0.00, 7559913.00, 13, 0
2, 0.00, 0.00, 7560668.00, 13, 0
3, 0.00, 0.00, 7559209.00, 13, 103
4, 0.00, 0.00, 7557690.00, 13, 207
5, 0.00, 0.00, 7557727.00, 13, 311
6, 0.00, 0.00, 7559368.00, 13, 415
7, 0.00, 0.00, 7561712.00, 13, 518
8, 0.00, 0.00, 7563816.00, 13, 622
9, 0.00, 0.00, 7564056.00, 13, 726
10, 0.00, 0.00, 7563657.00, 13, 830
11, 0.00, 0.00, 7563265.00, 13, 934
12, 0.00, 0.00, 7562975.00, 13, 1037
13, 0.00, 0.00, 7562786.00, 13, 1141
14, 0.00, 0.00, 7562704.00, 13, 1245
15, 0.00, 0.00, 7562713.00, 13, 1349
16, 0.00, 0.00, 7562656.00, 13, 1453
17, 0.00, 0.00, 7562512.00, 13, 1556
18, 0.00, 0.00, 7562211.00, 13, 1660
19, 0.00, 0.00, 7561866.00, 13, 1764
20, 0.00, 0.00, 7561686.00, 13, 1868
21, 0.00, 0.00, 7561527.00, 13, 1972
22, 0.00, 0.00, 7561526.00, 13, 2075
23, 0.00, 0.00, 7561565.00, 13, 2179
24, 0.00, 0.00, 7561535.00, 13, 2283
25, 0.00, 0.00, 7561510.00, 13, 2387
26, 0.00, 0.00, 7561480.00, 13, 2490
27, 0.00, 0.00, 7561392.00, 13, 2594
28, 0.00, 0.00, 7561262.00, 13, 2698
29, 0.00, 0.00, 7561085.00, 13, 2802
30, 0.00, 0.00, 7560944.00, 13, 2906
31, 0.00, 0.00, 7560751.00, 13, 3009
32, 0.00, 0.00, 7560656.00, 13, 3113
33, 0.00, 0.00, 7560549.00, 13, 3217
34, 0.00, 0.00, 7560457.00, 13, 3321
35, 0.00, 0.00, 7560351.00, 13, 3425
36, 0.00, 0.00, 7560252.00, 13, 3528
37, 0.00, 0.00, 7560138.00, 13, 3632
38, 0.00, 0.00, 7560134.00, 13, 3736
39, 0.00, 0.00, 7560080.00, 13, 3840
40, 0.00, 0.00, 7559989.00, 13, 3944
41, 0.00, 0.00, 7559980.00, 13, 4047
42, 0.00, 0.00, 7560021.00, 13, 4151
43, 0.00, 0.00, 7559352.00, 13, 4255
44, 0.00, 0.00, 7558946.00, 13, 4359
45, 0.00, 0.00, 7558869.00, 13, 4463
46, 0.00, 0.00, 7558889.00, 13, 4566
47, 0.00, 0.00, 7558800.00, 13, 4670
48, 0.00, 0.00, 7558689.00, 13, 4774
49, 0.00, 0.00, 7558645.00, 13, 4878
50, 0.00, 0.00, 7558689.00, 13, 4981
51, 0.00, 0.00, 7558648.00, 13, 5085
52, 0.00, 0.00, 7558678.00, 13, 5189
53, 0.00, 0.00, 7558692.00, 13, 5293
54, 0.00, 0.00, 7558327.00, 13, 5397
55, 0.00, 0.00, 7558272.00, 13, 5500
56, 0.00, 0.00, 7558332.00, 13, 5604
57, 0.00, 0.00, 7558397.00, 13, 5708
58, 0.00, 0.00, 7558495.00, 13, 5812
59, 0.00, 0.00, 7558611.00, 13, 5916
60, 0.00, 0.00, 7558709.00, 13, 6019
61, 0.00, 0.00, 7558752.00, 13, 6123
62, 0.00, 0.00, 7558773.00, 13, 6227
63, 0.00, 0.00, 7558807.00, 13, 6331
64, 0.00, 0.00, 7558871.00, 13, 6435
65, 0.00, 0.00, 7558979.00, 13, 6538
66, 0.00, 0.00, 7559153.00, 13, 6642
67, 0.00, 0.00, 7559252.00, 13, 6746
68, 0.00, 0.00, 7559260.00, 13, 6850
69, 0.00, 0.00, 7559072.00, 13, 6953
70, 0.00, 0.00, 7558877.00, 13, 7057
71, 0.00, 0.00, 7558770.00, 13, 7161
72, 0.00, 0.00, 7558625.00, 13, 7265
73, 0.00, 0.00, 7558693.00, 13, 7369
74, 0.00, 0.00, 7558687.00, 13, 7472
75, 0.00, 0.00, 7558622.00, 13, 7576
76, 0.00, 0.00, 7558692.00, 13, 7680
77, 0.00, 0.00, 7558772.00, 13, 7784
78, 0.00, 0.00, 7558729.00, 13, 7888
79, 0.00, 0.00, 7558746.00, 13, 7992
80, 0.00, 0.00, 7558780.00, 13, 8095
81, 0.00, 0.00, 7558752.00, 13, 8199
82, 0.00, 0.00, 7558806.00, 13, 8303
83, 0.00, 0.00, 7558865.00, 13, 8407
84, 0.00, 0.00, 7558821.00, 13, 8510
85, 0.00, 0.00, 7558772.00, 13, 8614
86, 0.00, 0.00, 7558763.00, 13, 8718
87, 0.00, 0.00, 7558906.00, 13, 8822
88, 0.00, 0.00, 7558906.00, 13, 8926
89, 0.00, 0.00, 7558813.00, 13, 9029
90, 0.00, 0.00, 7558944.00, 13, 9133
91, 0.00, 0.00, 7559045.00, 13, 9237
92, 0.00, 0.00, 7558879.00, 13, 9341
93, 0.00, 0.00, 7558837.00, 13, 9445
94, 0.00, 0.00, 7558894.00, 13, 9548
95, 0.00, 0.00, 7558920.00, 13, 9652
96, 0.00, 0.00, 7559238.00, 13, 9756
97, 0.00, 0.00, 7559361.00, 13, 9860
98, 0.00, 0.00, 7559317.00, 13, 9964
99, 0.00, 0.00, 7559235.00, 13, 10067
100, 0.00, 0.00, 7559165.00, 13, 10171
101, 0.00, 0.00, 7559129.00, 13, 10275
102, 0.00, 0.00, 7559105.00, 13, 10379
103, 0.00, 0.00, 7559135.00, 13, 10482
104, 0.00, 0.00, 7559153.00, 13, 10586
105, 0.00, 0.00, 7559152.00, 13, 10690
106, 0.00, 0.00, 7559123.00, 13, 10794
107, 0.00, 0.00, 7559152.00, 13, 10898
108, 0.00, 0.00, 7559286.00, 13, 11001
109, 0.00, 0.00, 7559353.00, 13, 11105
110, 0.00, 0.00, 7559338.00, 13, 11209
111, 0.00, 0.00, 7559323.00, 13, 11313
112, 0.00, 0.00, 7559275.00, 13, 11417
113, 0.00, 0.00, 7559388.00, 13, 11520
114, 0.00, 0.00, 7559438.00, 13, 11624
115, 0.00, 0.00, 7559477.00, 13, 11728
116, 0.00, 0.00, 7559456.00, 13, 11832
117, 0.00, 0.00, 7559438.00, 13, 11936
118, 0.00, 0.00, 7559405.00, 13, 12039
119, 0.00, 0.00, 7559429.00, 13, 12143
120, 0.00, 0.00, 7559518.00, 13, 12247
121, 0.00, 0.00, 7559547.00, 13, 12351
122, 0.00, 0.00, 7559557.00, 13, 12454
123, 0.00, 0.00, 7559568.00, 13, 12558
124, 0.00, 0.00, 7559572.00, 13, 12662
125, 0.00, 0.00, 7559576.00, 13, 12766
126, 0.00, 0.00, 7559592.00, 13, 12870
127, 0.00, 0.00, 7559590.00, 13, 12973
128, 0.00, 0.00, 7559960.00, 13, 13077
129, 0.00, 0.00, 7563267.00, 13, 13181
130, 0.00, 0.00, 7569327.00, 13, 13285
131, 0.00, 0.00, 7575196.00, 13, 13389
132, 0.00, 0.00, 7580816.00, 13, 13492
133, 0.00, 0.00, 7586142.00, 13, 13596
134, 0.00, 0.00, 7591273.00, 13, 13700
135, 0.00, 0.00, 7596148.00, 13, 13804
136, 0.00, 0.00, 7604867.00, 13, 13907
137, 0.00, 0.00, 7608733.00, 13, 14011
138, 0.00, 0.00, 7612580.00, 13, 14115
139, 0.00, 0.00, 7616340.00, 13, 14219
140, 0.00, 0.00, 7620018.00, 13, 14323
141, 0.00, 0.00, 7623633.00, 13, 14426
142, 0.00, 0.00, 7627155.00, 13, 14530
143, 0.00, 0.00, 7630669.00, 13, 14634
144, 0.00, 0.00, 7633995.00, 13, 14738
145, 0.00, 0.00, 7637153.00, 13, 14842
146, 0.00, 0.00, 7640128.00, 13, 14945
147, 0.00, 0.00, 7643127.00, 13, 15049
148, 0.00, 0.00, 7649061.00, 13, 15153
149, 0.00, 0.00, 7651915.00, 13, 15257
150, 0.00, 0.00, 7654827.00, 13, 15361
151, 0.00, 0.00, 7657616.00, 13, 15464
152, 0.00, 0.00, 7660396.00, 13, 15568
153, 0.00, 0.00, 7663140.00, 13, 15672
154, 0.00, 0.00, 7665912.00, 13, 15776
155, 0.00, 0.00, 7668509.00, 13, 15879
156, 0.00, 0.00, 7671206.00, 13, 15983
157, 0.00, 0.00, 7673898.00, 13, 16087
158, 0.00, 0.00, 7676469.00, 13, 16191
159, 0.00, 0.00, 7681669.00, 13, 16295
160, 0.00, 0.00, 7684344.00, 13, 16398
161, 0.00, 0.00, 7686998.00, 13, 16502
162, 0.00, 0.00, 7689511.00, 13, 16606
163, 0.00, 0.00, 7692041.00, 13, 16710
164, 0.00, 0.00, 7694536.00, 13, 16814
165, 0.00, 0.00, 7697069.00, 13, 16917
166, 0.00, 0.00, 7699501.00, 13, 17021
167, 0.00, 0.00, 7701915.00, 13, 17125
168, 0.00, 0.00, 7704251.00, 13, 17229
169, 0.00, 0.00, 7706689.00, 13, 17333
170, 0.00, 0.00, 7708983.00, 13, 17436
171, 0.00, 0.00, 7713632.00, 13, 17540
172, 0.00, 0.00, 7715869.00, 13, 17644
173, 0.00, 0.00, 7718034.00, 13, 17748
174, 0.00, 0.00, 7720322.00, 13, 17851
175, 0.00, 0.00, 7722581.00, 13, 17955
176, 0.00, 0.00, 7724794.00, 13, 18059
177, 0.00, 0.00, 7726906.00, 13, 18163
178, 0.00, 0.00, 7728987.00, 13, 18267
179, 0.00, 0.00, 7731066.00, 13, 18370
180, 0.00, 0.00, 7733040.00, 13, 18474
181, 0.00, 0.00, 7735011.00, 13, 18578
182, 0.00, 0.00, 7737046.00, 13, 18682
183, 0.00, 0.00, 7740880.00, 13, 18786
184, 0.00, 0.00, 7742739.00, 13, 18889
185, 0.00, 0.00, 7744727.00, 13, 18993
186, 0.00, 0.00, 7746582.00, 13, 19097
187, 0.00, 0.00, 7748485.00, 13, 19201
188, 0.00, 0.00, 7750510.00, 13, 19305
189, 0.00, 0.00, 7752454.00, 13, 19408
190, 0.00, 0.00, 7754452.00, 13, 19512
191, 0.00, 0.00, 7756416.00, 13, 19616
192, 0.00, 0.00, 7758381.00, 13, 19720
193, 0.00, 0.00, 7760331.00, 13, 19823
194, 0.00, 0.00, 7764048.00, 13, 19927
195, 0.00, 0.00, 7765981.00, 13, 20031
196, 0.00, 0.00, 7767845.00, 13, 20135
197, 0.00, 0.00, 7769805.00, 13, 20239
198, 0.00, 0.00, 7771732.00, 13, 20342
199, 0.00, 0.00, 7773700.00, 13, 20446
200, 0.00, 0.00, 7775551.00, 13, 20550
201, 0.00, 0.00, 7777318.00, 13, 20654
202, 0.00, 0.00, 7779235.00, 13, 20758
203, 0.00, 0.00, 7781121.00, 13, 20861
204, 0.00, 0.00, 7782977.00, 13, 20965
205, 0.00, 0.00, 7784809.00, 13, 21069
206, 0.00, 0.00, 7788285.00, 13, 21173
207, 0.00, 0.00, 7790036.00, 13, 21276
208, 0.00, 0.00, 7791893.00, 13, 21380
209, 0.00, 0.00, 7793728.00, 13, 21484
210, 0.00, 0.00, 7795484.00, 13, 21588
211, 0.00, 0.00, 7797244.00, 13, 21692
212, 0.00, 0.00, 7799022.00, 13, 21795
213, 0.00, 0.00, 7800826.00, 13, 21899
214, 0.00, 0.00, 7802503.00, 13, 22003
215, 0.00, 0.00, 7804256.00, 13, 22107
216, 0.00, 0.00, 7805973.00, 13, 22211
217, 0.00, 0.00, 7809479.00, 13, 22314
218, 0.00, 0.00, 7811245.00, 13, 22418
219, 0.00, 0.00, 7813044.00, 13, 22522
220, 0.00, 0.00, 7814864.00, 13, 22626
221, 0.00, 0.00, 7816585.00, 13, 22729
222, 0.00, 0.00, 7818359.00, 13, 22833
223, 0.00, 0.00, 7820058.00, 13, 22937
224, 0.00, 0.00, 7821607.00, 13, 23041
225, 0.00, 0.00, 7823134.00, 13, 23145
226, 0.00, 0.00, 7824655.00, 13, 23248
227, 0.00, 0.00, 7826239.00, 13, 23352
228, 0.00, 0.00, 7827910.00, 13, 23456
229, 0.00, 0.00, 7831208.00, 13, 23560
230, 0.00, 0.00, 7832804.00, 13, 23664
231, 0.00, 0.00, 7834429.00, 13, 23767
232, 0.00, 0.00, 7836060.00, 13, 23871
233, 0.00, 0.00, 7837658.00, 13, 23975
234, 0.00, 0.00, 7839228.00, 13, 24079
235, 0.00, 0.00, 7840815.00, 13, 24182
236, 0.00, 0.00, 7842447.00, 13, 24286
237, 0.00, 0.00, 7843995.00, 13, 24390
238, 0.00, 0.00, 7845479.00, 13, 24494
239, 0.00, 0.00, 7846929.00, 13, 24598
240, 0.00, 0.00, 7848375.00, 13, 24701
241, 0.00, 0.00, 7851424.00, 13, 24805
242, 0.00, 0.00, 7852953.00, 13, 24909
243, 0.00, 0.00, 7854507.00, 13, 25013
244, 0.00, 0.00, 7856099.00, 13, 25117
245, 0.00, 0.00, 7857610.00, 13, 25220
246, 0.00, 0.00, 7859064.00, 13, 25324
247, 0.00, 0.00, 7860495.00, 13, 25428
248, 0.00, 0.00, 7862058.00, 13, 25532
249, 0.00, 0.00, 7863680.00, 13, 25635
250, 0.00, 0.00, 7865213.00, 13, 25739
251, 0.00, 0.00, 7866781.00, 13, 25843
252, 0.00, 0.00, 7869840.00, 13, 25947
253, 0.00, 0.00, 7871387.00, 13, 26051
254, 0.00, 0.00, 7872844.00, 13, 26154
255, 0.00, 0.00, 7874329.00, 13, 26258
256, 0.00, 0.00, 7875837.00, 13, 26362
257, 0.00, 0.00, 7877310.00, 13, 26466
258, 0.00, 0.00, 7878846.00, 13, 26569
259, 0.00, 0.00, 7880398.00, 13, 26673
260, 0.00, 0.00, 7881790.00, 13, 26777
261, 0.00, 0.00, 7883237.00, 13, 26881
262, 0.00, 0.00, 7884702.00, 13, 26985
263, 0.00, 0.00, 7886120.00, 13, 27088
264, 0.00, 0.00, 7888817.00, 13, 27192
265, 0.00, 0.00, 7890167.00, 13, 27296
266, 0.00, 0.00, 7891580.00, 13, 27400
267, 0.00, 0.00, 7892950.00, 13, 27504
268, 0.00, 0.00, 7894418.00, 13, 27607
269, 0.00, 0.00, 7895958.00, 13, 27711
270, 0.00, 0.00, 7897471.00, 13, 27815
271, 0.00, 0.00, 7898858.00, 13, 27919
272, 0.00, 0.00, 7900286.00, 13, 28022
273, 0.00, 0.00, 7901659.00, 13, 28126
274, 0.00, 0.00, 7903104.00, 13, 28230
275, 0.00, 0.00, 7904504.00, 13, 28334
276, 0.00, 0.00, 7907313.00, 13, 28438
277, 0.00, 0.00, 7908731.00, 13, 28541
278, 0.00, 0.00, 7910088.00, 13, 28645
279, 0.00, 0.00, 7911411.00, 13, 28749
280, 0.00, 0.00, 7912757.00, 13, 28853
281, 0.00, 0.00, 7914130.00, 13, 28957
282, 0.00, 0.00, 7915459.00, 13, 29060
283, 0.00, 0.00, 7916684.00, 13, 29164
284, 0.00, 0.00, 7917832.00, 13, 29268
285, 0.00, 0.00, 7919018.00, 13, 29372
286, 0.00, 0.00, 7920178.00, 13, 29475
287, 0.00, 0.00, 7922336.00, 13, 29579
288, 0.00, 0.00, 7923468.00, 13, 29683
289, 0.00, 0.00, 7924686.00, 13, 29787
290, 0.00, 0.00, 7925819.00, 13, 29891
291, 0.00, 0.00, 7926948.00, 13, 29994
292, 0.00, 0.00, 7928021.00, 13, 30098
293, 0.00, 0.00, 7929093.00, 13, 30202
294, 0.00, 0.00, 7930151.00, 13, 30306
295, 0.00, 0.00, 7931077.00, 13, 30409
296, 0.00, 0.00, 7931864.00, 13, 30513
297, 0.00, 0.00, 7932750.00, 13, 30617
298, 0.00, 0.00, 7933704.00, 13, 30721
299, 0.00, 0.00, 7935258.00, 13, 30825
300, 0.00, 0.00, 7936098.00, 13, 30928
301, 0.00, 0.00, 7936841.00, 13, 31032
302, 0.00, 0.00, 7937626.00, 13, 31136
303, 0.00, 0.00, 7938443.00, 13, 31240
304, 0.00, 0.00, 7939202.00, 13, 31343
305, 0.00, 0.00, 7939895.00, 13, 31447
306, 0.00, 0.00, 7940552.00, 13, 31551
307, 0.00, 0.00, 7941116.00, 13, 31655
308, 0.00, 0.00, 7941771.00, 13, 31759
309, 0.00, 0.00, 7942367.00, 13, 31862
310, 0.00, 0.00, 7942870.00, 13, 31966
311, 0.00, 0.00, 7943977.00, 13, 32070
312, 0.00, 0.00, 7944476.00, 13, 32174
313, 0.00, 0.00, 7944924.00, 13, 32277
314, 0.00, 0.00, 7945439.00, 13, 32381
315, 0.00, 0.00, 7945916.00, 13, 32485
316, 0.00, 0.00, 7946241.00, 13, 32589
317, 0.00, 0.00, 7946736.00, 13, 32693
318, 0.00, 0.00, 7947200.00, 13, 32796
