Date: 27.3.2020 , In use by: Mena
Daytime: 10:45:38, Temperature: 25°C
ID, strain1, strain2, strain3, strain4, strain5, strain6, temp [°C], runtime [ms]
BASELINE Time: 10:45:50
1, 0.00, 6315033.00, 8398015.00, 5442719.00, 9390918.00, 16777215.00, 25, 0
2, 0.00, 6309183.00, 8398082.00, 5441314.00, 9401138.00, 16777215.00, 25, 0
3, 0.00, 6315719.00, 8398021.00, 5450320.00, 9399134.00, 16777215.00, 25, 272
4, 0.00, 6320780.00, 8397920.00, 5457319.00, 9397326.00, 16777215.00, 25, 635
5, 0.00, 6328248.00, 8398037.00, 5487242.00, 9404280.00, 16777215.00, 25, 907
6, 0.00, 6335433.00, 8398066.00, 5479646.00, 9391174.00, 16777215.00, 25, 1270
7, 0.00, 6327064.00, 8398004.00, 5484813.00, 9373392.00, 16777215.00, 25, 1542
8, 0.00, 6315792.00, 8397971.00, 5517753.00, 9362949.00, 16777215.00, 25, 1724
9, 0.00, 6303846.00, 8397927.00, 5531141.00, 9382085.00, 16777215.00, 25, 1996
10, 0.00, 6307198.00, 8398029.00, 5555938.00, 9386009.00, 16777215.00, 25, 2269
11, 0.00, 6316291.00, 8398079.00, 5580072.00, 9389157.00, 16777215.00, 25, 2541
12, 0.00, 6317689.00, 8398042.00, 5608601.00, 9371328.00, 16777215.00, 25, 2722
13, 0.00, 6317581.00, 8398065.00, 5606063.00, 9373403.00, 16777215.00, 25, 2904
14, 0.00, 6313419.00, 8398158.00, 5572106.00, 9375208.00, 16777215.00, 25, 3085
15, 0.00, 6315015.00, 8397842.00, 5576613.00, 9372794.00, 16777215.00, 25, 3358
16, 0.00, 6314750.00, 8398076.00, 5580966.00, 9374137.00, 16777215.00, 25, 3630
17, 0.00, 6313073.00, 8398108.00, 5576672.00, 9377811.00, 16777215.00, 25, 3993
18, 0.00, 6313656.00, 8397929.00, 5589565.00, 9382958.00, 16777215.00, 25, 4265
19, 0.00, 6315800.00, 8397940.00, 5599924.00, 9378180.00, 16777215.00, 25, 4719
20, 0.00, 6316689.00, 8397996.00, 5616840.00, 9375016.00, 16777215.00, 25, 4991
21, 0.00, 6317939.00, 8397955.00, 5624730.00, 9374318.00, 16777215.00, 25, 5354
22, 0.00, 6316007.00, 8397878.00, 5627415.00, 9375199.00, 16777215.00, 25, 5627
23, 0.00, 6315537.00, 8398104.00, 5629186.00, 9378249.00, 16777215.00, 25, 5808
24, 0.00, 6314858.00, 8398082.00, 5634754.00, 9382853.00, 16777215.00, 25, 6081
25, 0.00, 6314689.00, 8398013.00, 5635168.00, 9385343.00, 16777215.00, 25, 6353
26, 0.00, 6315071.00, 8398101.00, 5637453.00, 9385223.00, 16777215.00, 25, 6534
27, 0.00, 6314056.00, 8398094.00, 5633783.00, 9383912.00, 16777215.00, 25, 6807
28, 0.00, 6311955.00, 8397975.00, 5634546.00, 9384265.00, 16777215.00, 25, 7079
29, 0.00, 6308711.00, 8398023.00, 5627854.00, 9386901.00, 16777215.00, 25, 7442
30, 0.00, 6309893.00, 8398053.00, 5636543.00, 9392476.00, 16777215.00, 25, 7714
31, 0.00, 6312730.00, 8397903.00, 5648741.00, 9388435.00, 16777215.00, 25, 8077
32, 0.00, 6314085.00, 8397973.00, 5659644.00, 9384308.00, 16777215.00, 25, 8349
33, 0.00, 6317486.00, 8397992.00, 5671549.00, 9384279.00, 16777215.00, 25, 8531
34, 0.00, 6317277.00, 8397989.00, 5674834.00, 9383415.00, 16777215.00, 25, 8803
35, 0.00, 6313488.00, 8397934.00, 5665356.00, 9383991.00, 16777215.00, 25, 9076
36, 0.00, 6311633.00, 8398010.00, 5656790.00, 9389544.00, 16777215.00, 25, 9257
37, 0.00, 6309466.00, 8398131.00, 5657594.00, 9397559.00, 16777215.00, 25, 9530
38, 0.00, 6313947.00, 8398031.00, 5674569.00, 9400906.00, 16777215.00, 25, 9802
39, 0.00, 6316050.00, 8397917.00, 5678308.00, 9403144.00, 16777215.00, 25, 9984
40, 0.00, 6314083.00, 8397946.00, 5669266.00, 9401171.00, 16777215.00, 25, 10256
41, 0.00, 6308185.00, 8398019.00, 5642691.00, 9409386.00, 16777215.00, 25, 10437
42, 0.00, 6308468.00, 8397947.00, 5556198.00, 9395582.00, 16777215.00, 25, 10800
43, 0.00, 6361598.00, 8398079.00, 5430195.00, 9376550.00, 16777215.00, 25, 11073
44, 0.00, 6293286.00, 8398050.00, 5764884.00, 9397285.00, 16777215.00, 25, 11345
45, 0.00, 6272029.00, 8397996.00, 5852882.00, 9410554.00, 16777215.00, 25, 11708
46, 0.00, 6261783.00, 8397981.00, 5884144.00, 9419356.00, 16777215.00, 25, 12162
