Date: 27.3.2020 , In use by: Mena
Daytime: 10:49:48, Temperature: 25°C
ID, strain1, strain2, strain3, strain4, strain5, strain6, temp [°C], runtime [ms]
BASELINE Time: 10:50:22
1, 5238637.00, 6345053.00, 8398101.00, 5548539.00, 7496133.00, 16777215.00, 25, 0
2, 5241157.00, 6342692.00, 8397994.00, 5528580.00, 7500710.00, 16777215.00, 25, 0
3, 5242125.00, 6343897.00, 8397989.00, 5542029.00, 7476606.00, 16777215.00, 25, 272
4, 5232260.00, 6337918.00, 8398096.00, 5516777.00, 7484825.00, 16777215.00, 25, 544
5, 5229664.00, 6342751.00, 8398106.00, 5491492.00, 7539208.00, 16777215.00, 25, 907
6, 5228383.00, 6344083.00, 8398208.00, 5515310.00, 7562477.00, 16777215.00, 25, 1270
7, 5226859.00, 6349282.00, 8397936.00, 5474265.00, 7575654.00, 16777215.00, 25, 1633
8, 5215745.00, 6337036.00, 8398055.00, 5468762.00, 7569227.00, 16777215.00, 25, 1905
9, 5212812.00, 6332151.00, 8398132.00, 5470527.00, 7550864.00, 16777215.00, 25, 2087
10, 5213379.00, 6334507.00, 8398080.00, 5482640.00, 7541713.00, 16777215.00, 25, 2359
11, 5214935.00, 6336628.00, 8398047.00, 5488803.00, 7531930.00, 16777215.00, 25, 2540
12, 5216690.00, 6338824.00, 8398072.00, 5504806.00, 7511774.00, 16777215.00, 25, 2722
13, 5219295.00, 6340940.00, 8397983.00, 5507154.00, 7497097.00, 16777215.00, 25, 2994
14, 5227384.00, 6357088.00, 8397953.00, 5496633.00, 7466575.00, 16777215.00, 25, 3266
15, 5228507.00, 6369789.00, 8397956.00, 5488357.00, 7497480.00, 16777215.00, 25, 3447
16, 5228329.00, 6361841.00, 8398028.00, 5534667.00, 7507004.00, 16777215.00, 25, 3810
17, 5221887.00, 6346767.00, 8397945.00, 5524342.00, 7462278.00, 16777215.00, 25, 4264
18, 5206138.00, 6316245.00, 8397869.00, 5465284.00, 7444914.00, 16777215.00, 25, 4536
19, 5203327.00, 6310474.00, 8397875.00, 5443402.00, 7435668.00, 16777215.00, 25, 4808
20, 5204510.00, 6326765.00, 8397985.00, 5522154.00, 7437647.00, 16777215.00, 25, 5080
21, 5200104.00, 6333455.00, 8398086.00, 5560707.00, 7453890.00, 16777215.00, 25, 5261
22, 5204334.00, 6330317.00, 8398015.00, 5546900.00, 7486080.00, 16777215.00, 25, 5443
BASELINE Time: 10:50:28
RECORDING Time: 10:50:30
1, 5205716.00, 6323071.00, 8397885.00, 5508983.00, 7526073.00, 16777215.00, 25, 0
2, 5208344.00, 6321556.00, 8397833.00, 5492213.00, 7503200.00, 16777215.00, 25, 0
3, 5209560.00, 6321095.00, 8398013.00, 5504395.00, 7503115.00, 16777215.00, 25, 181
4, 5214983.00, 6332671.00, 8397934.00, 5475852.00, 7486841.00, 16777215.00, 25, 544
5, 5195616.00, 6290194.00, 8398092.00, 5249980.00, 7452446.00, 16777215.00, 25, 997
6, 5176709.00, 6292813.00, 8397962.00, 5490146.00, 7460049.00, 16777215.00, 25, 1269
7, 5187371.00, 6337323.00, 8398066.00, 5565480.00, 7454922.00, 16777215.00, 25, 1541
8, 5234305.00, 6376848.00, 8398087.00, 5547485.00, 7283152.00, 16777215.00, 25, 1813
9, 5239847.00, 6366692.00, 8398017.00, 5539657.00, 2428075.00, 16777215.00, 25, 2085
10, 5215486.00, 6343291.00, 8398037.00, 5511814.00, 0.00, 16777215.00, 25, 2358
11, 5198659.00, 6331056.00, 8397988.00, 5475013.00, 0.00, 16777215.00, 25, 2630
12, 5201969.00, 6334422.00, 8398040.00, 5489545.00, 0.00, 16777215.00, 25, 2811
13, 5201332.00, 6312545.00, 8398120.00, 5464521.00, 0.00, 16777215.00, 25, 3083
14, 5254004.00, 6353755.00, 8398140.00, 5501348.00, 0.00, 16777215.00, 25, 3355
15, 5321734.00, 6428217.00, 8398079.00, 5716080.00, 0.00, 16777215.00, 25, 3537
16, 5361301.00, 6474189.00, 8397930.00, 5593703.00, 0.00, 16777215.00, 25, 3809
17, 5270644.00, 6424530.00, 8398005.00, 5156673.00, 71606.00, 16777215.00, 25, 4081
18, 5242352.00, 6441944.00, 8397873.00, 5116772.00, 99067.00, 16777215.00, 25, 4263
19, 5247659.00, 6466955.00, 8397967.00, 5137166.00, 78925.00, 16777215.00, 25, 4626
20, 5251250.00, 6465663.00, 8398101.00, 5139602.00, 86476.00, 16777215.00, 25, 4807
21, 5244794.00, 6460240.00, 8398012.00, 5151688.00, 107671.00, 16777215.00, 25, 4988
22, 5242756.00, 6457574.00, 8397889.00, 5182512.00, 139941.00, 16777215.00, 25, 5261
23, 5246139.00, 6459857.00, 8398007.00, 5221625.00, 134131.00, 16777215.00, 25, 5533
24, 5250758.00, 6462380.00, 8397951.00, 5253020.00, 145816.00, 16777215.00, 25, 5896
25, 5255039.00, 6463290.00, 8398067.00, 5273821.00, 147841.00, 16777215.00, 25, 6168
26, 5261059.00, 6464095.00, 8397922.00, 5273439.00, 162869.00, 16777215.00, 25, 6531
27, 5259497.00, 6461482.00, 8398026.00, 5260632.00, 163688.00, 16777215.00, 25, 6803
28, 5255402.00, 6458740.00, 8397978.00, 5271860.00, 170343.00, 16777215.00, 25, 7166
29, 5253497.00, 6455194.00, 8397913.00, 5283430.00, 172291.00, 16777215.00, 25, 7438
30, 5250822.00, 6451651.00, 8398080.00, 5299062.00, 176564.00, 16777215.00, 25, 7619
31, 5255391.00, 6456342.00, 8398101.00, 5312968.00, 185126.00, 16777215.00, 25, 7891
