Date: 27.3.2020 , In use by: Mena
Daytime: 10:59:44, Temperature: 25°C
ID, strain1, strain2, strain3, strain4, strain5, strain6, temp [°C], runtime [ms]
BASELINE Time: 10:59:49
54, 16777215.00, 6263902.00, 8398056.00, 5641764.00, 7862703.00, 16777215.00, 25, 14971
55, 16777215.00, 6222864.00, 8398036.00, 5642444.00, 7863401.00, 16777215.00, 25, 15697
56, 16777215.00, 6247459.00, 8398030.00, 5640737.00, 7861140.00, 16777215.00, 25, 15969
57, 16777215.00, 6251386.00, 8398010.00, 5640057.00, 7859609.00, 16777215.00, 25, 16332
58, 16777215.00, 6253062.00, 8397943.00, 5637656.00, 7857016.00, 16777215.00, 25, 16514
59, 16777215.00, 6257270.00, 8397990.00, 5639494.00, 7858415.00, 16777215.00, 25, 16696
60, 16777215.00, 6268390.00, 8397936.00, 5638368.00, 7856824.00, 16777215.00, 25, 16968
61, 16777215.00, 6270587.00, 8397969.00, 5640232.00, 7855956.00, 16777215.00, 25, 17240
62, 16777215.00, 6272495.00, 8397961.00, 5640654.00, 7855565.00, 16777215.00, 25, 17422
63, 16777215.00, 6274715.00, 8397949.00, 5640089.00, 7855305.00, 16777215.00, 25, 17694
64, 16777215.00, 6273457.00, 8398051.00, 5640598.00, 7853938.00, 16777215.00, 25, 17966
65, 16777215.00, 6274319.00, 8398060.00, 5641903.00, 7854918.00, 16777215.00, 25, 18148
66, 16777215.00, 6273996.00, 8398015.00, 5642676.00, 7855901.00, 16777215.00, 25, 18420
67, 16777215.00, 6271136.00, 8398018.00, 5641113.00, 7853206.00, 16777215.00, 25, 18692
68, 16777215.00, 6271967.00, 8397972.00, 5641238.00, 7854368.00, 16777215.00, 25, 19055
69, 16777215.00, 6277773.00, 8397932.00, 5639250.00, 7853304.00, 16777215.00, 25, 19328
70, 16777215.00, 6280441.00, 8398034.00, 5640535.00, 7854204.00, 16777215.00, 25, 19781
71, 16777215.00, 6280030.00, 8398025.00, 5640526.00, 7854527.00, 16777215.00, 25, 20054
72, 16777215.00, 6280277.00, 8398010.00, 5642593.00, 7860315.00, 16777215.00, 25, 20417
73, 16777215.00, 6282376.00, 8397911.00, 5641492.00, 7857424.00, 16777215.00, 25, 20689
74, 16777215.00, 6283406.00, 8398015.00, 5645415.00, 7859031.00, 16777215.00, 25, 20871
75, 16777215.00, 6285091.00, 8398196.00, 5648509.00, 7861574.00, 16777215.00, 25, 21143
76, 16777215.00, 6284989.00, 8397984.00, 5647850.00, 7857128.00, 16777215.00, 25, 21415
77, 16777215.00, 6285693.00, 8398025.00, 5651339.00, 7869139.00, 16777215.00, 25, 21597
78, 16777215.00, 6286048.00, 8398075.00, 5646617.00, 7862145.00, 16777215.00, 25, 21960
79, 16777215.00, 6286619.00, 8397988.00, 5654404.00, 7872188.00, 16777215.00, 25, 22414
80, 16777215.00, 6286319.00, 8397984.00, 5649879.00, 7871151.00, 16777215.00, 25, 22777
81, 16777215.00, 6289201.00, 8398142.00, 5655445.00, 7874937.00, 16777215.00, 25, 23140
82, 16777215.00, 6288441.00, 8398077.00, 5653497.00, 7871824.00, 16777215.00, 25, 23412
83, 16777215.00, 6289439.00, 8397998.00, 5655524.00, 7871230.00, 16777215.00, 25, 23593
84, 16777215.00, 6290911.00, 8398042.00, 5657749.00, 7874777.00, 16777215.00, 25, 23866
85, 16777215.00, 6291221.00, 8397952.00, 5656937.00, 7873945.00, 16777215.00, 25, 24047
86, 16777215.00, 6290712.00, 8397983.00, 5654252.00, 7869996.00, 16777215.00, 25, 24229
87, 16777215.00, 6290012.00, 8398033.00, 5652485.00, 7867416.00, 16777215.00, 25, 24501
88, 16777215.00, 6290859.00, 8397882.00, 5655826.00, 7871140.00, 16777215.00, 25, 24773
89, 16777215.00, 6291749.00, 8398004.00, 5657239.00, 7874124.00, 16777215.00, 25, 24955
90, 16777215.00, 6292266.00, 8397966.00, 5656957.00, 7872903.00, 16777215.00, 25, 25227
91, 16777215.00, 6291664.00, 8397944.00, 5658139.00, 7875601.00, 16777215.00, 25, 25499
92, 16777215.00, 6293036.00, 8397935.00, 5656955.00, 7874170.00, 16777215.00, 25, 25680
93, 16777215.00, 6292736.00, 8398039.00, 5659942.00, 7879878.00, 16777215.00, 25, 26044
94, 16777215.00, 6293617.00, 8397980.00, 5662093.00, 7875197.00, 16777215.00, 25, 26407
95, 16777215.00, 6295826.00, 8397945.00, 5672154.00, 7878880.00, 16777215.00, 25, 26770
96, 16777215.00, 6296764.00, 8397856.00, 5673737.00, 7878202.00, 16777215.00, 25, 27223
97, 16777215.00, 6295953.00, 8398046.00, 5672191.00, 7880206.00, 16777215.00, 25, 27496
98, 16777215.00, 6298458.00, 8398033.00, 5679667.00, 7887030.00, 16777215.00, 25, 27768
99, 16777215.00, 6299946.00, 8397856.00, 5679952.00, 7888028.00, 16777215.00, 25, 28040
100, 16777215.00, 6299816.00, 8397972.00, 5681111.00, 7887841.00, 16777215.00, 25, 28222
101, 16777215.00, 6301495.00, 8398106.00, 5686727.00, 7890334.00, 16777215.00, 25, 28403
102, 16777215.00, 6300948.00, 8398032.00, 5686761.00, 7884613.00, 16777215.00, 25, 28676
103, 16777215.00, 6291426.00, 8397883.00, 5672920.00, 7893029.00, 16777215.00, 25, 28948
104, 16777215.00, 6297546.00, 8397984.00, 5668005.00, 7901603.00, 16777215.00, 25, 29130
105, 13773346.00, 6310092.00, 8397861.00, 5689892.00, 7944257.00, 16777215.00, 25, 29402
106, 16777215.00, 6310919.00, 8397965.00, 5693701.00, 7965656.00, 16777215.00, 25, 29674
107, 12159652.00, 6303931.00, 8398026.00, 5667004.00, 7962626.00, 16777215.00, 25, 30037
108, 16777215.00, 6303173.00, 8397942.00, 5664381.00, 7959179.00, 16777215.00, 25, 30400
109, 16777215.00, 6302587.00, 8398030.00, 5658404.00, 7950144.00, 16777215.00, 25, 30673
110, 16777215.00, 6300238.00, 8397990.00, 5647488.00, 7946203.00, 16777215.00, 25, 30854
111, 16777215.00, 6299575.00, 8397989.00, 5650418.00, 7949593.00, 16777215.00, 25, 31036
112, 16777215.00, 6302184.00, 8397943.00, 5658096.00, 7951477.00, 16777215.00, 25, 31217
113, 9413239.00, 6302875.00, 8397853.00, 5659090.00, 7954706.00, 16777215.00, 25, 31489
114, 16777215.00, 6302745.00, 8398033.00, 5659537.00, 7954641.00, 16777215.00, 25, 31761
115, 16777215.00, 6303128.00, 8397923.00, 5658895.00, 7954972.00, 16777215.00, 25, 32124
116, 16777215.00, 6303300.00, 8397875.00, 5659919.00, 7953548.00, 16777215.00, 25, 32397
117, 16777215.00, 6303301.00, 8398107.00, 5659764.00, 7953660.00, 16777215.00, 25, 32760
118, 16777215.00, 6303696.00, 8397863.00, 5657249.00, 7951908.00, 16777215.00, 25, 33032
119, 16777215.00, 6302815.00, 8398000.00, 5651930.00, 7949835.00, 16777215.00, 25, 33213
120, 16777215.00, 6302724.00, 8397921.00, 5654172.00, 7951975.00, 16777215.00, 25, 33486
121, 16777215.00, 6301649.00, 8397961.00, 5644996.00, 7946968.00, 16777215.00, 25, 33758
122, 16777215.00, 6301259.00, 8397997.00, 5643101.00, 7945257.00, 16777215.00, 25, 34121
123, 16777215.00, 6302230.00, 8398134.00, 5648354.00, 7950037.00, 16777215.00, 25, 34393
124, 6882295.00, 6301834.00, 8397973.00, 5648267.00, 7951197.00, 16777215.00, 25, 34757
125, 6835871.00, 6302081.00, 8397966.00, 5649372.00, 7950277.00, 16777215.00, 25, 35029
126, 6886449.00, 6300832.00, 8397859.00, 5646930.00, 7950411.00, 16777215.00, 25, 35301
127, 6785570.00, 6300676.00, 8397979.00, 5648608.00, 7950644.00, 16777215.00, 25, 35574
128, 6742397.00, 6300586.00, 8397972.00, 5649376.00, 7951232.00, 16777215.00, 25, 35755
129, 6743568.00, 6299923.00, 8397984.00, 5647987.00, 7951387.00, 16777215.00, 25, 35937
130, 6743815.00, 6299033.00, 8397900.00, 5644126.00, 7949394.00, 16777215.00, 25, 36209
131, 6741175.00, 6298498.00, 8397949.00, 5640434.00, 7946348.00, 16777215.00, 25, 36481
132, 6738653.00, 6298171.00, 8397969.00, 5637734.00, 7943909.00, 16777215.00, 25, 36663
133, 6739285.00, 6297759.00, 8397991.00, 5639837.00, 7946264.00, 16777215.00, 25, 36935
134, 6744169.00, 6297541.00, 8397932.00, 5639537.00, 7945082.00, 16777215.00, 25, 37208
135, 6747755.00, 6297057.00, 8397964.00, 5641866.00, 7948279.00, 16777215.00, 25, 37571
136, 6758964.00, 6296656.00, 8397973.00, 5644485.00, 7949237.00, 16777215.00, 25, 37934
137, 6758115.00, 6294839.00, 8397943.00, 5642308.00, 7947609.00, 16777215.00, 25, 38206
138, 6758845.00, 6294416.00, 8398065.00, 5640315.00, 7951407.00, 16777215.00, 25, 38478
139, 6761512.00, 6294466.00, 8398013.00, 5636704.00, 7951566.00, 16777215.00, 25, 38751
140, 6765850.00, 6291920.00, 8397866.00, 5613835.00, 7933729.00, 16777215.00, 25, 39023
141, 6766030.00, 6291579.00, 8398026.00, 5622593.00, 7943388.00, 16777215.00, 25, 39295
142, 6757615.00, 6291721.00, 8397991.00, 5628631.00, 7949340.00, 16777215.00, 25, 39658
143, 6755001.00, 6290195.00, 8397999.00, 5633344.00, 7953317.00, 16777215.00, 25, 39930
144, 6753374.00, 6291288.00, 8397904.00, 5637165.00, 7958790.00, 16777215.00, 25, 40293
145, 6752639.00, 6291314.00, 8397899.00, 5636765.00, 7960132.00, 16777215.00, 25, 40566
146, 6747958.00, 6292702.00, 8397970.00, 5645641.00, 7953966.00, 16777215.00, 25, 40747
147, 6739197.00, 6285740.00, 8397937.00, 5641998.00, 7954222.00, 16777215.00, 25, 41020
148, 6739453.00, 6287835.00, 8398017.00, 5637003.00, 7953939.00, 16777215.00, 25, 41292
149, 6740715.00, 6283294.00, 8398039.00, 5634111.00, 7956792.00, 16777215.00, 25, 41474
150, 6695431.00, 6247660.00, 8397994.00, 5644276.00, 7954170.00, 16777215.00, 25, 41746
