Date: 27.3.2020 , In use by: Mena
Daytime: 10:54:31, Temperature: 25°C
ID, strain1, strain2, strain3, strain4, strain5, strain6, temp [°C], runtime [ms]
BASELINE Time: 10:55:6
1, 5178254.00, 6288010.00, 8397842.00, 5558173.00, 6105834.00, 16777215.00, 25, 0
2, 5179255.00, 6288456.00, 8398028.00, 5559246.00, 6097724.00, 16777215.00, 25, 0
3, 5181047.00, 6290873.00, 8398111.00, 5563381.00, 6097909.00, 16777215.00, 25, 363
4, 5180689.00, 6290281.00, 8397996.00, 5563561.00, 6103770.00, 16777215.00, 25, 636
5, 5180800.00, 6292275.00, 8397962.00, 5566002.00, 6101816.00, 16777215.00, 25, 908
6, 5181491.00, 6295140.00, 8398121.00, 5571433.00, 6108607.00, 16777215.00, 25, 1181
7, 5179403.00, 6295355.00, 8398129.00, 5563848.00, 6077737.00, 16777215.00, 25, 1362
8, 5180393.00, 6314500.00, 8398055.00, 5557520.00, 6094655.00, 16777215.00, 25, 1544
9, 5179220.00, 6333693.00, 8397968.00, 5597099.00, 6189798.00, 16777215.00, 25, 1816
10, 5167411.00, 6345210.00, 8397977.00, 5632337.00, 6264583.00, 16777215.00, 25, 2089
11, 5184223.00, 6377661.00, 8397931.00, 5488140.00, 6428035.00, 16777215.00, 25, 2452
12, 5172119.00, 6292439.00, 8397867.00, 5237396.00, 6214370.00, 16777215.00, 25, 2815
13, 5161665.00, 6269205.00, 8398032.00, 5246740.00, 6325340.00, 16777215.00, 25, 3178
14, 5189267.00, 6340993.00, 8397982.00, 5305723.00, 6313785.00, 16777215.00, 25, 3541
15, 5224547.00, 6388928.00, 8397933.00, 5388286.00, 6268385.00, 16777215.00, 25, 3813
16, 5222549.00, 6375971.00, 8397897.00, 5367619.00, 6293751.00, 16777215.00, 25, 4086
17, 5231076.00, 6401060.00, 8398011.00, 5947549.00, 6710297.00, 16777215.00, 25, 4449
18, 5202018.00, 6382012.00, 8398016.00, 5440368.00, 6375712.00, 16777215.00, 25, 4721
19, 5170452.00, 6309814.00, 8398032.00, 5104490.00, 6382478.00, 16777215.00, 25, 4994
20, 5141188.00, 6271342.00, 8398076.00, 5054886.00, 6405025.00, 16777215.00, 25, 5357
21, 5170397.00, 6312701.00, 8397875.00, 5333545.00, 6394211.00, 16777215.00, 25, 5720
22, 5210043.00, 6342850.00, 8397904.00, 5276601.00, 6371638.00, 16777215.00, 25, 6083
23, 5205235.00, 6333477.00, 8398021.00, 5237513.00, 6327986.00, 16777215.00, 25, 6265
24, 5197920.00, 6324305.00, 8398072.00, 5202687.00, 6335207.00, 16777215.00, 25, 6537
BASELINE Time: 10:55:13
RECORDING Time: 10:55:14
1, 5181494.00, 6305458.00, 8398072.00, 5132724.00, 6370827.00, 16777215.00, 25, 0
2, 5180602.00, 6309712.00, 8398043.00, 5176905.00, 6377505.00, 16777215.00, 25, 0
3, 5181787.00, 6313808.00, 8397891.00, 5198705.00, 6372999.00, 16777215.00, 25, 363
4, 5181421.00, 6317046.00, 8398053.00, 5229615.00, 6383316.00, 16777215.00, 25, 726
5, 5178569.00, 6318370.00, 8398052.00, 5276824.00, 6403677.00, 16777215.00, 25, 998
6, 5179632.00, 6328613.00, 8397999.00, 5219188.00, 6398465.00, 16777215.00, 25, 1361
7, 5165120.00, 6318167.00, 8398066.00, 5167078.00, 6292495.00, 16777215.00, 25, 1634
8, 5138854.00, 6357059.00, 8398081.00, 5517196.00, 6208742.00, 16777215.00, 25, 1997
9, 5137907.00, 6354729.00, 8397816.00, 5535829.00, 5571731.00, 16777215.00, 25, 2360
10, 5161526.00, 6366376.00, 8397888.00, 5528396.00, 0.00, 16777215.00, 25, 2632
11, 5160544.00, 6337269.00, 8398084.00, 5473539.00, 0.00, 16777215.00, 25, 2905
12, 5144598.00, 6308512.00, 8398012.00, 5424195.00, 0.00, 16777215.00, 25, 3086
