Date: 27.3.2020 , In use by: Mena
Daytime: 11:4:19, Temperature: 24°C
ID, strain1, strain2, strain3, temp [°C], runtime [ms]
BASELINE Time: 11:4:27
1, 5229844.00, 5018856.00, 4747522.00, 24, 0
2, 5215057.00, 5016805.00, 4736450.00, 24, 0
3, 5189367.00, 5013910.00, 4746250.00, 24, 103
4, 5174778.00, 5014621.00, 4748089.00, 24, 206
5, 5169281.00, 5005367.00, 4749048.00, 24, 309
6, 5137967.00, 4991964.00, 4773755.00, 24, 412
7, 5115387.00, 4982806.00, 4768553.00, 24, 515
8, 5132837.00, 4977718.00, 4740005.00, 24, 618
9, 5141561.00, 4978922.00, 4748768.00, 24, 721
10, 5145966.00, 4982427.00, 4750332.00, 24, 824
11, 5150845.00, 4986314.00, 4736463.00, 24, 927
12, 5162280.00, 4993741.00, 4731501.00, 24, 1030
13, 5177748.00, 5009877.00, 4721836.00, 24, 1133
14, 5196788.00, 5031334.00, 4709911.00, 24, 1236
15, 5215853.00, 5050842.00, 4703448.00, 24, 1339
16, 5230001.00, 5079898.00, 4657027.00, 24, 1442
17, 5248731.00, 5138660.00, 4571115.00, 24, 1545
18, 5272557.00, 5186093.00, 4547673.00, 24, 1648
19, 5282743.00, 5195284.00, 4582159.00, 24, 1751
20, 5281669.00, 5206144.00, 4602026.00, 24, 1853
21, 5273149.00, 5246188.00, 4571776.00, 24, 1956
22, 5261046.00, 5269864.00, 4480251.00, 24, 2059
23, 5246417.00, 5272082.00, 4472164.00, 24, 2162
24, 5226590.00, 5269179.00, 4457671.00, 24, 2265
25, 5213863.00, 5264581.00, 4453134.00, 24, 2368
26, 5210032.00, 5262819.00, 4449833.00, 24, 2471
27, 5212273.00, 5261558.00, 4447510.00, 24, 2574
28, 5218341.00, 5256724.00, 4456011.00, 24, 2677
29, 5223212.00, 5251610.00, 4469100.00, 24, 2780
30, 5226676.00, 5250495.00, 4471513.00, 24, 2883
31, 5229300.00, 5251011.00, 4472139.00, 24, 2986
32, 5231786.00, 5251071.00, 4469247.00, 24, 3089
33, 5237258.00, 5241896.00, 4481160.00, 24, 3192
34, 5244259.00, 5229018.00, 4507915.00, 24, 3295
35, 5246283.00, 5218806.00, 4531244.00, 24, 3398
36, 5240849.00, 5210672.00, 4540177.00, 24, 3501
37, 5237349.00, 5209226.00, 4533002.00, 24, 3604
38, 5235639.00, 5214062.00, 4524802.00, 24, 3706
39, 5229928.00, 5218291.00, 4519740.00, 24, 3809
40, 5219994.00, 5217550.00, 4511777.00, 24, 3912
41, 5208071.00, 5221618.00, 4495163.00, 24, 4015
42, 5203800.00, 5218984.00, 4498786.00, 24, 4118
43, 5204530.00, 5214171.00, 4488116.00, 24, 4221
44, 5215739.00, 5210199.00, 4499923.00, 24, 4324
45, 5223324.00, 5190616.00, 4527929.00, 24, 4427
46, 5226593.00, 5206042.00, 4507365.00, 24, 4530
47, 5235933.00, 5236650.00, 4471581.00, 24, 4633
48, 5232182.00, 5240811.00, 4441139.00, 24, 4736
49, 5225094.00, 5213646.00, 4454073.00, 24, 4839
50, 5215651.00, 5190159.00, 4531618.00, 24, 4942
51, 5204562.00, 5183160.00, 4537440.00, 24, 5045
52, 5207739.00, 5172203.00, 4557203.00, 24, 5148
53, 5225268.00, 5159543.00, 4587094.00, 24, 5251
54, 5237703.00, 5166697.00, 4572977.00, 24, 5354
55, 5245252.00, 5182468.00, 4535296.00, 24, 5457
56, 5236858.00, 5191685.00, 4497826.00, 24, 5559
BASELINE Time: 11:4:37
RECORDING Time: 11:4:39
1, 5027035.00, 5237784.00, 4384959.00, 24, 0
2, 5030014.00, 5242215.00, 4373287.00, 24, 0
3, 5046116.00, 5249950.00, 4359552.00, 24, 103
4, 5063443.00, 5255253.00, 4337384.00, 24, 206
5, 5051384.00, 5258582.00, 4306052.00, 24, 309
6, 4981257.00, 5261760.00, 4298236.00, 24, 411
7, 4985863.00, 5267714.00, 4335822.00, 24, 514
8, 5045116.00, 5265542.00, 4419049.00, 24, 617
9, 5115408.00, 5224960.00, 4480857.00, 24, 720
10, 5168491.00, 5209305.00, 4530193.00, 24, 823
11, 5212021.00, 5226380.00, 4555121.00, 24, 926
12, 5252518.00, 5291991.00, 4536083.00, 24, 1029
13, 5279374.00, 5396745.00, 4467428.00, 24, 1132
14, 5290520.00, 5495041.00, 4369276.00, 24, 1235
15, 5295036.00, 5635448.00, 4285672.00, 24, 1338
16, 5312306.00, 5863401.00, 4136866.00, 24, 1441
17, 5344180.00, 6135782.00, 3868420.00, 24, 1544
18, 5388427.00, 6385351.00, 3505001.00, 24, 1647
19, 5529907.00, 6728772.00, 2555553.00, 24, 1750
20, 5655901.00, 7079151.00, 2162688.00, 24, 1853
21, 5720403.00, 7335646.00, 1831467.00, 24, 1956
22, 5719458.00, 7591435.00, 1448300.00, 24, 2059
23, 5740965.00, 7845442.00, 1048577.00, 24, 2161
24, 5795692.00, 8083315.00, 827570.00, 24, 2264
25, 5803228.00, 8055314.00, 964955.00, 24, 2367
26, 5781251.00, 7750597.00, 1427873.00, 24, 2470
27, 5734289.00, 7269055.00, 2095973.00, 24, 2573
28, 5635256.00, 6749738.00, 2783728.00, 24, 2676
29, 5529278.00, 6260170.00, 3360388.00, 24, 2779
30, 5429763.00, 5895834.00, 3790508.00, 24, 2882
31, 5296297.00, 5574083.00, 4192857.00, 24, 2985
32, 5185819.00, 5267697.00, 4586496.00, 24, 3088
33, 5122296.00, 5076838.00, 5005649.00, 24, 3191
34, 5099777.00, 4949627.00, 5047191.00, 24, 3294
35, 5098083.00, 4878050.00, 5033733.00, 24, 3397
36, 5106339.00, 4882088.00, 4985267.00, 24, 3500
37, 5117320.00, 5001908.00, 4830820.00, 24, 3603
38, 5174708.00, 5257068.00, 4541754.00, 24, 3706
39, 5277769.00, 5612065.00, 4166160.00, 24, 3809
40, 5347956.00, 5953082.00, 3772455.00, 24, 3912
41, 5372005.00, 6216567.00, 3421270.00, 24, 4015
42, 5433916.00, 6488305.00, 3041736.00, 24, 4117
43, 5535878.00, 6759861.00, 2736065.00, 24, 4220
44, 5661756.00, 7125682.00, 2386168.00, 24, 4323
45, 5767124.00, 7506191.00, 1909000.00, 24, 4426
46, 5823400.00, 7605605.00, 1645714.00, 24, 4529
47, 5892490.00, 7444023.00, 2243163.00, 24, 4632
48, 5900686.00, 7223712.00, 2499098.00, 24, 4735
49, 5885517.00, 7100091.00, 2567034.00, 24, 4838
50, 5859050.00, 7026608.00, 2641022.00, 24, 4941
