Date: 27.3.2020 , In use by: Mena
Daytime: 10:54:31, Temperature: 25°C
ID, strain1, strain2, strain3, temp [°C], runtime [ms]
BASELINE Time: 10:55:6
1, 6060229.00, 6050873.00, 4791976.00, 24, 0
2, 6061468.00, 6052778.00, 4754806.00, 24, 0
3, 6063238.00, 6048298.00, 4771457.00, 24, 103
4, 6062615.00, 6046890.00, 4786111.00, 24, 206
5, 6061712.00, 6046793.00, 4793764.00, 24, 309
6, 6063369.00, 6048257.00, 4793802.00, 24, 412
7, 6067353.00, 6048229.00, 4794912.00, 24, 514
8, 6068122.00, 6049025.00, 4757923.00, 24, 617
9, 6067941.00, 6052424.00, 4749716.00, 24, 720
10, 6066219.00, 6053692.00, 4764100.00, 24, 823
11, 6063997.00, 6051057.00, 4775761.00, 24, 926
12, 6066964.00, 6047145.00, 4783925.00, 24, 1029
13, 6067662.00, 6047709.00, 4785829.00, 24, 1132
14, 6065100.00, 6054231.00, 4782479.00, 24, 1235
15, 6063313.00, 6059640.00, 4784785.00, 24, 1338
16, 6066260.00, 6060847.00, 4789248.00, 24, 1441
17, 6071792.00, 6048338.00, 4811959.00, 24, 1544
18, 6066555.00, 6060077.00, 4823437.00, 24, 1647
19, 6032399.00, 6111962.00, 4765147.00, 24, 1750
20, 6001295.00, 6097085.00, 4744306.00, 24, 1853
21, 6021720.00, 6034142.00, 4907021.00, 24, 1955
22, 6042850.00, 5993802.00, 5257458.00, 24, 2058
23, 6044272.00, 5983254.00, 5231556.00, 24, 2161
24, 6025849.00, 6011939.00, 5110894.00, 24, 2264
25, 5988535.00, 6028348.00, 5010260.00, 24, 2367
26, 5951311.00, 6031150.00, 4899906.00, 24, 2470
27, 5929334.00, 6040158.00, 4808914.00, 24, 2573
28, 5934740.00, 6043025.00, 4739584.00, 24, 2676
29, 5986280.00, 6083298.00, 4635412.00, 24, 2779
30, 6070931.00, 6096456.00, 4611678.00, 24, 2882
31, 6181020.00, 6029869.00, 4760709.00, 24, 2985
32, 6221563.00, 5991922.00, 4895372.00, 24, 3088
33, 6189425.00, 6038549.00, 4813762.00, 24, 3191
34, 6170334.00, 6146385.00, 4517557.00, 24, 3293
35, 6203189.00, 6205465.00, 4423546.00, 24, 3396
36, 6205756.00, 6152875.00, 4518052.00, 24, 3499
37, 6217394.00, 6087138.00, 4720187.00, 24, 3602
38, 6236873.00, 6049739.00, 4777602.00, 24, 3705
39, 6252340.00, 6067992.00, 4781653.00, 24, 3808
40, 6268638.00, 6087404.00, 4769497.00, 24, 3911
41, 6271674.00, 6120675.00, 4717477.00, 24, 4014
42, 6264631.00, 6163035.00, 4626329.00, 24, 4117
43, 6252607.00, 6147323.00, 4617300.00, 24, 4220
44, 6239397.00, 6082954.00, 4715704.00, 24, 4323
45, 6248807.00, 6063909.00, 4760117.00, 24, 4426
46, 6264499.00, 6079533.00, 4738958.00, 24, 4529
47, 6264792.00, 6088587.00, 4700122.00, 24, 4632
48, 6255881.00, 6086039.00, 4705973.00, 24, 4734
49, 6246445.00, 6079454.00, 4742470.00, 24, 4837
50, 6241059.00, 6069715.00, 4791319.00, 24, 4940
51, 6232768.00, 6072313.00, 4871519.00, 24, 5043
52, 6238017.00, 6059994.00, 4971549.00, 24, 5146
53, 6292635.00, 6019273.00, 5080038.00, 24, 5249
54, 6402353.00, 6002026.00, 5106597.00, 24, 5352
55, 6499977.00, 6023929.00, 5116121.00, 24, 5455
56, 6527885.00, 6035355.00, 5202197.00, 24, 5558
57, 6511027.00, 6016278.00, 5323279.00, 24, 5661
58, 6476135.00, 5975355.00, 5501726.00, 24, 5764
59, 6392850.00, 5934230.00, 5614057.00, 24, 5867
60, 6296919.00, 5878261.00, 5623145.00, 24, 5970
61, 6227465.00, 5832691.00, 5598616.00, 24, 6073
62, 6185036.00, 5797002.00, 5584337.00, 24, 6175
63, 6150877.00, 5769239.00, 5597524.00, 24, 6278
64, 6121522.00, 5747543.00, 5622490.00, 24, 6381
65, 6103715.00, 5746475.00, 5626179.00, 24, 6484
66, 6094023.00, 5736661.00, 5645656.00, 24, 6587
67, 6089266.00, 5735615.00, 5648061.00, 24, 6690
68, 6091917.00, 5738577.00, 5642882.00, 24, 6793
69, 6103213.00, 5723881.00, 5669841.00, 24, 6896
70, 6122638.00, 5695370.00, 5735731.00, 24, 6999
BASELINE Time: 10:55:13
RECORDING Time: 10:55:14
1, 6196538.00, 5767496.00, 5642419.00, 24, 0
2, 6181790.00, 5770199.00, 5619265.00, 24, 0
3, 6175636.00, 5766121.00, 5601721.00, 24, 103
4, 6176593.00, 5768606.00, 5575300.00, 24, 206
5, 6178241.00, 5774303.00, 5556662.00, 24, 309
6, 6181853.00, 5789598.00, 5507764.00, 24, 412
7, 6191830.00, 5804142.00, 5480540.00, 24, 515
8, 6201970.00, 5814568.00, 5453238.00, 24, 617
9, 6209623.00, 5841232.00, 5383869.00, 24, 720
10, 6216847.00, 5834829.00, 5375876.00, 24, 823
11, 6222431.00, 5819362.00, 5399103.00, 24, 926
12, 6229642.00, 5808920.00, 5430224.00, 24, 1029
13, 6258605.00, 5786208.00, 5498900.00, 24, 1132
14, 6296428.00, 5765884.00, 5541965.00, 24, 1235
15, 6314897.00, 5784258.00, 5492226.00, 24, 1338
16, 6336626.00, 5821148.00, 5411419.00, 24, 1441
17, 6368379.00, 5914102.00, 5219923.00, 24, 1544
18, 6386848.00, 6083529.00, 4901078.00, 24, 1647
19, 6350736.00, 6239141.00, 4675008.00, 24, 1750
20, 6272352.00, 6382969.00, 4476510.00, 24, 1853
21, 6245661.00, 6512077.00, 4276514.00, 24, 1955
22, 6243854.00, 6583624.00, 4185391.00, 24, 2058
23, 6224332.00, 6599846.00, 4151883.00, 24, 2161
24, 6216386.00, 6598008.00, 4139087.00, 24, 2264
25, 6201172.00, 6601077.00, 4112482.00, 24, 2367
26, 6179209.00, 6584625.00, 4109984.00, 24, 2470
27, 6169789.00, 6559403.00, 4145373.00, 24, 2573
28, 6195664.00, 6537044.00, 4191690.00, 24, 2676
29, 6222308.00, 6516239.00, 4262612.00, 24, 2779
30, 6237127.00, 6468660.00, 4369818.00, 24, 2882
31, 6246883.00, 6410935.00, 4450591.00, 24, 2985
32, 6252252.00, 6394872.00, 4447447.00, 24, 3088
33, 6214055.00, 6424954.00, 4351098.00, 24, 3191
34, 6135781.00, 6452680.00, 4230280.00, 24, 3294
35, 6058029.00, 6450029.00, 4117046.00, 24, 3396
36, 5943979.00, 6406745.00, 3972106.00, 24, 3499
37, 5819675.00, 6381028.00, 3798534.00, 24, 3602
38, 5748302.00, 6389765.00, 3652074.00, 24, 3705
39, 5722489.00, 6431476.00, 3526415.00, 24, 3808
40, 5699278.00, 6471669.00, 3357160.00, 24, 3911
41, 5695599.00, 6534241.00, 3286364.00, 24, 4014
42, 5695726.00, 6580558.00, 3257403.00, 24, 4117
43, 5711548.00, 6574916.00, 3308589.00, 24, 4220
44, 5721372.00, 6509115.00, 3428833.00, 24, 4323
45, 5726133.00, 6354973.00, 3661984.00, 24, 4426
46, 5710308.00, 6119482.00, 3988725.00, 24, 4529
47, 5696899.00, 5832295.00, 4401435.00, 24, 4632
48, 5703732.00, 5597155.00, 4803919.00, 24, 4735
49, 5716532.00, 5475183.00, 5070186.00, 24, 4838
50, 5713087.00, 5419459.00, 5215974.00, 24, 4941
51, 5699825.00, 5363662.00, 5328265.00, 24, 5043
52, 5702825.00, 5316934.00, 5417512.00, 24, 5146
53, 5710789.00, 5346166.00, 5350257.00, 24, 5249
54, 5699958.00, 5391756.00, 5158909.00, 24, 5352
55, 5683876.00, 5423944.00, 5129980.00, 24, 5455
56, 5685104.00, 5438452.00, 5137079.00, 24, 5558
57, 5705844.00, 5476957.00, 5150365.00, 24, 5661
58, 5740044.00, 5537618.00, 5188166.00, 24, 5764
59, 5753720.00, 5586023.00, 5186957.00, 24, 5867
60, 5756793.00, 5623073.00, 5125106.00, 24, 5970
61, 5762845.00, 5670666.00, 5039114.00, 24, 6073
62, 5764581.00, 5744433.00, 4985393.00, 24, 6176
63, 5768953.00, 5830194.00, 4934918.00, 24, 6279
64, 5776598.00, 6074339.00, 4675251.00, 24, 6382
65, 5771511.00, 6347372.00, 4180261.00, 24, 6485
66, 5771433.00, 6509261.00, 3751473.00, 24, 6588
67, 5792155.00, 6666852.00, 3488739.00, 24, 6691
68, 5809776.00, 6795452.00, 3097697.00, 24, 6793
69, 5870637.00, 6772337.00, 3261616.00, 24, 6896
70, 5922799.00, 6591010.00, 3606537.00, 24, 6999
71, 5904410.00, 6339083.00, 3937679.00, 24, 7102
72, 5884106.00, 6162678.00, 4130268.00, 24, 7205
73, 5889750.00, 6088137.00, 4221959.00, 24, 7308
74, 5883160.00, 6008685.00, 4337641.00, 24, 7411
75, 5869451.00, 5916024.00, 4449429.00, 24, 7514
76, 5831871.00, 5804504.00, 4591443.00, 24, 7617
77, 5789546.00, 5676526.00, 4745376.00, 24, 7720
78, 5771450.00, 5623914.00, 4793655.00, 24, 7823
79, 5761821.00, 5624182.00, 4787219.00, 24, 7926
80, 5749373.00, 5642149.00, 4765171.00, 24, 8029
81, 5740521.00, 5667049.00, 4734773.00, 24, 8132
82, 5734147.00, 5692298.00, 4667755.00, 24, 8235
83, 5731641.00, 5711976.00, 4646622.00, 24, 8337
84, 5732487.00, 5723504.00, 4644443.00, 24, 8440
85, 5740740.00, 5724960.00, 4654046.00, 24, 8543
86, 5759048.00, 5713376.00, 4694975.00, 24, 8646
87, 5760436.00, 5700373.00, 4687200.00, 24, 8749
88, 5752880.00, 5743581.00, 4634827.00, 24, 8852
89, 5747607.00, 5758737.00, 4594039.00, 24, 8955
90, 5745913.00, 5764552.00, 4572359.00, 24, 9058
91, 5739970.00, 5774726.00, 4550629.00, 24, 9161
92, 5738419.00, 5797569.00, 4502922.00, 24, 9264
93, 5744616.00, 5804052.00, 4461415.00, 24, 9367
94, 5747119.00, 5799012.00, 4468490.00, 24, 9470
95, 5746339.00, 5804445.00, 4473096.00, 24, 9573
96, 5745975.00, 5815583.00, 4443336.00, 24, 9676
97, 5745392.00, 5828524.00, 4421501.00, 24, 9778
98, 5748301.00, 5837453.00, 4406262.00, 24, 9881
99, 5751210.00, 5846624.00, 4387927.00, 24, 9984
100, 5748643.00, 5848372.00, 4385671.00, 24, 10087
101, 5746003.00, 5828156.00, 4415137.00, 24, 10190
102, 5748254.00, 5789321.00, 4466963.00, 24, 10293
103, 5750419.00, 5771231.00, 4483456.00, 24, 10396
104, 5751657.00, 5785638.00, 4454186.00, 24, 10499
105, 5762231.00, 5816579.00, 4402170.00, 24, 10602
106, 5781049.00, 5848293.00, 4350254.00, 24, 10705
107, 5811837.00, 5892519.00, 4286134.00, 24, 10808
108, 5856897.00, 5991681.00, 4193558.00, 24, 10911
109, 5875617.00, 6115595.00, 4106292.00, 24, 11014
