Date: 27.3.2020 , In use by: Mena
Daytime: 10:49:48, Temperature: 25°C
ID, strain1, strain2, strain3, temp [°C], runtime [ms]
BASELINE Time: 10:50:22
1, 6140953.00, 6045647.00, 4254541.00, 25, 0
2, 6148583.00, 6055902.00, 4284968.00, 25, 0
3, 6151859.00, 6065084.00, 4293679.00, 25, 103
4, 6144088.00, 6073930.00, 4283543.00, 25, 206
5, 6126994.00, 6079944.00, 4253599.00, 25, 309
6, 6111913.00, 6068887.00, 4272188.00, 25, 412
7, 6104179.00, 6051316.00, 4279695.00, 25, 515
8, 6108613.00, 6044178.00, 4281241.00, 25, 617
9, 6110998.00, 6038001.00, 4308751.00, 25, 720
10, 6123125.00, 6023580.00, 4344892.00, 25, 823
11, 6137230.00, 5999561.00, 4383925.00, 25, 926
12, 6155347.00, 5980809.00, 4439853.00, 25, 1029
13, 6176760.00, 5983938.00, 4468792.00, 25, 1132
14, 6194554.00, 5994417.00, 4473647.00, 25, 1235
15, 6207158.00, 5993586.00, 4488972.00, 25, 1338
16, 6218149.00, 5985616.00, 4521144.00, 25, 1441
17, 6230333.00, 5982070.00, 4549069.00, 25, 1544
18, 6242147.00, 5980560.00, 4571229.00, 25, 1647
19, 6250609.00, 5976547.00, 4599349.00, 25, 1749
20, 6254689.00, 5980009.00, 4613643.00, 25, 1852
21, 6256238.00, 5987358.00, 4606694.00, 25, 1955
22, 6253583.00, 5998285.00, 4585157.00, 25, 2058
23, 6248831.00, 6009685.00, 4563907.00, 25, 2161
24, 6246373.00, 6017587.00, 4552350.00, 25, 2264
25, 6244773.00, 6026354.00, 4539028.00, 25, 2367
26, 6241285.00, 6033425.00, 4527836.00, 25, 2470
27, 6237212.00, 6038407.00, 4510860.00, 25, 2573
28, 6230935.00, 6060465.00, 4462822.00, 25, 2676
29, 6221203.00, 6076531.00, 4428295.00, 25, 2779
30, 6215307.00, 6079759.00, 4410918.00, 25, 2881
31, 6213157.00, 6080846.00, 4404037.00, 25, 2984
32, 6204089.00, 6092011.00, 4375007.00, 25, 3087
33, 6182701.00, 6112951.00, 4315173.00, 25, 3190
34, 6164038.00, 6131414.00, 4251640.00, 25, 3293
35, 6168521.00, 6142180.00, 4239714.00, 25, 3396
36, 6175923.00, 6132045.00, 4285650.00, 25, 3499
37, 6179352.00, 6111812.00, 4318481.00, 25, 3602
38, 6185852.00, 6096399.00, 4334384.00, 25, 3705
39, 6195080.00, 6096745.00, 4347340.00, 25, 3808
40, 6198415.00, 6098217.00, 4351185.00, 25, 3911
41, 6194789.00, 6089420.00, 4356687.00, 25, 4013
