Date: 27.3.2020 , In use by: Mena
Daytime: 10:40:15, Temperature: 25°C
ID, strain1, strain2, strain3, strain4, strain5, strain6, temp [°C], runtime [ms]
15, 0.00, 6418272.00, 8397981.00, 5906546.00, 14685301.00, 16777215.00, 25, 3355
16, 0.00, 6424897.00, 8397991.00, 5900942.00, 13604992.00, 16777215.00, 25, 3627
17, 0.00, 6446335.00, 8397971.00, 5919561.00, 16777215.00, 16777215.00, 25, 3990
18, 0.00, 6464818.00, 8398040.00, 5892732.00, 13984246.00, 16777215.00, 25, 4262
19, 0.00, 6488586.00, 8397935.00, 5924470.00, 10236572.00, 16777215.00, 25, 4534
20, 0.00, 6501352.00, 8397941.00, 5929320.00, 16777215.00, 16777215.00, 25, 4806
21, 0.00, 6509571.00, 8398014.00, 5932987.00, 15891003.00, 16777215.00, 25, 4987
22, 0.00, 6489892.00, 8397974.00, 5882552.00, 16777215.00, 16777215.00, 25, 5259
23, 0.00, 6476128.00, 8398000.00, 5899295.00, 16007193.00, 16777215.00, 25, 5531
24, 0.00, 6486386.00, 8398083.00, 5952384.00, 351090.00, 16777215.00, 25, 5894
25, 0.00, 6479779.00, 8398045.00, 5905160.00, 5560628.00, 16777215.00, 25, 6166
26, 0.00, 6462513.00, 8398088.00, 5895723.00, 16777215.00, 16777215.00, 25, 6529
27, 0.00, 6451066.00, 8397936.00, 5899933.00, 9932692.00, 16777215.00, 25, 7345
28, 0.00, 6441942.00, 8397955.00, 5910390.00, 16777215.00, 16777215.00, 25, 7526
29, 0.00, 6446620.00, 8398013.00, 5928141.00, 16777215.00, 16777215.00, 25, 7708
30, 0.00, 6465838.00, 8397884.00, 5942825.00, 16777215.00, 16777215.00, 25, 8071
31, 0.00, 6434181.00, 8397974.00, 5912782.00, 3079937.00, 16777215.00, 25, 8343
32, 0.00, 6492123.00, 8397945.00, 5977354.00, 363483.00, 16777215.00, 25, 8706
33, 0.00, 6495333.00, 8398082.00, 5908683.00, 16777215.00, 16777215.00, 25, 8978
34, 0.00, 6480501.00, 8398005.00, 5875567.00, 2688842.00, 16777215.00, 25, 9340
35, 0.00, 6480623.00, 8397965.00, 5853262.00, 16777215.00, 16777215.00, 25, 9612
36, 0.00, 6467639.00, 8397868.00, 5836457.00, 535679.00, 16777215.00, 25, 9885
37, 0.00, 6459037.00, 8397911.00, 5824653.00, 0.00, 16777215.00, 25, 10157
38, 0.00, 6455892.00, 8398091.00, 5815665.00, 16777215.00, 16777215.00, 25, 10429
39, 0.00, 6447209.00, 8397982.00, 5804386.00, 97459.00, 16777215.00, 25, 10701
40, 0.00, 6452927.00, 8397954.00, 5793765.00, 0.00, 16777215.00, 25, 10973
41, 0.00, 6452123.00, 8397912.00, 5815186.00, 4439852.00, 16777215.00, 25, 11336
42, 0.00, 6473011.00, 8397952.00, 5861123.00, 16777215.00, 16777215.00, 25, 11608
43, 0.00, 6481262.00, 8397874.00, 5853110.00, 16777215.00, 16777215.00, 25, 11971
44, 0.00, 6490002.00, 8398139.00, 5931755.00, 14457764.00, 16777215.00, 25, 12243
45, 0.00, 6473308.00, 8397913.00, 5850421.00, 0.00, 16777215.00, 25, 12424
46, 0.00, 6454582.00, 8397931.00, 5826108.00, 8518172.00, 16777215.00, 25, 12696
47, 0.00, 6478690.00, 8397903.00, 5913210.00, 16777215.00, 16777215.00, 25, 12968
48, 0.00, 6494584.00, 8398106.00, 5888581.00, 16777215.00, 16777215.00, 25, 13150
49, 0.00, 6498949.00, 8397950.00, 5832016.00, 16777215.00, 16777215.00, 25, 13422
50, 0.00, 6475913.00, 8397998.00, 5735786.00, 16777215.00, 16777215.00, 25, 13785
51, 0.00, 6388999.00, 8398009.00, 5869194.00, 16777215.00, 16777215.00, 25, 14147
52, 0.00, 6343927.00, 8397984.00, 5764761.00, 16777215.00, 16777215.00, 25, 14510
53, 0.00, 6500176.00, 8397907.00, 6055747.00, 8744617.00, 16777215.00, 25, 14873
54, 0.00, 6576866.00, 8397883.00, 6189033.00, 16777215.00, 16777215.00, 25, 15145
55, 0.00, 6553907.00, 8397946.00, 6013467.00, 13340907.00, 16777215.00, 25, 15508
56, 0.00, 6547649.00, 8398008.00, 5949282.00, 16777215.00, 16777215.00, 25, 15780
57, 0.00, 6568824.00, 8397977.00, 5894515.00, 16777215.00, 16777215.00, 25, 16143
58, 0.00, 6584323.00, 8398043.00, 5868512.00, 16777215.00, 16777215.00, 25, 16506
59, 0.00, 6578188.00, 8398013.00, 5747466.00, 16777215.00, 16777215.00, 25, 16778
60, 0.00, 6551846.00, 8398077.00, 5748547.00, 16777215.00, 16777215.00, 25, 17050
61, 0.00, 6554443.00, 8397945.00, 5768311.00, 16777215.00, 16777215.00, 25, 17231
62, 0.00, 6546863.00, 8398001.00, 5686236.00, 16777215.00, 16777215.00, 25, 17412
63, 0.00, 6556730.00, 8398078.00, 5726171.00, 16777215.00, 16777215.00, 25, 17594
64, 0.00, 6566062.00, 8398117.00, 5756350.00, 16777215.00, 16777215.00, 25, 17866
65, 0.00, 6563936.00, 8397963.00, 5757363.00, 16777215.00, 16777215.00, 25, 18229
66, 0.00, 6573097.00, 8397974.00, 5740806.00, 16777215.00, 16777215.00, 25, 18501
67, 0.00, 6567634.00, 8398061.00, 5727549.00, 16777215.00, 16777215.00, 25, 18864
68, 0.00, 6547551.00, 8398014.00, 5689596.00, 16777215.00, 16777215.00, 25, 19136
69, 0.00, 6525270.00, 8398065.00, 5779674.00, 16777215.00, 16777215.00, 25, 19498
70, 0.00, 6513297.00, 8397956.00, 5821370.00, 16777215.00, 16777215.00, 25, 19861
71, 0.00, 6513229.00, 8398024.00, 5821948.00, 16777215.00, 16777215.00, 25, 20224
72, 0.00, 6518399.00, 8397911.00, 5788116.00, 16777215.00, 16777215.00, 25, 20496
73, 0.00, 6527811.00, 8397931.00, 5760250.00, 14112350.00, 16777215.00, 25, 20677
74, 0.00, 6553101.00, 8397904.00, 5746913.00, 4747179.00, 16777215.00, 25, 20950
75, 0.00, 6558067.00, 8397875.00, 5667687.00, 11395711.00, 16777215.00, 25, 21222
76, 0.00, 6526992.00, 8397987.00, 5632172.00, 1216466.00, 16777215.00, 25, 21585
77, 0.00, 6512992.00, 8398058.00, 5681058.00, 16777215.00, 16777215.00, 25, 21857
78, 0.00, 6534460.00, 8397910.00, 5750455.00, 16777215.00, 16777215.00, 25, 22219
79, 0.00, 6526769.00, 8398117.00, 5743586.00, 16777215.00, 16777215.00, 25, 22491
80, 0.00, 6512683.00, 8398072.00, 5746975.00, 16777215.00, 16777215.00, 25, 22763
81, 0.00, 6518507.00, 8397989.00, 5752924.00, 16777215.00, 16777215.00, 25, 23126
82, 0.00, 6530715.00, 8398021.00, 5768752.00, 16777215.00, 16777215.00, 25, 23852
83, 0.00, 6540502.00, 8398039.00, 5792039.00, 16777215.00, 16777215.00, 25, 24033
84, 0.00, 6547587.00, 8397842.00, 5792735.00, 16777215.00, 16777215.00, 25, 24396
85, 0.00, 6555553.00, 8397992.00, 5795387.00, 16777215.00, 16777215.00, 25, 24668
86, 0.00, 6558838.00, 8397990.00, 5768043.00, 16777215.00, 16777215.00, 25, 24940
87, 0.00, 6563943.00, 8397975.00, 5765858.00, 16777215.00, 16777215.00, 25, 25212
88, 0.00, 6570796.00, 8397982.00, 5767571.00, 16777215.00, 16777215.00, 25, 25485
89, 0.00, 6576439.00, 8397848.00, 5757064.00, 16777215.00, 16777215.00, 25, 25757
90, 0.00, 6516208.00, 8398118.00, 5819781.00, 16777215.00, 16777215.00, 25, 26119
91, 0.00, 6516572.00, 8398067.00, 5900686.00, 16777215.00, 16777215.00, 25, 26482
92, 0.00, 6540051.00, 8398022.00, 5863014.00, 16777215.00, 16777215.00, 25, 26845
93, 0.00, 6521169.00, 8397896.00, 5833513.00, 16777215.00, 16777215.00, 25, 27207
94, 0.00, 6533948.00, 8397949.00, 5829503.00, 16777215.00, 16777215.00, 25, 27389
95, 0.00, 6539862.00, 8398019.00, 5834758.00, 16777215.00, 16777215.00, 25, 27570
96, 0.00, 6560974.00, 8398050.00, 5862081.00, 16777215.00, 16777215.00, 25, 27842
97, 0.00, 6573221.00, 8398083.00, 5782595.00, 16777215.00, 16777215.00, 25, 28023
98, 0.00, 6555739.00, 8398023.00, 5683704.00, 16777215.00, 16777215.00, 25, 28205
99, 0.00, 6506259.00, 8397838.00, 5717082.00, 16777215.00, 16777215.00, 25, 28477
100, 0.00, 6542633.00, 8398000.00, 5833453.00, 16777215.00, 16777215.00, 25, 28749
101, 0.00, 6522866.00, 8397905.00, 5640329.00, 16777215.00, 16777215.00, 25, 28930
102, 0.00, 6534696.00, 8398086.00, 5732716.00, 16777215.00, 16777215.00, 25, 29202
RECORDING Time: 10:41:20
BASELINE Time: 10:41:48
1, 0.00, 6495904.00, 8398006.00, 5674968.00, 7339890.00, 16777215.00, 25, 0
2, 0.00, 6499081.00, 8398139.00, 5690849.00, 16777215.00, 16777215.00, 25, 0
3, 0.00, 6501954.00, 8397918.00, 5697989.00, 16777215.00, 16777215.00, 25, 181
4, 0.00, 6503865.00, 8398020.00, 5693515.00, 6680416.00, 16777215.00, 25, 544
5, 0.00, 6502225.00, 8398164.00, 5700906.00, 6672774.00, 16777215.00, 25, 816
6, 0.00, 6500738.00, 8398119.00, 5691080.00, 6658242.00, 16777215.00, 25, 1179
7, 0.00, 6506211.00, 8397886.00, 5742145.00, 6655880.00, 16777215.00, 25, 1633
8, 0.00, 6512273.00, 8397956.00, 5762882.00, 6645436.00, 16777215.00, 25, 1905
9, 0.00, 6522603.00, 8397961.00, 5798280.00, 6637143.00, 16777215.00, 25, 2177
10, 0.00, 6517577.00, 8398033.00, 5776951.00, 6637735.00, 16777215.00, 25, 2540
11, 0.00, 6499152.00, 8397930.00, 5797762.00, 6621209.00, 16777215.00, 25, 2812
12, 0.00, 6451493.00, 8397956.00, 5763967.00, 6547905.00, 16777215.00, 25, 3175
13, 0.00, 6390911.00, 8397965.00, 5737721.00, 6512891.00, 16777215.00, 25, 3447
14, 0.00, 6509093.00, 8397786.00, 5753183.00, 6497619.00, 16777215.00, 25, 3719
15, 0.00, 6573619.00, 8398022.00, 5794163.00, 6495848.00, 16777215.00, 25, 4082
16, 0.00, 6552655.00, 8397966.00, 5819161.00, 6515188.00, 16777215.00, 25, 4264
17, 0.00, 6532145.00, 8397919.00, 5816705.00, 6513336.00, 16777215.00, 25, 4627
18, 0.00, 6527817.00, 8397897.00, 5854050.00, 6469623.00, 16777215.00, 25, 4899
19, 0.00, 6514434.00, 8397962.00, 5877494.00, 6483297.00, 16777215.00, 25, 5080
20, 0.00, 6518634.00, 8398051.00, 5882190.00, 6343888.00, 16777215.00, 25, 5352
21, 0.00, 6510523.00, 8398145.00, 5860298.00, 8074668.00, 16777215.00, 25, 5624
22, 0.00, 6519553.00, 8397884.00, 5854529.00, 8017057.00, 16777215.00, 25, 5806
23, 0.00, 6514809.00, 8398015.00, 5859889.00, 6774708.00, 16777215.00, 25, 6078
24, 0.00, 6518317.00, 8397992.00, 5875428.00, 5734996.00, 16777215.00, 25, 6350
25, 0.00, 6515145.00, 8397951.00, 5876344.00, 5076918.00, 16777215.00, 25, 6622
26, 0.00, 6517108.00, 8397960.00, 5872792.00, 5216560.00, 16777215.00, 25, 6803
27, 0.00, 6520723.00, 8397961.00, 5876303.00, 5399903.00, 16777215.00, 25, 6985
28, 0.00, 6518087.00, 8398033.00, 5879019.00, 5465170.00, 16777215.00, 25, 7348
29, 0.00, 6513667.00, 8398009.00, 5877554.00, 5320149.00, 16777215.00, 25, 7620
30, 0.00, 6512379.00, 8397950.00, 5888536.00, 5178836.00, 16777215.00, 25, 7983
31, 0.00, 6512258.00, 8398068.00, 5900232.00, 5316533.00, 16777215.00, 25, 8255
32, 0.00, 6510644.00, 8397917.00, 5897106.00, 5331347.00, 16777215.00, 25, 8708
33, 0.00, 6504663.00, 8397929.00, 5892512.00, 5205984.00, 16777215.00, 25, 9071
34, 0.00, 6496565.00, 8397979.00, 5897543.00, 4933676.00, 16777215.00, 25, 9343
35, 0.00, 6495538.00, 8398024.00, 5914467.00, 5322501.00, 16777215.00, 25, 9615
36, 0.00, 6502829.00, 8397867.00, 5903251.00, 6096163.00, 16777215.00, 25, 9887
37, 0.00, 6503721.00, 8397827.00, 5906143.00, 6446201.00, 16777215.00, 25, 10160
38, 0.00, 6506894.00, 8397936.00, 5906627.00, 6454404.00, 16777215.00, 25, 10432
39, 0.00, 6495669.00, 8398026.00, 5923176.00, 6464230.00, 16777215.00, 25, 10795
40, 0.00, 6489432.00, 8397956.00, 5916522.00, 6463678.00, 16777215.00, 25, 11067
41, 0.00, 6489183.00, 8398020.00, 5934163.00, 6467422.00, 16777215.00, 25, 11430
42, 0.00, 6495478.00, 8397927.00, 5955315.00, 6471759.00, 16777215.00, 25, 11611
43, 0.00, 6488238.00, 8398028.00, 6007945.00, 6485004.00, 16777215.00, 25, 11792
44, 0.00, 6480151.00, 8398037.00, 6031850.00, 6513246.00, 16777215.00, 25, 11974
45, 0.00, 6485771.00, 8398119.00, 5951110.00, 6551046.00, 16777215.00, 25, 12246
46, 0.00, 6486083.00, 8398038.00, 5853005.00, 6576102.00, 16777215.00, 25, 12427
47, 0.00, 6498835.00, 8397992.00, 5820584.00, 6590145.00, 16777215.00, 25, 12608
48, 0.00, 6531719.00, 8398010.00, 5860964.00, 6578342.00, 16777215.00, 25, 12880
49, 0.00, 6510876.00, 8398017.00, 5799981.00, 6622930.00, 16777215.00, 25, 13243
50, 0.00, 6488445.00, 8397953.00, 5719302.00, 6550815.00, 16777215.00, 25, 13606
51, 0.00, 6480093.00, 8398007.00, 5741332.00, 6556157.00, 16777215.00, 25, 13969
52, 0.00, 6487810.00, 8398006.00, 5766805.00, 6564336.00, 16777215.00, 25, 14241
53, 0.00, 6495720.00, 8397969.00, 5768386.00, 6571014.00, 16777215.00, 25, 14513
BASELINE Time: 10:42:4
RECORDING Time: 10:42:6
1, 0.00, 6487451.00, 8397975.00, 5752774.00, 6578855.00, 16777215.00, 25, 0
2, 0.00, 6487667.00, 8397932.00, 5750622.00, 6581912.00, 16777215.00, 25, 0
3, 0.00, 6485415.00, 8397959.00, 5741146.00, 6579615.00, 16777215.00, 25, 363
4, 0.00, 6479375.00, 8397945.00, 5773444.00, 7934968.00, 16777215.00, 25, 635
5, 0.00, 6484236.00, 8397985.00, 5704314.00, 6546626.00, 16777215.00, 25, 1089
6, 0.00, 6469130.00, 8398048.00, 5664539.00, 6504058.00, 16777215.00, 25, 1361
7, 0.00, 6447843.00, 8397921.00, 5611607.00, 6481737.00, 16777215.00, 25, 1542
8, 0.00, 6425567.00, 8397977.00, 5674922.00, 6485368.00, 16777215.00, 25, 1814
9, 0.00, 6440299.00, 8398075.00, 5804588.00, 6511551.00, 16777215.00, 25, 1995
10, 0.00, 6461649.00, 8398046.00, 5869232.00, 8618711.00, 16777215.00, 25, 2177
11, 0.00, 6523142.00, 8397998.00, 5902015.00, 6478816.00, 16777215.00, 25, 2449
12, 0.00, 6501561.00, 8397995.00, 5877703.00, 5037985.00, 16777215.00, 25, 2721
13, 0.00, 6507693.00, 8397971.00, 5895513.00, 0.00, 16777215.00, 25, 3084
14, 0.00, 6518708.00, 8397964.00, 5961427.00, 0.00, 16777215.00, 25, 3446
15, 0.00, 6494799.00, 8397928.00, 5932083.00, 0.00, 16777215.00, 25, 3719
16, 0.00, 6465546.00, 8397859.00, 5842521.00, 0.00, 16777215.00, 25, 3991
17, 0.00, 6454315.00, 8398022.00, 5756535.00, 1557170.00, 16777215.00, 25, 4263
18, 0.00, 6441447.00, 8397929.00, 5841748.00, 4771474.00, 16777215.00, 25, 4535
19, 0.00, 6418860.00, 8397861.00, 6008773.00, 14126929.00, 16777215.00, 25, 4807
20, 0.00, 6396971.00, 8398068.00, 6055390.00, 16777215.00, 16777215.00, 25, 5170
21, 0.00, 6419077.00, 8398004.00, 5988299.00, 16777215.00, 16777215.00, 25, 5351
22, 0.00, 6417812.00, 8398060.00, 5846687.00, 2002439.00, 16777215.00, 25, 5532
23, 0.00, 6422453.00, 8397904.00, 5803159.00, 0.00, 16777215.00, 25, 5804
24, 0.00, 6452085.00, 8398046.00, 5819005.00, 1657230.00, 16777215.00, 25, 6076
25, 0.00, 6465409.00, 8398004.00, 5833015.00, 3157352.00, 16777215.00, 25, 6167
26, 0.00, 6474304.00, 8397898.00, 5847623.00, 7652291.00, 16777215.00, 25, 6258
27, 0.00, 6488523.00, 8397863.00, 5893800.00, 16777215.00, 16777215.00, 25, 6439
28, 0.00, 6498669.00, 8397960.00, 5811409.00, 16777215.00, 16777215.00, 25, 6621
29, 0.00, 6504588.00, 8397987.00, 5698989.00, 0.00, 16777215.00, 25, 6983
30, 0.00, 6486824.00, 8398010.00, 5793744.00, 16777215.00, 16777215.00, 25, 7346
31, 0.00, 6484830.00, 8397897.00, 5835268.00, 0.00, 16777215.00, 25, 7799
32, 0.00, 6481063.00, 8397859.00, 5892635.00, 0.00, 16777215.00, 25, 8162
33, 0.00, 6477685.00, 8397912.00, 5922146.00, 0.00, 16777215.00, 25, 8616
34, 0.00, 6479326.00, 8397983.00, 5921678.00, 0.00, 16777215.00, 25, 8797
35, 0.00, 6479396.00, 8398052.00, 5915532.00, 0.00, 16777215.00, 25, 8979
36, 0.00, 6475592.00, 8397890.00, 5905070.00, 0.00, 16777215.00, 25, 9251
37, 0.00, 6467624.00, 8398087.00, 5889797.00, 0.00, 16777215.00, 25, 9523
38, 0.00, 6469279.00, 8397993.00, 5894555.00, 0.00, 16777215.00, 25, 9704
39, 0.00, 6471465.00, 8398076.00, 5901578.00, 0.00, 16777215.00, 25, 9976
40, 0.00, 6474283.00, 8398102.00, 5912350.00, 0.00, 16777215.00, 25, 10248
41, 0.00, 6476139.00, 8398043.00, 5914772.00, 0.00, 16777215.00, 25, 10430
42, 0.00, 6476937.00, 8397966.00, 5917607.00, 0.00, 16777215.00, 25, 10702
43, 0.00, 6475287.00, 8397943.00, 5900579.00, 0.00, 16777215.00, 25, 11065
44, 0.00, 6483810.00, 8398046.00, 5904544.00, 0.00, 16777215.00, 25, 11699
45, 0.00, 6495661.00, 8398046.00, 5922594.00, 0.00, 16777215.00, 25, 12062
46, 0.00, 6498433.00, 8397979.00, 5953637.00, 0.00, 16777215.00, 25, 12334
47, 0.00, 6504797.00, 8397962.00, 5946237.00, 0.00, 16777215.00, 25, 12697
48, 0.00, 6501294.00, 8397956.00, 5938245.00, 0.00, 16777215.00, 25, 12969
49, 0.00, 6490790.00, 8397981.00, 5915609.00, 0.00, 16777215.00, 25, 13332
50, 0.00, 6487123.00, 8398119.00, 5917452.00, 0.00, 16777215.00, 25, 13604
51, 0.00, 6485736.00, 8397935.00, 5923662.00, 0.00, 16777215.00, 25, 13786
52, 0.00, 6486206.00, 8398021.00, 5923353.00, 0.00, 16777215.00, 25, 14058
53, 0.00, 6483370.00, 8398012.00, 5919777.00, 0.00, 16777215.00, 25, 14330
54, 0.00, 6480562.00, 8398026.00, 5921565.00, 0.00, 16777215.00, 25, 14511
55, 0.00, 6480924.00, 8398007.00, 5927863.00, 0.00, 16777215.00, 25, 14783
56, 0.00, 6480402.00, 8397960.00, 5932376.00, 0.00, 16777215.00, 25, 15146
57, 0.00, 6481390.00, 8397889.00, 5925025.00, 0.00, 16777215.00, 25, 15509
58, 0.00, 6480843.00, 8398042.00, 5921109.00, 0.00, 16777215.00, 25, 15872
59, 0.00, 6476223.00, 8398095.00, 5914568.00, 0.00, 16777215.00, 25, 16144
60, 0.00, 6474492.00, 8398052.00, 5912774.00, 0.00, 16777215.00, 25, 16325
61, 0.00, 6477233.00, 8397997.00, 5914957.00, 0.00, 16777215.00, 25, 16507
62, 0.00, 6481758.00, 8398018.00, 5919772.00, 0.00, 16777215.00, 25, 16779
63, 0.00, 6483254.00, 8398083.00, 5918993.00, 0.00, 16777215.00, 25, 16960
64, 0.00, 6481638.00, 8397932.00, 5921241.00, 0.00, 16777215.00, 25, 17232
65, 0.00, 6484744.00, 8397957.00, 5932616.00, 0.00, 16777215.00, 25, 17595
66, 0.00, 6483098.00, 8397970.00, 5928430.00, 0.00, 16777215.00, 25, 17867
67, 0.00, 6484206.00, 8398073.00, 5927915.00, 0.00, 16777215.00, 25, 18230
68, 0.00, 6485970.00, 8397964.00, 5907181.00, 0.00, 16777215.00, 25, 18502
69, 0.00, 6508976.00, 8397831.00, 5922476.00, 0.00, 16777215.00, 25, 18774
70, 0.00, 6512935.00, 8397995.00, 6006452.00, 16777215.00, 16777215.00, 25, 19227
71, 0.00, 6512283.00, 8398121.00, 5891495.00, 11531526.00, 16777215.00, 25, 19590
72, 0.00, 6493532.00, 8397960.00, 5853908.00, 16777215.00, 16777215.00, 25, 19862
73, 0.00, 6492998.00, 8398039.00, 5904757.00, 16777215.00, 16777215.00, 25, 20225
74, 0.00, 6537722.00, 8397969.00, 5895334.00, 16777215.00, 16777215.00, 25, 20497
75, 0.00, 6535599.00, 8397978.00, 5792792.00, 16777215.00, 16777215.00, 25, 20860
76, 0.00, 6504090.00, 8397930.00, 5872923.00, 13225953.00, 16777215.00, 25, 21132
77, 0.00, 6486419.00, 8397968.00, 5864465.00, 11478790.00, 16777215.00, 25, 21313
78, 0.00, 6475158.00, 8397993.00, 5890555.00, 10437887.00, 16777215.00, 25, 21585
79, 0.00, 6462327.00, 8398039.00, 5900101.00, 5343511.00, 16777215.00, 25, 21767
80, 0.00, 6457763.00, 8397927.00, 5875325.00, 5316643.00, 16777215.00, 25, 21948
81, 0.00, 6457935.00, 8398090.00, 5881900.00, 5315579.00, 16777215.00, 25, 22220
82, 0.00, 6469506.00, 8398117.00, 5895190.00, 5312596.00, 16777215.00, 25, 22492
83, 0.00, 6475566.00, 8398099.00, 5898700.00, 5299693.00, 16777215.00, 25, 22673
84, 0.00, 6474450.00, 8398019.00, 5899645.00, 5290849.00, 16777215.00, 25, 22945
