Date: 27.3.2020 , In use by: Mena
Daytime: 10:40:15, Temperature: 25°C
ID, strain1, strain2, strain3, strain4, strain5, strain6, temp [°C], runtime [ms]
BASELINE Time: 10:40:32
1, 0.00, 6376135.00, 8398101.00, 5503085.00, 9918361.00, 16777215.00, 25, 0
2, 0.00, 6383360.00, 8397970.00, 5524050.00, 14466736.00, 16777215.00, 25, 0
3, 0.00, 6385412.00, 8397870.00, 5533080.00, 16777215.00, 16777215.00, 25, 362
4, 0.00, 6391753.00, 8397969.00, 5558694.00, 16777215.00, 16777215.00, 25, 634
5, 0.00, 6410810.00, 8398064.00, 5621211.00, 9958404.00, 16777215.00, 25, 997
6, 0.00, 6403773.00, 8397960.00, 5633848.00, 9928608.00, 16777215.00, 25, 1269
7, 0.00, 6383392.00, 8397916.00, 5782721.00, 9933767.00, 16777215.00, 25, 1632
8, 0.00, 6368151.00, 8397955.00, 5839201.00, 9906463.00, 16777215.00, 25, 1904
9, 0.00, 6355898.00, 8397811.00, 5874053.00, 9903972.00, 16777215.00, 25, 2177
10, 0.00, 6354882.00, 8398036.00, 5850614.00, 9914152.00, 16777215.00, 25, 2540
11, 0.00, 6355967.00, 8397996.00, 5855093.00, 9907796.00, 16777215.00, 25, 2721
12, 0.00, 6356596.00, 8398030.00, 5862622.00, 9900867.00, 16777215.00, 25, 2812
13, 0.00, 6346944.00, 8398095.00, 5881288.00, 9886771.00, 16777215.00, 25, 2993
14, 0.00, 6347228.00, 8398015.00, 5900152.00, 9901151.00, 16777215.00, 25, 3265
15, 0.00, 6349124.00, 8398114.00, 5907724.00, 9908124.00, 16777215.00, 25, 3447
16, 0.00, 6352251.00, 8397972.00, 5926374.00, 9907637.00, 16777215.00, 25, 3719
17, 0.00, 6355041.00, 8397911.00, 5933657.00, 9897817.00, 16777215.00, 25, 4082
18, 0.00, 6355068.00, 8397952.00, 5938381.00, 9894392.00, 16777215.00, 25, 4444
19, 0.00, 6354216.00, 8397831.00, 5947027.00, 9900438.00, 16777215.00, 25, 4807
20, 0.00, 6354321.00, 8397882.00, 5948806.00, 9903210.00, 16777215.00, 25, 5170
21, 0.00, 6353432.00, 8397955.00, 5946991.00, 9894003.00, 16777215.00, 25, 5442
22, 0.00, 6352641.00, 8397924.00, 5951879.00, 9891149.00, 16777215.00, 25, 5805
23, 0.00, 6353000.00, 8398086.00, 5955426.00, 9887373.00, 16777215.00, 25, 6077
24, 0.00, 6354205.00, 8398019.00, 5956906.00, 9888594.00, 16777215.00, 25, 6259
25, 0.00, 6356348.00, 8398012.00, 5963842.00, 9890528.00, 16777215.00, 25, 6531
26, 0.00, 6359021.00, 8397928.00, 5968795.00, 9889463.00, 16777215.00, 25, 6712
27, 0.00, 6360153.00, 8398039.00, 5966576.00, 9889564.00, 16777215.00, 25, 6894
28, 0.00, 6357485.00, 8397870.00, 5958686.00, 9892469.00, 16777215.00, 25, 7166
29, 0.00, 6356892.00, 8397976.00, 5939066.00, 9880438.00, 16777215.00, 25, 7438
30, 0.00, 6348634.00, 8397999.00, 5891126.00, 9869089.00, 16777215.00, 25, 7800
31, 0.00, 6343731.00, 8398010.00, 5877829.00, 9867040.00, 16777215.00, 25, 8073
32, 0.00, 6332280.00, 8397961.00, 5754084.00, 9868153.00, 16777215.00, 25, 8345
33, 0.00, 6329279.00, 8397916.00, 5613852.00, 9903758.00, 16777215.00, 25, 8617
34, 0.00, 6341427.00, 8397981.00, 5595144.00, 9900599.00, 16777215.00, 25, 8889
35, 0.00, 6363772.00, 8397943.00, 5620378.00, 9894206.00, 16777215.00, 25, 9252
36, 0.00, 6371018.00, 8397954.00, 5627857.00, 10466036.00, 16777215.00, 25, 9524
37, 0.00, 6362466.00, 8398107.00, 5572382.00, 16777215.00, 16777215.00, 25, 9705
38, 0.00, 6348016.00, 8397996.00, 5548640.00, 11495663.00, 16777215.00, 25, 10068
39, 0.00, 6336119.00, 8397959.00, 5522447.00, 10704931.00, 16777215.00, 25, 10340
40, 0.00, 6335802.00, 8397987.00, 5520834.00, 14948975.00, 16777215.00, 25, 10612
41, 0.00, 6336454.00, 8397912.00, 5514446.00, 13506726.00, 16777215.00, 25, 10884
42, 0.00, 6336361.00, 8397998.00, 5517662.00, 16777215.00, 16777215.00, 25, 11066
43, 0.00, 6340357.00, 8398106.00, 5524358.00, 16777215.00, 16777215.00, 25, 11338
BASELINE Time: 10:40:44
RECORDING Time: 10:40:50
1, 0.00, 6420302.00, 8397887.00, 5602097.00, 16777215.00, 16777215.00, 25, 0
2, 0.00, 6395328.00, 8398059.00, 5547832.00, 16777215.00, 16777215.00, 25, 0
3, 0.00, 6398813.00, 8398140.00, 5562892.00, 16777215.00, 16777215.00, 25, 181
4, 0.00, 6420526.00, 8398038.00, 5615268.00, 10278531.00, 16777215.00, 25, 453
5, 0.00, 6418985.00, 8397952.00, 5574410.00, 9931991.00, 16777215.00, 25, 725
6, 0.00, 6371282.00, 8397879.00, 5520772.00, 9871641.00, 16777215.00, 25, 997
7, 0.00, 6448972.00, 8398027.00, 5819140.00, 9888940.00, 16777215.00, 25, 1269
8, 0.00, 6483618.00, 8398054.00, 5834996.00, 9895535.00, 16777215.00, 25, 1723
9, 0.00, 6480990.00, 8398024.00, 5824233.00, 9890353.00, 16777215.00, 25, 1995
10, 0.00, 6477065.00, 8398006.00, 5872625.00, 9878426.00, 16777215.00, 25, 2176
11, 0.00, 6471951.00, 8398020.00, 5920252.00, 9859820.00, 16777215.00, 25, 2448
12, 0.00, 6468426.00, 8398084.00, 5918644.00, 9853288.00, 16777215.00, 25, 2629
13, 0.00, 6454692.00, 8398012.00, 5918922.00, 10602125.00, 16777215.00, 25, 2811
14, 0.00, 6416168.00, 8397878.00, 5913277.00, 16777215.00, 16777215.00, 25, 3083
