time,chan1,chan2,chan3
2019-10-11 13:04:11.842927,8565983.0,8389119.0,6978482.0
2019-10-11 13:04:11.934754,8566066.0,8388863.0,6978496.0
2019-10-11 13:04:12.024223,8566204.0,8388863.0,6978684.0
2019-10-11 13:04:12.121564,8566034.0,8389119.0,6978700.0
2019-10-11 13:04:12.213902,8565982.0,8389119.0,6978574.0
2019-10-11 13:04:12.307406,8565976.0,8388863.0,6978658.0
2019-10-11 13:04:12.401136,8565862.0,8389119.0,6978759.0
2019-10-11 13:04:12.495078,8565872.0,8389119.0,6977701.0
2019-10-11 13:04:12.587899,8565992.0,8388863.0,6977637.0
2019-10-11 13:04:12.680362,8565989.0,8389119.0,6977723.0
2019-10-11 13:04:12.774321,8565955.0,8389119.0,6977761.0
2019-10-11 13:04:12.870899,8565947.0,8389119.0,6977672.0
2019-10-11 13:04:12.962486,8566016.0,8388863.0,6977594.0
2019-10-11 13:04:13.056890,8565994.0,8389119.0,6977658.0
2019-10-11 13:04:13.150121,8566048.0,8388863.0,6977625.0
2019-10-11 13:04:13.242556,8566092.0,8388863.0,6977581.0
2019-10-11 13:04:13.335044,8566092.0,8389119.0,6977615.0
2019-10-11 13:04:13.432185,8566045.0,8389119.0,6977624.0
2019-10-11 13:04:13.523671,8566047.0,8388863.0,6977516.0
2019-10-11 13:04:13.618232,8566064.0,8389119.0,6977492.0
2019-10-11 13:04:13.713934,8566063.0,8389119.0,6977475.0
2019-10-11 13:04:13.803353,8566112.0,8388863.0,6977510.0
2019-10-11 13:04:13.899654,8566073.0,8389119.0,6977427.0
2019-10-11 13:04:13.991162,8566093.0,8389119.0,6977428.0
2019-10-11 13:04:14.084876,8566068.0,8388863.0,6977405.0
2019-10-11 13:04:14.181686,8566129.0,8388863.0,6977362.0
2019-10-11 13:04:14.273540,8566065.0,8389119.0,6977310.0
2019-10-11 13:04:14.363526,8566013.0,8388863.0,6977290.0
2019-10-11 13:04:14.457994,8566057.0,8388863.0,6977260.0
2019-10-11 13:04:14.551727,8566108.0,8389119.0,6977338.0
2019-10-11 13:04:14.645830,8565992.0,8388863.0,6977298.0
2019-10-11 13:04:14.741815,8565990.0,8389119.0,6977281.0
2019-10-11 13:04:14.836382,8566043.0,8389119.0,6977326.0
2019-10-11 13:04:14.929735,8566062.0,8388863.0,6977348.0
2019-10-11 13:04:15.018474,8566005.0,8389119.0,6977261.0
2019-10-11 13:04:15.115244,8566055.0,8389119.0,6977280.0
2019-10-11 13:04:15.207786,8566042.0,8389119.0,6977390.0
2019-10-11 13:04:15.301207,8566006.0,8388863.0,6977415.0
2019-10-11 13:04:15.397197,8566005.0,8389119.0,6977461.0
2019-10-11 13:04:15.492187,8565872.0,8389119.0,6977405.0
2019-10-11 13:04:15.582298,8565906.0,8389119.0,6977373.0
2019-10-11 13:04:15.673354,8566062.0,8388863.0,6977366.0
2019-10-11 13:04:15.768850,8565990.0,8389119.0,6977399.0
2019-10-11 13:04:15.862291,8566062.0,8389119.0,6977414.0
2019-10-11 13:04:15.959094,8566154.0,8389119.0,6977402.0
2019-10-11 13:04:16.049697,8566142.0,8389119.0,6977426.0
2019-10-11 13:04:16.141378,8566031.0,8388863.0,6977471.0
2019-10-11 13:04:16.234367,8565912.0,8388863.0,6977487.0
2019-10-11 13:04:16.332146,8565954.0,8389119.0,6977305.0
2019-10-11 13:04:16.424784,8566084.0,8389119.0,6977422.0
2019-10-11 13:04:16.517383,8566050.0,8388863.0,6977409.0
2019-10-11 13:04:16.611937,8566042.0,8389119.0,6977350.0
2019-10-11 13:04:16.703942,8566045.0,8389119.0,6977327.0
2019-10-11 13:04:16.797158,8566001.0,8388863.0,6977324.0
2019-10-11 13:04:16.890695,8566039.0,8389119.0,6977426.0
2019-10-11 13:04:16.984615,8566005.0,8389119.0,6977500.0
2019-10-11 13:04:17.079766,8565980.0,8389119.0,6977447.0
