time,chan1,chan2,chan3
2019-10-11 12:57:52.677193,8458351.0,8388863.0,6922924.0
2019-10-11 12:57:52.773300,8458398.0,8389119.0,6922978.0
2019-10-11 12:57:52.864131,8458230.0,8388863.0,6923059.0
2019-10-11 12:57:52.957643,8457647.0,8388863.0,6922694.0
2019-10-11 12:57:53.050590,8457378.0,8389119.0,6922183.0
2019-10-11 12:57:53.146175,8457307.0,8388863.0,6921972.0
2019-10-11 12:57:53.239317,8457288.0,8389119.0,6921909.0
2019-10-11 12:57:53.334228,8457350.0,8389119.0,6921884.0
2019-10-11 12:57:53.424080,8457335.0,8389119.0,6922020.0
2019-10-11 12:57:53.516378,8457350.0,8389119.0,6922063.0
2019-10-11 12:57:53.612687,8457329.0,8389119.0,6921872.0
2019-10-11 12:57:53.707262,8457365.0,8389119.0,6921819.0
2019-10-11 12:57:53.800959,8457290.0,8389119.0,6921826.0
2019-10-11 12:57:53.895493,8457217.0,8389119.0,6921857.0
2019-10-11 12:57:53.984895,8457262.0,8389119.0,6921897.0
2019-10-11 12:57:54.078155,8457287.0,8388863.0,6921828.0
2019-10-11 12:57:54.174047,8457263.0,8389119.0,6921901.0
2019-10-11 12:57:54.268242,8457334.0,8389119.0,6922069.0
2019-10-11 12:57:54.361258,8457366.0,8388863.0,6921945.0
2019-10-11 12:57:54.454913,8457331.0,8389119.0,6921864.0
2019-10-11 12:57:54.547329,8457309.0,8389119.0,6921828.0
2019-10-11 12:57:54.640711,8457352.0,8389119.0,6921816.0
2019-10-11 12:57:54.733493,8457316.0,8389119.0,6921854.0
2019-10-11 12:57:54.828432,8457329.0,8389119.0,6921932.0
2019-10-11 12:57:54.921856,8457335.0,8389119.0,6921904.0
2019-10-11 12:57:55.018499,8457405.0,8388863.0,6921777.0
2019-10-11 12:57:55.110581,8457347.0,8389119.0,6921818.0
2019-10-11 12:57:55.202208,8457309.0,8389119.0,6921817.0
2019-10-11 12:57:55.296455,8457344.0,8389119.0,6921791.0
2019-10-11 12:57:55.390947,8457312.0,8389119.0,6921791.0
2019-10-11 12:57:55.484822,8457320.0,8389119.0,6921867.0
2019-10-11 12:57:55.576561,8457352.0,8389119.0,6921820.0
2019-10-11 12:57:55.673091,8457341.0,8388863.0,6921651.0
2019-10-11 12:57:55.762761,8457309.0,8389119.0,6921732.0
2019-10-11 12:57:55.854906,8457280.0,8388863.0,6921710.0
2019-10-11 12:57:55.950393,8457306.0,8389119.0,6921760.0
2019-10-11 12:57:56.045279,8457329.0,8389119.0,6921604.0
2019-10-11 12:57:56.139371,8457356.0,8388863.0,6921555.0
2019-10-11 12:57:56.233605,8457394.0,8388863.0,6921698.0
2019-10-11 12:57:56.325180,8457303.0,8389119.0,6921752.0
2019-10-11 12:57:56.418652,8457318.0,8388863.0,6921725.0
2019-10-11 12:57:56.512822,8457295.0,8388863.0,6921734.0
2019-10-11 12:57:56.605012,8457320.0,8388863.0,6921754.0
2019-10-11 12:57:56.701233,8457339.0,8389119.0,6921819.0
2019-10-11 12:57:56.796136,8457280.0,8388863.0,6921784.0
2019-10-11 12:57:56.888158,8457313.0,8389119.0,6921639.0
2019-10-11 12:57:56.978922,8457349.0,8389119.0,6921592.0
2019-10-11 12:57:57.072242,8457391.0,8388863.0,6921627.0
2019-10-11 12:57:57.166770,8457311.0,8389119.0,6921680.0
2019-10-11 12:57:57.261597,8457215.0,8389119.0,6921550.0
2019-10-11 12:57:57.354394,8457188.0,8388863.0,6921746.0
2019-10-11 12:57:57.451372,8457243.0,8388863.0,6921711.0
2019-10-11 12:57:57.538699,8457369.0,8389119.0,6921711.0
2019-10-11 12:57:57.633116,8457415.0,8389119.0,6921751.0
2019-10-11 12:57:57.727063,8457367.0,8389119.0,6921778.0
2019-10-11 12:57:57.821957,8457273.0,8389119.0,6921657.0
2019-10-11 12:57:57.915185,8457278.0,8389119.0,6921591.0
2019-10-11 12:57:58.009532,8457276.0,8389119.0,6921743.0
2019-10-11 12:57:58.102430,8457291.0,8388863.0,6921727.0
2019-10-11 12:57:58.196817,8457286.0,8389119.0,6921647.0
2019-10-11 12:57:58.288717,8457243.0,8388863.0,6921560.0
2019-10-11 12:57:58.384468,8457259.0,8388863.0,6921624.0
2019-10-11 12:57:58.479498,8457228.0,8389119.0,6921592.0
2019-10-11 12:57:58.570569,8457249.0,8389119.0,6921548.0
2019-10-11 12:57:58.665298,8457265.0,8389119.0,6921565.0
2019-10-11 12:57:58.757743,8457174.0,8389119.0,6921528.0
2019-10-11 12:57:58.851372,8457232.0,8388863.0,6921366.0
2019-10-11 12:57:58.944661,8457246.0,8389119.0,6921519.0
2019-10-11 12:57:59.039682,8457232.0,8389119.0,6921672.0
2019-10-11 12:57:59.133077,8457219.0,8389119.0,6921610.0
2019-10-11 12:57:59.225272,8457283.0,8388863.0,6921534.0
2019-10-11 12:57:59.316235,8457337.0,8389119.0,6921586.0
2019-10-11 12:57:59.413331,8457300.0,8389119.0,6921514.0
2019-10-11 12:57:59.504769,8457138.0,8388863.0,6921589.0
2019-10-11 12:57:59.601573,8457226.0,8388863.0,6921695.0
2019-10-11 12:57:59.694777,8457327.0,8388863.0,6921714.0
2019-10-11 12:57:59.787469,8457247.0,8388863.0,6921678.0
2019-10-11 12:57:59.877224,8457172.0,8389119.0,6921626.0
2019-10-11 12:57:59.971402,8457143.0,8389119.0,6921537.0
2019-10-11 12:58:00.065623,8457184.0,8388863.0,6921592.0
2019-10-11 12:58:00.161056,8457172.0,8389119.0,6921598.0
2019-10-11 12:58:00.255595,8457221.0,8389119.0,6921458.0
2019-10-11 12:58:00.348885,8457328.0,8388863.0,6921689.0
2019-10-11 12:58:00.442353,8457327.0,8389119.0,6921620.0
2019-10-11 12:58:00.534861,8457201.0,8389119.0,6921515.0
2019-10-11 12:58:00.629740,8457109.0,8388863.0,6921464.0
2019-10-11 12:58:00.723729,8457096.0,8389119.0,6921475.0
2019-10-11 12:58:00.817428,8457116.0,8389119.0,6921490.0
2019-10-11 12:58:00.909884,8457265.0,8388863.0,6921524.0
2019-10-11 12:58:01.004849,8457325.0,8388863.0,6921570.0
2019-10-11 12:58:01.094845,8457267.0,8389119.0,6921604.0
2019-10-11 12:58:01.190444,8457361.0,8388863.0,6921565.0
2019-10-11 12:58:01.282585,8457366.0,8388863.0,6921386.0
2019-10-11 12:58:01.377678,8457288.0,8389119.0,6921277.0
2019-10-11 12:58:01.472005,8457270.0,8389119.0,6921256.0
2019-10-11 12:58:01.564968,8457270.0,8388863.0,6921377.0
2019-10-11 12:58:01.655015,8457279.0,8389119.0,6921504.0
2019-10-11 12:58:01.749785,8457280.0,8388863.0,6921597.0
2019-10-11 12:58:01.846452,8457186.0,8389119.0,6921446.0
2019-10-11 12:58:01.937805,8457161.0,8389119.0,6921353.0
2019-10-11 12:58:02.033944,8457086.0,8389119.0,6921460.0
2019-10-11 12:58:02.127662,8457116.0,8389119.0,6921512.0
2019-10-11 12:58:02.222109,8457206.0,8389119.0,6921504.0
2019-10-11 12:58:02.310890,8457250.0,8389119.0,6921499.0
2019-10-11 12:58:02.403909,8457324.0,8388863.0,6921430.0
2019-10-11 12:58:02.500370,8457260.0,8389119.0,6921451.0
2019-10-11 12:58:02.593047,8457143.0,8389119.0,6921484.0
