Date: 20.2.2020 , In use by: Mena
Daytime: 12:11:3, Temperature: 26°C
ID, strain4A, strain4B, loadcell y, temp [°C], runtime [ms]
BASELINE Time: 12:11:27
94, 1862537.00, 8964122.00, 8492707.00,26, 9613
95, 1862483.00, 8964167.00, 8492535.00,26, 9717
96, 1862525.00, 8964160.00, 8492360.00,26, 9822
97, 1862479.00, 8964104.00, 8492589.00,26, 9926
98, 1862491.00, 8964041.00, 8492381.00,26, 10031
99, 1862484.00, 8963944.00, 8492577.00,26, 10135
100, 1862471.00, 8963946.00, 8492399.00,26, 10240
101, 1862467.00, 8963848.00, 8492429.00,26, 10344
102, 1862499.00, 8963864.00, 8492616.00,26, 10449
103, 1862464.00, 8963898.00, 8492339.00,26, 10553
104, 1862376.00, 8963913.00, 8492234.00,26, 10658
105, 1862279.00, 8963942.00, 8492442.00,26, 10762
106, 1862238.00, 8963951.00, 8492483.00,26, 10867
107, 1862308.00, 8964079.00, 8492422.00,26, 10971
108, 1862386.00, 8964143.00, 8492279.00,26, 11076
109, 1862357.00, 8964039.00, 8492451.00,26, 11180
110, 1862376.00, 8963889.00, 8492495.00,26, 11285
111, 1862310.00, 8963799.00, 8492515.00,26, 11389
112, 1862285.00, 8963752.00, 8492600.00,26, 11494
113, 1862257.00, 8963748.00, 8492516.00,26, 11598
114, 1862254.00, 8963757.00, 8492676.00,26, 11703
115, 1862251.00, 8963693.00, 8492508.00,26, 11807
116, 1862235.00, 8963689.00, 8492425.00,26, 11912
117, 1862246.00, 8963642.00, 8492473.00,26, 12016
118, 1862265.00, 8963719.00, 8492542.00,26, 12121
119, 1862254.00, 8963772.00, 8492403.00,26, 12225
120, 1862039.00, 8963673.00, 8492266.00,26, 12330
BASELINE Time: 12:11:40
RECORDING Time: 12:11:46
1, 1860613.00, 8963204.00, 8492172.00,26, 0
2, 1860533.00, 8963216.00, 8492182.00,26, 0
3, 1860544.00, 8963301.00, 8492555.00,26, 105
4, 1859707.00, 8963277.00, 8492594.00,26, 209
5, 1858603.00, 8963171.00, 8492641.00,26, 314
6, 1858688.00, 8963170.00, 8492638.00,26, 418
7, 1858703.00, 8963087.00, 8492468.00,26, 523
8, 1858677.00, 8963027.00, 8492250.00,26, 627
9, 1858551.00, 8962911.00, 8492351.00,26, 732
10, 1858478.00, 8962832.00, 8492398.00,26, 836
11, 1858502.00, 8962792.00, 8492483.00,26, 941
12, 1858491.00, 8962776.00, 8492435.00,26, 1045
13, 1858521.00, 8962702.00, 8492274.00,26, 1150
14, 1858514.00, 8962705.00, 8492395.00,26, 1254
15, 1858461.00, 8962658.00, 8492536.00,26, 1359
16, 1858349.00, 8962619.00, 8492396.00,26, 1463
17, 1858241.00, 8962538.00, 8492721.00,26, 1568
18, 1858222.00, 8962498.00, 8492646.00,26, 1672
