Date: 20.2.2020 , In use by: Mena
Daytime: 12:11:3, Temperature: 26°C
ID, strain4A, strain4B, loadcell y, temp [°C], runtime [ms]
BASELINE Time: 12:11:27
341, 1903248.00, 8715459.00, 8578977.00,26, 35425
342, 1903341.00, 8715333.00, 8579106.00,26, 35529
343, 1903303.00, 8715169.00, 8579048.00,26, 35634
344, 1903248.00, 8715121.00, 8579079.00,26, 35738
345, 1903235.00, 8714995.00, 8579163.00,26, 35843
346, 1903215.00, 8714969.00, 8579408.00,26, 35947
347, 1903217.00, 8714922.00, 8579391.00,26, 36052
348, 1903217.00, 8714856.00, 8579476.00,26, 36156
349, 1903190.00, 8714805.00, 8579456.00,26, 36261
350, 1903215.00, 8714716.00, 8579310.00,26, 36365
351, 1903222.00, 8714656.00, 8579271.00,26, 36470
352, 1903201.00, 8714621.00, 8579317.00,26, 36574
353, 1903221.00, 8714420.00, 8579067.00,26, 36679
354, 1903270.00, 8714342.00, 8578916.00,26, 36783
355, 1903295.00, 8714284.00, 8579309.00,26, 36888
356, 1903280.00, 8714197.00, 8579294.00,26, 36992
357, 1903298.00, 8714058.00, 8579396.00,26, 37097
358, 1903264.00, 8713956.00, 8579324.00,26, 37201
359, 1903198.00, 8713881.00, 8579329.00,26, 37306
360, 1903240.00, 8713833.00, 8579095.00,26, 37410
361, 1903268.00, 8713640.00, 8579150.00,26, 37515
362, 1903228.00, 8713583.00, 8579064.00,26, 37619
363, 1903233.00, 8713487.00, 8579153.00,26, 37724
364, 1903233.00, 8713371.00, 8579130.00,26, 37828
365, 1903249.00, 8713393.00, 8579085.00,26, 37933
366, 1903205.00, 8713390.00, 8579077.00,26, 38037
367, 1903180.00, 8713311.00, 8579003.00,26, 38142
368, 1903113.00, 8713254.00, 8579023.00,26, 38246
369, 1903095.00, 8713172.00, 8579229.00,26, 38351
370, 1903170.00, 8713159.00, 8579271.00,26, 38455
371, 1903196.00, 8713099.00, 8579118.00,26, 38560
372, 1903121.00, 8712922.00, 8579274.00,26, 38664
373, 1903152.00, 8712873.00, 8579288.00,26, 38769
374, 1903180.00, 8712788.00, 8579169.00,26, 38873
375, 1903186.00, 8712682.00, 8579239.00,26, 38978
376, 1903167.00, 8712620.00, 8579083.00,26, 39082
377, 1903160.00, 8712425.00, 8579134.00,26, 39187
378, 1903158.00, 8712404.00, 8579162.00,26, 39291
379, 1903185.00, 8712317.00, 8579329.00,26, 39396
380, 1903221.00, 8712231.00, 8579441.00,26, 39500
381, 1903203.00, 8712168.00, 8579203.00,26, 39605
382, 1903148.00, 8712140.00, 8579259.00,26, 39709
383, 1903120.00, 8712040.00, 8579221.00,26, 39814
384, 1903105.00, 8711972.00, 8579188.00,26, 39918
385, 1903085.00, 8711968.00, 8579126.00,26, 40023
386, 1903117.00, 8711922.00, 8579013.00,26, 40127
387, 1903077.00, 8711881.00, 8579055.00,26, 40232
388, 1903061.00, 8711885.00, 8578994.00,26, 40336
389, 1903058.00, 8711836.00, 8579210.00,26, 40441
390, 1903107.00, 8711738.00, 8579194.00,26, 40545
391, 1903073.00, 8711694.00, 8579205.00,26, 40650
392, 1903089.00, 8711620.00, 8579237.00,26, 40754
393, 1903074.00, 8711502.00, 8579295.00,26, 40859
394, 1903089.00, 8711395.00, 8579310.00,26, 40963
395, 1903118.00, 8711308.00, 8579337.00,26, 41068
396, 1903129.00, 8711225.00, 8579131.00,26, 41172
397, 1903098.00, 8711135.00, 8579508.00,26, 41277
398, 1903066.00, 8711122.00, 8579369.00,26, 41381
399, 1903042.00, 8711079.00, 8579209.00,26, 41485
400, 1903040.00, 8711020.00, 8579287.00,26, 41590
401, 1903049.00, 8710984.00, 8579082.00,26, 41694
402, 1903033.00, 8710953.00, 8579038.00,26, 41799
403, 1903002.00, 8710925.00, 8579213.00,26, 41903
404, 1903005.00, 8710913.00, 8579327.00,26, 42008
405, 1903007.00, 8710856.00, 8579318.00,26, 42112
406, 1903018.00, 8710847.00, 8579311.00,26, 42217
407, 1902953.00, 8710813.00, 8579390.00,26, 42321
408, 1902925.00, 8710716.00, 8579310.00,26, 42426
409, 1902989.00, 8710621.00, 8579154.00,26, 42530
410, 1902997.00, 8710530.00, 8579262.00,26, 42635
411, 1902911.00, 8710422.00, 8579268.00,26, 42739
412, 1902889.00, 8710313.00, 8579322.00,26, 42844
413, 1902893.00, 8710265.00, 8579054.00,26, 42948
414, 1902891.00, 8710213.00, 8579044.00,26, 43053
415, 1902938.00, 8710154.00, 8579085.00,26, 43157
416, 1903007.00, 8710091.00, 8579172.00,26, 43262
417, 1903021.00, 8709804.00, 8579439.00,26, 43366
418, 1903012.00, 8709574.00, 8580141.00,26, 43471
419, 1903086.00, 8709345.00, 8580401.00,26, 43575
420, 1903161.00, 8708704.00, 8581574.00,26, 43680
421, 1903236.00, 8708303.00, 8581731.00,26, 43784
422, 1903355.00, 8708081.00, 8581829.00,26, 43889
423, 1903521.00, 8707193.00, 8583575.00,26, 43993
424, 1903642.00, 8706235.00, 8584528.00,26, 44098
425, 1903794.00, 8705263.00, 8584590.00,26, 44202
426, 1904172.00, 8703624.00, 8587704.00,26, 44307
427, 1905061.00, 8699992.00, 8592158.00,26, 44411
428, 1906445.00, 8694494.00, 8595798.00,26, 44516
429, 1908416.00, 8685426.00, 8599299.00,26, 44620
430, 1909588.00, 8675714.00, 8601405.00,26, 44725
431, 1909929.00, 8671960.00, 8600608.00,26, 44829
432, 1910147.00, 8669646.00, 8600468.00,26, 44934
433, 1910353.00, 8665905.00, 8600622.00,26, 45038
434, 1910609.00, 8663894.00, 8600722.00,26, 45143
435, 1910812.00, 8662095.00, 8600768.00,26, 45247
436, 1911052.00, 8660379.00, 8600711.00,26, 45352
437, 1911266.00, 8658815.00, 8600749.00,26, 45457
438, 1911457.00, 8657375.00, 8600645.00,26, 45561
439, 1911641.00, 8655971.00, 8600791.00,26, 45666
440, 1911802.00, 8654625.00, 8600572.00,26, 45770
441, 1911923.00, 8652187.00, 8600528.00,26, 45875
442, 1912156.00, 8650961.00, 8600665.00,26, 45979
443, 1912315.00, 8649815.00, 8600726.00,26, 46084
444, 1912404.00, 8648775.00, 8600816.00,26, 46188
445, 1912527.00, 8647809.00, 8600424.00,26, 46293
446, 1912606.00, 8646809.00, 8600857.00,26, 46397
447, 1912745.00, 8645923.00, 8600770.00,26, 46502
448, 1912903.00, 8644957.00, 8600629.00,26, 46606
449, 1913017.00, 8643097.00, 8600545.00,26, 46711
450, 1913127.00, 8642126.00, 8600521.00,26, 46815
451, 1913324.00, 8641137.00, 8600471.00,26, 46920
452, 1913432.00, 8640282.00, 8600384.00,26, 47024
453, 1913506.00, 8639473.00, 8600713.00,26, 47129
454, 1913654.00, 8638704.00, 8600663.00,26, 47233
455, 1913736.00, 8637770.00, 8600854.00,26, 47338
456, 1913757.00, 8636971.00, 8600708.00,26, 47442
457, 1913825.00, 8635554.00, 8600622.00,26, 47547
458, 1913935.00, 8634849.00, 8600595.00,26, 47651
459, 1914036.00, 8634214.00, 8600691.00,26, 47756
460, 1914110.00, 8633584.00, 8600869.00,26, 47860
461, 1914133.00, 8632980.00, 8600747.00,26, 47965
462, 1914170.00, 8632421.00, 8600372.00,26, 48069
463, 1914244.00, 8631852.00, 8600490.00,26, 48174
464, 1914330.00, 8631300.00, 8600423.00,26, 48278
465, 1914472.00, 8630141.00, 8600510.00,26, 48383
466, 1914519.00, 8629594.00, 8600752.00,26, 48487
467, 1914545.00, 8628999.00, 8600619.00,26, 48592
468, 1914670.00, 8628319.00, 8600535.00,26, 48696
469, 1914790.00, 8627718.00, 8600536.00,26, 48801
470, 1914837.00, 8627201.00, 8600311.00,26, 48905
471, 1914874.00, 8626695.00, 8600293.00,26, 49010
472, 1914927.00, 8626204.00, 8600515.00,26, 49114
473, 1914940.00, 8625156.00, 8600585.00,26, 49219
474, 1914945.00, 8624759.00, 8600562.00,26, 49323
475, 1915075.00, 8624303.00, 8600624.00,26, 49428
476, 1915133.00, 8623874.00, 8600833.00,26, 49532
477, 1915159.00, 8623439.00, 8600692.00,26, 49637
478, 1915190.00, 8622996.00, 8600707.00,26, 49741
479, 1915160.00, 8622619.00, 8600583.00,26, 49846
480, 1915147.00, 8622250.00, 8600563.00,26, 49950
481, 1915165.00, 8621604.00, 8600637.00,26, 50055
482, 1915203.00, 8621249.00, 8600766.00,26, 50159
483, 1915250.00, 8620822.00, 8600835.00,26, 50264
484, 1915255.00, 8620344.00, 8600553.00,26, 50368
485, 1915370.00, 8619830.00, 8600481.00,26, 50473
486, 1915502.00, 8619280.00, 8600413.00,26, 50577
487, 1915546.00, 8618871.00, 8600613.00,26, 50682
488, 1915586.00, 8618492.00, 8600655.00,26, 50786
489, 1915621.00, 8617694.00, 8600718.00,26, 50890
490, 1915651.00, 8617390.00, 8600750.00,26, 50995
491, 1915647.00, 8617082.00, 8600596.00,26, 51099
492, 1915672.00, 8616681.00, 8600486.00,26, 51204
493, 1915673.00, 8616308.00, 8600575.00,26, 51308
494, 1915720.00, 8615961.00, 8600547.00,26, 51413
495, 1915775.00, 8615599.00, 8600870.00,26, 51517
496, 1915729.00, 8615276.00, 8600904.00,26, 51622
497, 1915747.00, 8614832.00, 8600693.00,26, 51726
498, 1915740.00, 8614605.00, 8600507.00,26, 51831
499, 1915715.00, 8614299.00, 8600618.00,26, 51935
500, 1915761.00, 8614016.00, 8600848.00,26, 52040
501, 1915775.00, 8613714.00, 8600817.00,26, 52144
502, 1915836.00, 8613315.00, 8600664.00,26, 52249
503, 1915942.00, 8612934.00, 8600745.00,26, 52353
504, 1915970.00, 8612530.00, 8600610.00,26, 52458
505, 1916029.00, 8611761.00, 8600649.00,26, 52562
506, 1916059.00, 8611501.00, 8600641.00,26, 52667
507, 1916095.00, 8611217.00, 8600332.00,26, 52771
508, 1916089.00, 8611021.00, 8600288.00,26, 52876
509, 1916086.00, 8610775.00, 8600519.00,26, 52980
510, 1916077.00, 8610480.00, 8600723.00,26, 53085
511, 1916125.00, 8610217.00, 8600748.00,26, 53189
512, 1916200.00, 8609950.00, 8600663.00,26, 53294
513, 1916177.00, 8609486.00, 8600705.00,26, 53398
514, 1916121.00, 8609315.00, 8600759.00,26, 53503
515, 1916077.00, 8609137.00, 8600495.00,26, 53607
516, 1916106.00, 8608996.00, 8600710.00,26, 53712
517, 1916150.00, 8608790.00, 8600754.00,26, 53816
518, 1916188.00, 8608568.00, 8600656.00,26, 53921
519, 1916163.00, 8608323.00, 8600616.00,26, 54025
520, 1916217.00, 8607955.00, 8600509.00,26, 54130
521, 1916262.00, 8607363.00, 8600376.00,26, 54234
522, 1916309.00, 8606996.00, 8600624.00,26, 54339
523, 1916352.00, 8606692.00, 8600758.00,26, 54443
524, 1916317.00, 8606463.00, 8600563.00,26, 54548
525, 1916343.00, 8606294.00, 8600566.00,26, 54652
526, 1916353.00, 8606065.00, 8600666.00,26, 54757
527, 1916352.00, 8605802.00, 8600636.00,26, 54861
528, 1916338.00, 8605576.00, 8600586.00,26, 54966
529, 1916337.00, 8605197.00, 8600500.00,26, 55070
530, 1916302.00, 8604990.00, 8600439.00,26, 55175
531, 1916334.00, 8604743.00, 8600772.00,26, 55279
532, 1916335.00, 8604607.00, 8600588.00,26, 55384
533, 1916281.00, 8604449.00, 8600439.00,26, 55488
534, 1916245.00, 8604403.00, 8600502.00,26, 55593
535, 1916275.00, 8604332.00, 8600743.00,26, 55697
536, 1916347.00, 8604144.00, 8600770.00,26, 55802
537, 1916431.00, 8603560.00, 8600646.00,26, 55906
538, 1916431.00, 8603277.00, 8600738.00,26, 56011
539, 1916436.00, 8602976.00, 8600562.00,26, 56115
540, 1916473.00, 8602651.00, 8600715.00,26, 56220
541, 1916512.00, 8602428.00, 8600843.00,26, 56324
542, 1916530.00, 8602285.00, 8600563.00,26, 56429
543, 1916546.00, 8602162.00, 8600544.00,26, 56533
544, 1916524.00, 8602060.00, 8600669.00,26, 56638
545, 1916541.00, 8601740.00, 8600605.00,26, 56742
546, 1916573.00, 8601521.00, 8600499.00,26, 56847
547, 1916498.00, 8601313.00, 8600505.00,26, 56951
548, 1916455.00, 8601166.00, 8600574.00,26, 57056
549, 1916446.00, 8601014.00, 8600659.00,26, 57160
550, 1916440.00, 8600836.00, 8600761.00,26, 57265
551, 1916451.00, 8600705.00, 8600772.00,26, 57369
552, 1916492.00, 8600681.00, 8600506.00,26, 57474
553, 1916471.00, 8600341.00, 8600439.00,26, 57578
554, 1916492.00, 8600226.00, 8600471.00,26, 57683
555, 1916535.00, 8599947.00, 8600653.00,26, 57787
556, 1916555.00, 8599655.00, 8600824.00,26, 57892
557, 1916610.00, 8599437.00, 8600718.00,26, 57996
558, 1916646.00, 8599164.00, 8600920.00,26, 58101
559, 1916594.00, 8599011.00, 8600667.00,26, 58205
560, 1916579.00, 8598932.00, 8600591.00,26, 58310
561, 1916614.00, 8598787.00, 8600738.00,26, 58414
562, 1916627.00, 8598581.00, 8600838.00,26, 58519
563, 1916646.00, 8598411.00, 8600551.00,26, 58623
564, 1916617.00, 8598237.00, 8600615.00,26, 58728
565, 1916608.00, 8598126.00, 8600620.00,26, 58832
566, 1916644.00, 8597969.00, 8600707.00,26, 58937
567, 1916612.00, 8597794.00, 8600792.00,26, 59041
568, 1916583.00, 8597678.00, 8600717.00,26, 59146
569, 1916614.00, 8597483.00, 8600643.00,26, 59250
570, 1916631.00, 8597332.00, 8600690.00,26, 59355
571, 1916675.00, 8597133.00, 8600892.00,26, 59459
572, 1916719.00, 8596908.00, 8600748.00,26, 59564
573, 1916704.00, 8596694.00, 8600475.00,26, 59668
574, 1916719.00, 8596534.00, 8600625.00,26, 59773
575, 1916727.00, 8596347.00, 8600724.00,26, 59877
576, 1916749.00, 8596175.00, 8601157.00,26, 59982
577, 1916847.00, 8595387.00, 8601750.00,26, 60086
578, 1916916.00, 8595080.00, 8601994.00,26, 60191
579, 1917056.00, 8594507.00, 8602860.00,26, 60295
580, 1917164.00, 8593837.00, 8604703.00,26, 60400
581, 1917259.00, 8593428.00, 8605201.00,26, 60504
582, 1917336.00, 8592573.00, 8605802.00,26, 60609
583, 1917380.00, 8592211.00, 8605421.00,26, 60713
584, 1917372.00, 8591725.00, 8605311.00,26, 60818
585, 1917673.00, 8589699.00, 8606016.00,26, 60922
586, 1917986.00, 8588466.00, 8608993.00,26, 61027
587, 1918695.00, 8585256.00, 8616196.00,26, 61131
588, 1920659.00, 8564503.00, 8630288.00,26, 61236
589, 1914825.00, 8441311.00, 8656619.00,26, 61340
590, 1905379.00, 8358320.00, 8647961.00,26, 61445
591, 1906207.00, 8359074.00, 8644778.00,26, 61549
592, 1907220.00, 8360934.00, 8644545.00,26, 61654
593, 1907776.00, 8362622.00, 8644679.00,26, 61758
594, 1908157.00, 8363113.00, 8644232.00,26, 61863
595, 1908554.00, 8363495.00, 8644394.00,26, 61967
596, 1908923.00, 8363564.00, 8644533.00,26, 62072
597, 1909249.00, 8363711.00, 8644528.00,26, 62176
598, 1909567.00, 8363782.00, 8644640.00,26, 62281
599, 1909766.00, 8363920.00, 8644631.00,26, 62385
600, 1909929.00, 8364199.00, 8644517.00,26, 62490
601, 1910036.00, 8364307.00, 8644451.00,26, 62594
602, 1910135.00, 8364509.00, 8644178.00,26, 62699
603, 1910267.00, 8364664.00, 8644173.00,26, 62803
604, 1910378.00, 8364857.00, 8644059.00,26, 62908
605, 1910612.00, 8364659.00, 8644499.00,26, 63012
606, 1910740.00, 8364544.00, 8644454.00,26, 63116
607, 1910910.00, 8364437.00, 8644377.00,26, 63221
608, 1911099.00, 8364114.00, 8644287.00,26, 63325
609, 1911260.00, 8363217.00, 8644471.00,26, 63430
610, 1911375.00, 8362874.00, 8644595.00,26, 63534
611, 1911573.00, 8362436.00, 8644402.00,26, 63639
612, 1911688.00, 8362080.00, 8644408.00,26, 63743
613, 1911738.00, 8362015.00, 8644305.00,26, 63848
614, 1911841.00, 8361929.00, 8644331.00,26, 63952
615, 1911935.00, 8361747.00, 8644433.00,26, 64057
616, 1911964.00, 8361590.00, 8644640.00,26, 64161
617, 1912010.00, 8361432.00, 8644634.00,26, 64266
618, 1912156.00, 8361226.00, 8644574.00,26, 64370
619, 1912246.00, 8361192.00, 8644436.00,26, 64475
620, 1912290.00, 8361206.00, 8644618.00,26, 64579
621, 1912364.00, 8361088.00, 8644683.00,26, 64684
622, 1912370.00, 8361057.00, 8644368.00,26, 64788
623, 1912417.00, 8361015.00, 8644255.00,26, 64893
624, 1912497.00, 8360747.00, 8644451.00,26, 64997
625, 1912621.00, 8360484.00, 8644507.00,26, 65102
626, 1912723.00, 8360082.00, 8644377.00,26, 65206
627, 1912852.00, 8359586.00, 8644431.00,26, 65311
628, 1912986.00, 8359158.00, 8644426.00,26, 65415
629, 1913094.00, 8358722.00, 8644232.00,26, 65520
630, 1913135.00, 8358424.00, 8644074.00,26, 65624
631, 1913189.00, 8358221.00, 8644429.00,26, 65729
632, 1913273.00, 8357944.00, 8644479.00,26, 65833
633, 1913362.00, 8357863.00, 8644390.00,26, 65938
634, 1913389.00, 8357839.00, 8644509.00,26, 66042
635, 1913392.00, 8357810.00, 8644377.00,26, 66147
636, 1913415.00, 8357666.00, 8644215.00,26, 66251
637, 1913451.00, 8357553.00, 8644351.00,26, 66356
638, 1913440.00, 8357508.00, 8644357.00,26, 66460
639, 1913447.00, 8357439.00, 8644514.00,26, 66565
640, 1913466.00, 8357351.00, 8644531.00,26, 66669
641, 1913528.00, 8357349.00, 8644405.00,26, 66774
642, 1913544.00, 8357370.00, 8644602.00,26, 66878
643, 1913555.00, 8357205.00, 8644317.00,26, 66983
644, 1913629.00, 8356967.00, 8644529.00,26, 67087
645, 1913717.00, 8356732.00, 8644367.00,26, 67192
646, 1913878.00, 8356408.00, 8644286.00,26, 67296
647, 1913942.00, 8356052.00, 8644462.00,26, 67401
648, 1913991.00, 8355684.00, 8644321.00,26, 67505
649, 1914021.00, 8355549.00, 8644351.00,26, 67609
650, 1914070.00, 8355469.00, 8644271.00,26, 67714
651, 1914078.00, 8355508.00, 8644269.00,26, 67818
652, 1914101.00, 8355438.00, 8644260.00,26, 67923
653, 1914096.00, 8355336.00, 8644381.00,26, 68027
654, 1914101.00, 8355351.00, 8644428.00,26, 68132
655, 1914103.00, 8355359.00, 8644395.00,26, 68236
656, 1914119.00, 8355154.00, 8644391.00,26, 68341
657, 1914168.00, 8355138.00, 8644371.00,26, 68445
658, 1914144.00, 8355100.00, 8644318.00,26, 68550
659, 1914193.00, 8355030.00, 8644232.00,26, 68654
660, 1914296.00, 8354923.00, 8644206.00,26, 68759
661, 1914335.00, 8354798.00, 8644257.00,26, 68863
662, 1914358.00, 8354664.00, 8644408.00,26, 68968
663, 1914474.00, 8354426.00, 8644592.00,26, 69072
664, 1914532.00, 8354063.00, 8644444.00,26, 69177
665, 1914581.00, 8353845.00, 8644499.00,26, 69281
666, 1914619.00, 8353675.00, 8644416.00,26, 69386
667, 1914658.00, 8353540.00, 8644538.00,26, 69490
668, 1914685.00, 8353459.00, 8644369.00,26, 69595
669, 1914739.00, 8353455.00, 8644124.00,26, 69699
670, 1914703.00, 8353357.00, 8644144.00,26, 69804
671, 1914617.00, 8353326.00, 8644388.00,26, 69908
672, 1914651.00, 8353212.00, 8644347.00,26, 70013
673, 1914717.00, 8353179.00, 8644288.00,26, 70117
674, 1914691.00, 8353202.00, 8644328.00,26, 70222
675, 1914660.00, 8353270.00, 8644361.00,26, 70326
676, 1914728.00, 8353243.00, 8644443.00,26, 70431
677, 1914811.00, 8353164.00, 8644423.00,26, 70535
678, 1914860.00, 8353104.00, 8644429.00,26, 70640
679, 1914835.00, 8352999.00, 8644439.00,26, 70744
680, 1914819.00, 8352517.00, 8644368.00,26, 70849
681, 1914874.00, 8352305.00, 8644435.00,26, 70953
682, 1914940.00, 8352141.00, 8644349.00,26, 71058
683, 1915019.00, 8351966.00, 8644172.00,26, 71162
684, 1915024.00, 8351833.00, 8644461.00,26, 71267
685, 1915051.00, 8351777.00, 8644369.00,26, 71371
686, 1915092.00, 8351724.00, 8644404.00,26, 71476
687, 1915057.00, 8351659.00, 8644405.00,26, 71580
688, 1915058.00, 8351596.00, 8644447.00,26, 71685
689, 1915082.00, 8351572.00, 8644446.00,26, 71789
690, 1915070.00, 8351571.00, 8644486.00,26, 71894
691, 1915135.00, 8351507.00, 8644433.00,26, 71998
692, 1915149.00, 8351492.00, 8644347.00,26, 72103
693, 1915130.00, 8351494.00, 8644332.00,26, 72207
694, 1915099.00, 8351484.00, 8644488.00,26, 72312
695, 1915103.00, 8351473.00, 8644496.00,26, 72416
696, 1915166.00, 8351343.00, 8644654.00,26, 72521
697, 1915197.00, 8351217.00, 8644614.00,26, 72625
698, 1915244.00, 8351089.00, 8644472.00,26, 72730
699, 1915280.00, 8350829.00, 8644573.00,26, 72834
700, 1915296.00, 8350594.00, 8644511.00,26, 72939
701, 1915369.00, 8350443.00, 8644412.00,26, 73043
702, 1915448.00, 8350371.00, 8644181.00,26, 73148
703, 1915433.00, 8350284.00, 8644551.00,26, 73252
704, 1915427.00, 8350180.00, 8644685.00,26, 73357
705, 1915443.00, 8350126.00, 8644408.00,26, 73461
706, 1915455.00, 8350095.00, 8644396.00,26, 73566
707, 1915491.00, 8350092.00, 8644258.00,26, 73670
708, 1915489.00, 8350090.00, 8644109.00,26, 73775
709, 1915408.00, 8350009.00, 8644372.00,26, 73879
710, 1915415.00, 8349957.00, 8644496.00,26, 73984
711, 1915422.00, 8350000.00, 8644271.00,26, 74088
712, 1915410.00, 8350134.00, 8644331.00,26, 74193
713, 1915433.00, 8350122.00, 8644357.00,26, 74297
714, 1915415.00, 8349999.00, 8644482.00,26, 74402
715, 1915428.00, 8349887.00, 8644306.00,26, 74506
716, 1915494.00, 8349728.00, 8644319.00,26, 74611
717, 1915589.00, 8349489.00, 8644237.00,26, 74715
718, 1915601.00, 8349261.00, 8644392.00,26, 74820
719, 1915646.00, 8349172.00, 8644750.00,26, 74924
720, 1915684.00, 8349150.00, 8644474.00,26, 75029
721, 1915732.00, 8349029.00, 8644399.00,26, 75133
722, 1915769.00, 8348942.00, 8644475.00,26, 75238
723, 1915729.00, 8348940.00, 8644468.00,26, 75342
724, 1915788.00, 8348870.00, 8644454.00,26, 75447
725, 1915769.00, 8348812.00, 8644317.00,26, 75551
726, 1915681.00, 8348874.00, 8644249.00,26, 75656
727, 1915665.00, 8348876.00, 8644701.00,26, 75760
728, 1915716.00, 8348837.00, 8644532.00,26, 75865
729, 1915812.00, 8348875.00, 8644572.00,26, 75969
730, 1915856.00, 8348855.00, 8644719.00,26, 76074
731, 1915836.00, 8348854.00, 8644502.00,26, 76178
732, 1915807.00, 8348786.00, 8644540.00,26, 76283
733, 1915793.00, 8348657.00, 8644634.00,26, 76387
734, 1915843.00, 8348483.00, 8644557.00,26, 76492
735, 1915866.00, 8348339.00, 8644510.00,26, 76596
736, 1915940.00, 8348100.00, 8644276.00,26, 76701
737, 1916027.00, 8347945.00, 8644160.00,26, 76805
738, 1916053.00, 8347847.00, 8644448.00,26, 76910
739, 1916061.00, 8347762.00, 8644487.00,26, 77014
740, 1916049.00, 8347704.00, 8644330.00,26, 77119
741, 1916053.00, 8347653.00, 8644489.00,26, 77223
742, 1916086.00, 8347604.00, 8644303.00,26, 77328
743, 1916150.00, 8347582.00, 8644251.00,26, 77432
744, 1916131.00, 8347516.00, 8644177.00,26, 77537
745, 1916069.00, 8347543.00, 8644061.00,26, 77641
746, 1916064.00, 8347538.00, 8644192.00,26, 77746
747, 1916016.00, 8347534.00, 8644374.00,26, 77850
748, 1916040.00, 8347576.00, 8644352.00,26, 77955
749, 1916124.00, 8347585.00, 8644294.00,26, 78059
750, 1916087.00, 8347538.00, 8644337.00,26, 78164
751, 1916069.00, 8347389.00, 8644529.00,26, 78268
752, 1916140.00, 8347108.00, 8644498.00,26, 78373
753, 1916200.00, 8346980.00, 8644420.00,26, 78477
754, 1916213.00, 8346856.00, 8644305.00,26, 78582
755, 1916256.00, 8346744.00, 8644252.00,26, 78686
756, 1916205.00, 8346734.00, 8644236.00,26, 78791
757, 1916201.00, 8346709.00, 8644460.00,26, 78896
758, 1916242.00, 8346624.00, 8644414.00,26, 79000
759, 1916279.00, 8346583.00, 8644437.00,26, 79105
760, 1916299.00, 8346558.00, 8644392.00,26, 79209
761, 1916314.00, 8346527.00, 8644259.00,26, 79314
762, 1916295.00, 8346534.00, 8644217.00,26, 79418
763, 1916284.00, 8346492.00, 8644198.00,26, 79523
764, 1916261.00, 8346505.00, 8644493.00,26, 79627
765, 1916298.00, 8346552.00, 8644444.00,26, 79732
766, 1916288.00, 8346597.00, 8644372.00,26, 79836
767, 1916265.00, 8346556.00, 8644268.00,26, 79941
768, 1916315.00, 8346451.00, 8644349.00,26, 80045
769, 1916371.00, 8346317.00, 8644543.00,26, 80150
770, 1916399.00, 8346179.00, 8644353.00,26, 80254
771, 1916484.00, 8346102.00, 8644294.00,26, 80359
772, 1916511.00, 8345994.00, 8644416.00,26, 80463
773, 1916477.00, 8345938.00, 8644478.00,26, 80568
774, 1916521.00, 8345940.00, 8644320.00,26, 80672
775, 1916532.00, 8345897.00, 8644464.00,26, 80777
776, 1916479.00, 8345779.00, 8644385.00,26, 80881
777, 1916485.00, 8345745.00, 8644335.00,26, 80986
778, 1916534.00, 8345765.00, 8644535.00,26, 81090
779, 1916584.00, 8345738.00, 8644363.00,26, 81195
780, 1916490.00, 8345736.00, 8644224.00,26, 81299
781, 1916451.00, 8345717.00, 8644077.00,26, 81404
782, 1916451.00, 8345766.00, 8644252.00,26, 81508
783, 1916375.00, 8345772.00, 8644378.00,26, 81613
784, 1916360.00, 8345791.00, 8644062.00,26, 81717
785, 1916363.00, 8345773.00, 8644188.00,26, 81822
786, 1916410.00, 8345761.00, 8644154.00,26, 81926
787, 1916480.00, 8345642.00, 8644206.00,26, 82031
788, 1916517.00, 8345573.00, 8644379.00,26, 82135
789, 1916543.00, 8345471.00, 8644465.00,26, 82240
790, 1916586.00, 8345337.00, 8644562.00,26, 82344
791, 1916548.00, 8345265.00, 8644268.00,26, 82449
792, 1916554.00, 8345206.00, 8644137.00,26, 82553
793, 1916544.00, 8345124.00, 8644249.00,26, 82658
794, 1916563.00, 8345100.00, 8644194.00,26, 82762
795, 1916623.00, 8345058.00, 8644341.00,26, 82867
796, 1916614.00, 8345059.00, 8644366.00,26, 82971
797, 1916625.00, 8345015.00, 8644351.00,26, 83076
798, 1916569.00, 8345015.00, 8644568.00,26, 83180
799, 1916605.00, 8345035.00, 8644375.00,26, 83285
800, 1916650.00, 8344893.00, 8644298.00,26, 83389
801, 1916623.00, 8344871.00, 8644073.00,26, 83494
802, 1916679.00, 8344780.00, 8643855.00,26, 83598
803, 1916710.00, 8344627.00, 8644019.00,26, 83703
804, 1916706.00, 8344581.00, 8644118.00,26, 83807
805, 1916724.00, 8344506.00, 8644002.00,26, 83912
806, 1916754.00, 8344488.00, 8643864.00,26, 84016
807, 1916854.00, 8344256.00, 8644250.00,26, 84121
808, 1916818.00, 8344167.00, 8644438.00,26, 84225
809, 1916847.00, 8344074.00, 8644496.00,26, 84330
810, 1916915.00, 8343882.00, 8644659.00,26, 84434
811, 1916936.00, 8343819.00, 8644380.00,26, 84539
812, 1916904.00, 8343823.00, 8644130.00,26, 84643
813, 1916921.00, 8343752.00, 8644277.00,26, 84748
814, 1916996.00, 8343552.00, 8644402.00,26, 84852
815, 1916970.00, 8343524.00, 8644370.00,26, 84957
816, 1916933.00, 8343530.00, 8644419.00,26, 85061
817, 1916975.00, 8343326.00, 8644426.00,26, 85166
818, 1916998.00, 8343180.00, 8644395.00,26, 85270
819, 1916963.00, 8343203.00, 8644663.00,26, 85375
