Date: 20.2.2020 , In use by: Mena
Daytime: 11:21:7, Temperature: 25°C
ID, strain4A, strain4B, loadcell x, temp [°C], runtime [ms]
BASELINE Time: 11:21:20
94, 1773939.00, 9718893.00, 8492875.00,25, 9621
95, 1773837.00, 9718818.00, 8492938.00,25, 9725
96, 1773747.00, 9718697.00, 8492884.00,25, 9830
97, 1773639.00, 9718660.00, 8492796.00,25, 9934
98, 1773528.00, 9718587.00, 8492775.00,25, 10039
99, 1773465.00, 9718475.00, 8492943.00,25, 10143
100, 1773383.00, 9718423.00, 8492825.00,25, 10248
101, 1773282.00, 9718285.00, 8492818.00,25, 10353
102, 1773184.00, 9718222.00, 8492847.00,25, 10457
103, 1773144.00, 9718122.00, 8492825.00,25, 10562
104, 1773075.00, 9718023.00, 8492690.00,25, 10666
105, 1772968.00, 9717923.00, 8492818.00,25, 10771
106, 1772893.00, 9717837.00, 8492925.00,25, 10875
107, 1772807.00, 9717800.00, 8492918.00,25, 10980
108, 1772635.00, 9717595.00, 8493012.00,25, 11085
109, 1772598.00, 9717552.00, 8492958.00,25, 11189
110, 1772549.00, 9717541.00, 8492877.00,25, 11294
111, 1772422.00, 9717476.00, 8492834.00,25, 11398
112, 1772281.00, 9717365.00, 8492831.00,25, 11503
113, 1772187.00, 9717271.00, 8492780.00,25, 11607
114, 1772099.00, 9717209.00, 8492798.00,25, 11712
115, 1772040.00, 9717187.00, 8492803.00,25, 11817
116, 1771903.00, 9717102.00, 8492957.00,25, 11921
117, 1771792.00, 9717030.00, 8492996.00,25, 12026
118, 1771764.00, 9716974.00, 8492858.00,25, 12130
119, 1771701.00, 9716906.00, 8492803.00,25, 12235
120, 1771653.00, 9716858.00, 8492795.00,25, 12340
121, 1771610.00, 9716847.00, 8492866.00,25, 12444
122, 1771542.00, 9716856.00, 8492886.00,25, 12549
123, 1771400.00, 9716779.00, 8492872.00,25, 12653
BASELINE Time: 11:21:33
RECORDING Time: 11:21:41
1, 1764232.00, 9711452.00, 8492804.00,25, 0
2, 1764212.00, 9711304.00, 8492936.00,25, 0
3, 1764104.00, 9711345.00, 8492841.00,25, 105
4, 1763929.00, 9711413.00, 8492859.00,25, 209
5, 1763763.00, 9711165.00, 8492879.00,25, 314
6, 1763745.00, 9711160.00, 8492826.00,25, 419
7, 1763704.00, 9711197.00, 8492870.00,25, 523
8, 1763602.00, 9711092.00, 8492976.00,25, 628
9, 1763412.00, 9711120.00, 8492800.00,25, 732
10, 1763331.00, 9711068.00, 8492779.00,25, 837
11, 1763243.00, 9710904.00, 8492744.00,25, 941
12, 1763095.00, 9710889.00, 8492810.00,25, 1046
13, 1762960.00, 9710825.00, 8492803.00,25, 1151
14, 1762827.00, 9710682.00, 8492837.00,25, 1255
15, 1762659.00, 9710577.00, 8492859.00,25, 1360
16, 1762588.00, 9710530.00, 8492882.00,25, 1464
17, 1762572.00, 9710409.00, 8492781.00,25, 1569
18, 1762482.00, 9710398.00, 8492839.00,25, 1674
19, 1762402.00, 9710345.00, 8492920.00,25, 1778
20, 1762274.00, 9710216.00, 8492849.00,25, 1883
21, 1762175.00, 9710170.00, 8492895.00,25, 1987
22, 1762135.00, 9710112.00, 8492929.00,25, 2092
23, 1762083.00, 9710043.00, 8492859.00,25, 2196
24, 1762064.00, 9709992.00, 8492855.00,25, 2301
25, 1761996.00, 9709891.00, 8492822.00,25, 2406
26, 1761877.00, 9709803.00, 8492809.00,25, 2510
27, 1761790.00, 9709744.00, 8492789.00,25, 2615
28, 1761774.00, 9709655.00, 8492759.00,25, 2719
29, 1761733.00, 9709593.00, 8492831.00,25, 2824
30, 1761633.00, 9709548.00, 8492913.00,25, 2929
31, 1761505.00, 9709518.00, 8492846.00,25, 3033
32, 1761459.00, 9709483.00, 8492856.00,25, 3138
33, 1761430.00, 9709374.00, 8492843.00,25, 3242
34, 1761389.00, 9709249.00, 8492858.00,25, 3347
35, 1761345.00, 9709168.00, 8492843.00,25, 3451
36, 1761267.00, 9709137.00, 8492942.00,25, 3556
37, 1761194.00, 9709161.00, 8492921.00,25, 3661
38, 1761128.00, 9709155.00, 8492905.00,25, 3765
39, 1761053.00, 9709077.00, 8492877.00,25, 3870
40, 1760979.00, 9709050.00, 8492946.00,25, 3974
41, 1760965.00, 9708889.00, 8492841.00,25, 4079
42, 1760943.00, 9708818.00, 8492817.00,25, 4183
43, 1760841.00, 9708762.00, 8492930.00,25, 4288
44, 1760790.00, 9708716.00, 8492895.00,25, 4393
45, 1760762.00, 9708674.00, 8492941.00,25, 4497
46, 1760688.00, 9708742.00, 8492894.00,25, 4602
47, 1760575.00, 9708881.00, 8492859.00,25, 4706
48, 1760483.00, 9708838.00, 8492938.00,25, 4811
49, 1760420.00, 9708700.00, 8492886.00,25, 4915
50, 1760389.00, 9708704.00, 8492722.00,25, 5020
51, 1760412.00, 9708612.00, 8492762.00,25, 5125
52, 1760327.00, 9708546.00, 8492912.00,25, 5229
53, 1760224.00, 9708534.00, 8492845.00,25, 5334
54, 1760165.00, 9708454.00, 8492825.00,25, 5438
55, 1760127.00, 9708416.00, 8492828.00,25, 5543
56, 1760141.00, 9708335.00, 8492892.00,25, 5647
57, 1760078.00, 9708296.00, 8492886.00,25, 5752
58, 1759969.00, 9708257.00, 8492879.00,25, 5857
59, 1759952.00, 9708190.00, 8492867.00,25, 5961
60, 1759836.00, 9708133.00, 8492951.00,25, 6066
61, 1759771.00, 9708078.00, 8492984.00,25, 6170
62, 1759777.00, 9708042.00, 8492915.00,25, 6275
63, 1759732.00, 9708003.00, 8492855.00,25, 6379
64, 1759584.00, 9707964.00, 8492817.00,25, 6484
65, 1759538.00, 9707820.00, 8492797.00,25, 6589
66, 1759601.00, 9707730.00, 8492842.00,25, 6693
67, 1759581.00, 9707712.00, 8492827.00,25, 6798
