Date: 28.2.2020 , In use by: Mena
Daytime: 14:23:52, Temperature: 24°C
ID, strain1, strain2, strain3, temp [°C], runtime [ms]
BASELINE Time: 14:32:30
1, 0.00, 0.00, 1988059.00, 16, 0
2, 0.00, 0.00, 1988292.00, 16, 0
3, 0.00, 0.00, 1982673.00, 16, 104
4, 0.00, 0.00, 1975836.00, 16, 208
5, 0.00, 0.00, 1973057.00, 16, 312
6, 0.00, 0.00, 1965891.00, 16, 415
7, 0.00, 0.00, 1961979.00, 16, 519
8, 0.00, 0.00, 1961358.00, 16, 623
9, 0.00, 0.00, 1961518.00, 16, 727
10, 0.00, 0.00, 1962277.00, 16, 830
11, 0.00, 0.00, 1962855.00, 16, 934
12, 0.00, 0.00, 1963393.00, 16, 1038
13, 0.00, 0.00, 1963169.00, 16, 1142
14, 0.00, 0.00, 1962585.00, 16, 1245
15, 0.00, 0.00, 1961906.00, 16, 1349
16, 0.00, 0.00, 1961419.00, 16, 1453
17, 0.00, 0.00, 1961328.00, 16, 1557
18, 0.00, 0.00, 1961723.00, 16, 1660
19, 0.00, 0.00, 1962114.00, 16, 1764
20, 0.00, 0.00, 1962382.00, 16, 1868
21, 0.00, 0.00, 1962651.00, 16, 1972
22, 0.00, 0.00, 1962882.00, 16, 2075
23, 0.00, 0.00, 1963208.00, 16, 2179
24, 0.00, 0.00, 1963462.00, 16, 2283
25, 0.00, 0.00, 1963555.00, 16, 2387
26, 0.00, 0.00, 1963575.00, 16, 2491
27, 0.00, 0.00, 1963515.00, 16, 2594
28, 0.00, 0.00, 1963435.00, 16, 2698
29, 0.00, 0.00, 1963373.00, 16, 2802
30, 0.00, 0.00, 1963384.00, 16, 2906
31, 0.00, 0.00, 1963435.00, 16, 3009
32, 0.00, 0.00, 1963678.00, 16, 3113
33, 0.00, 0.00, 1963908.00, 16, 3217
34, 0.00, 0.00, 1964032.00, 16, 3321
35, 0.00, 0.00, 1964189.00, 16, 3424
36, 0.00, 0.00, 1964140.00, 16, 3528
37, 0.00, 0.00, 1964230.00, 16, 3632
38, 0.00, 0.00, 1964317.00, 16, 3736
39, 0.00, 0.00, 1964320.00, 16, 3839
40, 0.00, 0.00, 1964320.00, 16, 3943
41, 0.00, 0.00, 1964311.00, 16, 4047
42, 0.00, 0.00, 1964383.00, 16, 4151
43, 0.00, 0.00, 1964463.00, 16, 4254
44, 0.00, 0.00, 1964525.00, 16, 4358
