148,575	14,068
148,407	14,069
148,241	14,069
148,156	14,070
148,146	14,071
148,224	14,071
148,344	14,071
148,571	14,072
148,738	14,072
148,814	14,072
148,790	14,071
148,650	14,071
148,438	14,071
148,082	14,070
147,694	14,069
147,277	14,068
146,822	14,068
146,428	14,066
146,116	14,065
145,916	14,064
145,743	14,062
145,598	14,060
145,427	14,059
145,176	14,057
144,839	14,054
144,445	14,052
143,918	14,050
143,351	14,047
142,864	14,044
142,378	14,041
142,081	14,038
141,723	14,035
141,389	14,032
140,999	14,029
140,395	14,025
139,705	14,022
138,820	14,018
137,891	14,014
137,010	14,010
136,298	14,006
135,675	14,001
135,209	13,997
134,768	13,992
134,404	13,988
134,060	13,983
133,599	13,978
133,026	13,973
132,296	13,968
131,446	13,962
130,625	13,957
129,741	13,951
128,854	13,945
128,034	13,939
127,171	13,933
126,404	13,927
125,717	13,921
125,010	13,914
124,239	13,907
123,523	13,901
122,830	13,894
122,135	13,887
121,151	13,880
120,198	13,872
119,297	13,865
118,374	13,858
117,398	13,850
116,436	13,842
115,702	13,834
114,970	13,826
114,032	13,818
113,101	13,810
112,450	13,801
111,588	13,793
110,746	13,784
109,963	13,775
109,255	13,766
108,403	13,757
107,374	13,748
106,598	13,738
105,582	13,729
104,529	13,719
103,624	13,709
102,724	13,699
101,747	13,689
100,756	13,679
99,938	13,669
99,154	13,658
98,374	13,648
97,898	13,637
97,499	13,626
97,125	13,616
96,695	13,604
96,335	13,593
95,936	13,582
95,455	13,570
95,128	13,559
94,765	13,547
94,524	13,535
94,115	13,523
93,890	13,511
93,754	13,499
93,484	13,487
93,178	13,474
92,833	13,462
92,704	13,449
92,361	13,436
92,049	13,423
91,755	13,410
91,600	13,397
91,447	13,383
91,139	13,370
90,944	13,356
90,699	13,343
90,431	13,329
90,115	13,315
89,898	13,301
89,692	13,287
89,508	13,272
89,270	13,258
89,151	13,243
88,896	13,228
88,504	13,214
88,331	13,199
87,997	13,184
87,704	13,168
87,355	13,153
87,087	13,138
86,928	13,122
86,625	13,107
86,381	13,091
86,170	13,075
85,995	13,059
85,776	13,043
85,554	13,026
85,293	13,010
85,108	12,994
84,858	12,977
84,607	12,960
84,360	12,943
84,084	12,927
83,922	12,909
83,657	12,892
83,337	12,875
83,135	12,857
82,909	12,840
82,617	12,822
82,280	12,804
82,034	12,787
81,842	12,769
81,562	12,750
81,240	12,732
81,098	12,714
80,907	12,696
80,699	12,677
80,464	12,658
80,187	12,640
80,073	12,621
79,801	12,602
79,442	12,583
79,060	12,563
78,766	12,544
78,472	12,524
78,160	12,505
77,843	12,485
77,739	12,465
77,628	12,446
77,440	12,426
77,250	12,405
76,938	12,385
76,641	12,365
76,288	12,345
75,970	12,324
75,663	12,304
75,367	12,283
75,195	12,262
75,031	12,241
74,752	12,220
74,636	12,199
74,486	12,178
74,231	12,156
74,024	12,135
73,796	12,113
73,660	12,091
73,313	12,070
73,029	12,048
72,778	12,026
72,497	12,004
72,188	11,982
71,815	11,960
71,526	11,937
71,228	11,915
70,929	11,892
70,626	11,869
70,442	11,847
70,246	11,824
70,249	11,801
70,073	11,778
69,858	11,755
69,660	11,731
69,443	11,708
69,228	11,685
68,847	11,661
68,550	11,638
68,353	11,614
68,132	11,590
67,898	11,566
67,675	11,542
67,472	11,518
67,319	11,494
67,133	11,470
66,951	11,445
66,690	11,421
66,375	11,396
66,139	11,372
65,878	11,347
65,584	11,322
65,257	11,298
64,970	11,273
64,792	11,248
64,428	11,222
64,167	11,197
63,953	11,172
63,883	11,147
63,741	11,121
63,496	11,096
63,303	11,070
63,034	11,044
62,805	11,018
62,478	10,992
62,259	10,967
62,107	10,940
62,024	10,914
61,871	10,888
61,658	10,862
61,509	10,836
61,338	10,809
61,242	10,783
61,086	10,756
61,014	10,729
61,013	10,703
60,874	10,676
60,557	10,649
60,241	10,622
59,894	10,595
59,540	10,568
59,168	10,540
58,838	10,513
58,660	10,486
58,495	10,458
58,341	10,431
58,141	10,403
57,997	10,376
57,919	10,348
57,796	10,320
57,625	10,292
57,441	10,264
57,239	10,236
56,923	10,208
56,529	10,180
56,198	10,152
55,920	10,124
55,697	10,096
55,598	10,067
