Date: 28.2.2020 , In use by: Mena
Daytime: 15:5:57, Temperature: 13°C
ID, strain1, strain2, strain3, temp [°C], runtime [ms]
BASELINE Time: 15:6:2
121, 0.00, 0.00, 8993357.00, 13, 12349
122, 0.00, 0.00, 8993012.00, 13, 12453
123, 0.00, 0.00, 8992251.00, 13, 12557
124, 0.00, 0.00, 8991936.00, 13, 12660
125, 0.00, 0.00, 8991602.00, 13, 12764
126, 0.00, 0.00, 8991173.00, 13, 12868
127, 0.00, 0.00, 8990796.00, 13, 12972
128, 0.00, 0.00, 8990509.00, 13, 13076
129, 0.00, 0.00, 8990211.00, 13, 13179
130, 0.00, 0.00, 8989854.00, 13, 13283
131, 0.00, 0.00, 8989589.00, 13, 13387
132, 0.00, 0.00, 8989294.00, 13, 13491
133, 0.00, 0.00, 8988984.00, 13, 13594
134, 0.00, 0.00, 8988723.00, 13, 13698
135, 0.00, 0.00, 8988243.00, 13, 13802
136, 0.00, 0.00, 8988066.00, 13, 13906
137, 0.00, 0.00, 8987799.00, 13, 14009
138, 0.00, 0.00, 8987473.00, 13, 14113
139, 0.00, 0.00, 8987319.00, 13, 14217
140, 0.00, 0.00, 8987139.00, 13, 14321
141, 0.00, 0.00, 8986881.00, 13, 14424
142, 0.00, 0.00, 8986590.00, 13, 14528
143, 0.00, 0.00, 8986327.00, 13, 14632
144, 0.00, 0.00, 8986146.00, 13, 14736
145, 0.00, 0.00, 8985914.00, 13, 14839
146, 0.00, 0.00, 8985361.00, 13, 14943
147, 0.00, 0.00, 8985166.00, 13, 15047
148, 0.00, 0.00, 8984977.00, 13, 15151
149, 0.00, 0.00, 8984654.00, 13, 15255
150, 0.00, 0.00, 8984415.00, 13, 15358
151, 0.00, 0.00, 8984165.00, 13, 15462
152, 0.00, 0.00, 8983875.00, 13, 15566
153, 0.00, 0.00, 8983571.00, 13, 15670
154, 0.00, 0.00, 8983287.00, 13, 15773
155, 0.00, 0.00, 8982986.00, 13, 15877
156, 0.00, 0.00, 8982711.00, 13, 15981
157, 0.00, 0.00, 8982446.00, 13, 16085
158, 0.00, 0.00, 8981842.00, 13, 16188
159, 0.00, 0.00, 8981732.00, 13, 16292
160, 0.00, 0.00, 8981610.00, 13, 16396
161, 0.00, 0.00, 8981367.00, 13, 16500
162, 0.00, 0.00, 8981144.00, 13, 16604
163, 0.00, 0.00, 8980899.00, 13, 16707
164, 0.00, 0.00, 8980685.00, 13, 16811
165, 0.00, 0.00, 8980489.00, 13, 16915
166, 0.00, 0.00, 8980226.00, 13, 17019
167, 0.00, 0.00, 8979951.00, 13, 17122
168, 0.00, 0.00, 8979677.00, 13, 17226
169, 0.00, 0.00, 8979413.00, 13, 17330
170, 0.00, 0.00, 8978999.00, 13, 17434
171, 0.00, 0.00, 8978832.00, 13, 17537
172, 0.00, 0.00, 8978592.00, 13, 17641
173, 0.00, 0.00, 8978301.00, 13, 17745
174, 0.00, 0.00, 8978082.00, 13, 17849
175, 0.00, 0.00, 8977877.00, 13, 17953
176, 0.00, 0.00, 8977648.00, 13, 18056
177, 0.00, 0.00, 8977440.00, 13, 18160
178, 0.00, 0.00, 8977234.00, 13, 18264
179, 0.00, 0.00, 8977009.00, 13, 18368
180, 0.00, 0.00, 8976806.00, 13, 18471
181, 0.00, 0.00, 8976400.00, 13, 18575
182, 0.00, 0.00, 8976252.00, 13, 18679
183, 0.00, 0.00, 8976124.00, 13, 18783
184, 0.00, 0.00, 8975919.00, 13, 18887
185, 0.00, 0.00, 8975736.00, 13, 18990
BASELINE Time: 15:6:21
RECORDING Time: 15:6:29
1, 0.00, 0.00, 8940469.00, 13, 0
2, 0.00, 0.00, 8940153.00, 13, 0
3, 0.00, 0.00, 8940709.00, 13, 104
4, 0.00, 0.00, 8940859.00, 13, 208
5, 0.00, 0.00, 8940688.00, 13, 312
6, 0.00, 0.00, 8940997.00, 13, 416
7, 0.00, 0.00, 8942074.00, 13, 519
8, 0.00, 0.00, 8943933.00, 13, 623
9, 0.00, 0.00, 8945752.00, 13, 727
10, 0.00, 0.00, 8946424.00, 13, 831
11, 0.00, 0.00, 8945478.00, 13, 934
12, 0.00, 0.00, 8944392.00, 13, 1038
13, 0.00, 0.00, 8944360.00, 13, 1142
14, 0.00, 0.00, 8944374.00, 13, 1246
15, 0.00, 0.00, 8943571.00, 13, 1349
16, 0.00, 0.00, 8942598.00, 13, 1453
17, 0.00, 0.00, 8941730.00, 13, 1557
18, 0.00, 0.00, 8941027.00, 13, 1661
19, 0.00, 0.00, 8940494.00, 13, 1764
20, 0.00, 0.00, 8940022.00, 13, 1868
21, 0.00, 0.00, 8939385.00, 13, 1972
22, 0.00, 0.00, 8938933.00, 13, 2076
23, 0.00, 0.00, 8938562.00, 13, 2180
24, 0.00, 0.00, 8938159.00, 13, 2283
25, 0.00, 0.00, 8937110.00, 13, 2387
26, 0.00, 0.00, 8936688.00, 13, 2491
27, 0.00, 0.00, 8936378.00, 13, 2595
28, 0.00, 0.00, 8936235.00, 13, 2698
29, 0.00, 0.00, 8936258.00, 13, 2802
30, 0.00, 0.00, 8936354.00, 13, 2906
31, 0.00, 0.00, 8936309.00, 13, 3010
32, 0.00, 0.00, 8936267.00, 13, 3113
33, 0.00, 0.00, 8936165.00, 13, 3217
34, 0.00, 0.00, 8936014.00, 13, 3321
35, 0.00, 0.00, 8935979.00, 13, 3425
36, 0.00, 0.00, 8935991.00, 13, 3528
37, 0.00, 0.00, 8935851.00, 13, 3632
38, 0.00, 0.00, 8935784.00, 13, 3736
39, 0.00, 0.00, 8935571.00, 13, 3840
40, 0.00, 0.00, 8935394.00, 13, 3944
41, 0.00, 0.00, 8935178.00, 13, 4047
42, 0.00, 0.00, 8935006.00, 13, 4151
43, 0.00, 0.00, 8934374.00, 13, 4255
44, 0.00, 0.00, 8931450.00, 13, 4359
45, 0.00, 0.00, 8930556.00, 13, 4462
46, 0.00, 0.00, 8931155.00, 13, 4566
47, 0.00, 0.00, 8931396.00, 13, 4670
48, 0.00, 0.00, 8930857.00, 13, 4774
49, 0.00, 0.00, 8930067.00, 13, 4877
50, 0.00, 0.00, 8929306.00, 13, 4981
51, 0.00, 0.00, 8928136.00, 13, 5085
52, 0.00, 0.00, 8927129.00, 13, 5189
53, 0.00, 0.00, 8926479.00, 13, 5293
54, 0.00, 0.00, 8925988.00, 13, 5396
55, 0.00, 0.00, 8925632.00, 13, 5500
56, 0.00, 0.00, 8925409.00, 13, 5604
57, 0.00, 0.00, 8925097.00, 13, 5708
58, 0.00, 0.00, 8924749.00, 13, 5811
59, 0.00, 0.00, 8924393.00, 13, 5915
60, 0.00, 0.00, 8923905.00, 13, 6019
61, 0.00, 0.00, 8923554.00, 13, 6123
62, 0.00, 0.00, 8923355.00, 13, 6226
63, 0.00, 0.00, 8923253.00, 13, 6330
64, 0.00, 0.00, 8923052.00, 13, 6434
65, 0.00, 0.00, 8923137.00, 13, 6538
66, 0.00, 0.00, 8921211.00, 13, 6641
67, 0.00, 0.00, 8916665.00, 13, 6745
68, 0.00, 0.00, 8915340.00, 13, 6849
69, 0.00, 0.00, 8915703.00, 13, 6953
70, 0.00, 0.00, 8915949.00, 13, 7056
71, 0.00, 0.00, 8915416.00, 13, 7160
72, 0.00, 0.00, 8914510.00, 13, 7264
73, 0.00, 0.00, 8914230.00, 13, 7368
74, 0.00, 0.00, 8913953.00, 13, 7472
75, 0.00, 0.00, 8913688.00, 13, 7575
76, 0.00, 0.00, 8913340.00, 13, 7679
77, 0.00, 0.00, 8912992.00, 13, 7783
78, 0.00, 0.00, 8912797.00, 13, 7887
79, 0.00, 0.00, 8913008.00, 13, 7990
