time,chan1,chan2
2019-07-25 16:47:30.197567,0.0,0.0
2019-07-25 16:47:30.364124,0.0,0.0
2019-07-25 16:47:30.538659,0.0,0.0
2019-07-25 16:47:30.717183,0.0,0.0
2019-07-25 16:47:30.957543,0.0,0.0
2019-07-25 16:47:31.127091,0.0,0.0
2019-07-25 16:47:31.292649,0.0,0.0
2019-07-25 16:47:31.449232,0.0,0.0
2019-07-25 16:47:31.612795,0.0,0.0
2019-07-25 16:47:31.777357,0.0,0.0
2019-07-25 16:47:31.942916,0.0,0.0
2019-07-25 16:47:32.104485,0.0,0.0
2019-07-25 16:47:32.275030,0.0,0.0
2019-07-25 16:47:32.437597,0.0,0.0
2019-07-25 16:47:32.598169,0.0,0.0
2019-07-25 16:47:32.789657,0.0,0.0
2019-07-25 16:47:32.994114,0.0,0.0
2019-07-25 16:47:33.160669,0.0,0.0
2019-07-25 16:47:33.323236,0.0,0.0
2019-07-25 16:47:33.513728,0.0,0.0
2019-07-25 16:47:33.675297,0.0,0.0
2019-07-25 16:47:33.841853,0.0,0.0
2019-07-25 16:47:34.005417,0.0,0.0
2019-07-25 16:47:34.169979,0.0,0.0
2019-07-25 16:47:34.335537,0.0,0.0
2019-07-25 16:47:34.499100,0.0,0.0
2019-07-25 16:47:34.660670,0.0,0.0
2019-07-25 16:47:34.823236,0.0,0.0
2019-07-25 16:47:34.983808,0.0,0.0
2019-07-25 16:47:35.151362,0.0,0.0
2019-07-25 16:47:35.318915,0.0,0.0
2019-07-25 16:47:35.502426,0.0,0.0
2019-07-25 16:47:35.699899,0.0,0.0
2019-07-25 16:47:35.885405,0.0,0.0
2019-07-25 16:47:36.119783,0.0,0.0
2019-07-25 16:47:36.283345,0.0,0.0
2019-07-25 16:47:36.443917,0.0,0.0
2019-07-25 16:47:36.607480,0.0,0.0
2019-07-25 16:47:36.771043,0.0,0.0
2019-07-25 16:47:36.953557,0.0,0.0
2019-07-25 16:47:37.120113,0.0,0.0
2019-07-25 16:47:37.285672,0.0,0.0
2019-07-25 16:47:37.449235,0.0,0.0
2019-07-25 16:47:37.611803,0.0,0.0
2019-07-25 16:47:37.774369,0.0,0.0
2019-07-25 16:47:37.939927,0.0,0.0
2019-07-25 16:47:38.104488,0.0,0.0
2019-07-25 16:47:38.267055,0.0,0.0
2019-07-25 16:47:38.428625,0.0,0.0
2019-07-25 16:47:38.613132,0.0,0.0
2019-07-25 16:47:38.772707,0.0,0.0
2019-07-25 16:47:38.940261,0.0,0.0
2019-07-25 16:47:39.135739,0.0,0.0
2019-07-25 16:47:39.319250,0.0,0.0
2019-07-25 16:47:39.480819,0.0,0.0
2019-07-25 16:47:39.644383,0.0,0.0
2019-07-25 16:47:39.806950,0.0,0.0
2019-07-25 16:47:39.968519,0.0,0.0
2019-07-25 16:47:40.134077,0.0,0.0
2019-07-25 16:47:40.303898,0.0,0.0
2019-07-25 16:47:40.465468,0.0,0.0
2019-07-25 16:47:40.627037,0.0,0.0
2019-07-25 16:47:40.857422,0.0,0.0
2019-07-25 16:47:41.031957,0.0,0.0
2019-07-25 16:47:41.198513,0.0,0.0
2019-07-25 16:47:41.382023,0.0,0.0
2019-07-25 16:47:41.580494,0.0,0.0
2019-07-25 16:47:41.806892,0.0,0.0
2019-07-25 16:47:41.991399,0.0,0.0
2019-07-25 16:47:42.198847,0.0,0.0
2019-07-25 16:47:42.397317,0.0,0.0
2019-07-25 16:47:42.558886,0.0,0.0
2019-07-25 16:47:42.723447,0.0,0.0
2019-07-25 16:47:42.890003,0.0,0.0
2019-07-25 16:47:43.059551,0.0,0.0
2019-07-25 16:47:43.223115,0.0,0.0
2019-07-25 16:47:43.385682,0.0,0.0
