Date: 28.2.2020 , In use by: Mena
Daytime: 15:29:51, Temperature: 20°C
ID, strain1, strain2, strain3, temp [°C], runtime [ms]
BASELINE Time: 15:29:52
112, 0.00, 6808197.00, 5396462.00, 20, 11233
113, 0.00, 6807975.00, 5396202.00, 20, 11336
114, 0.00, 6807734.00, 5395963.00, 20, 11440
115, 0.00, 6807511.00, 5395508.00, 20, 11543
116, 0.00, 6807191.00, 5395281.00, 20, 11646
117, 0.00, 6806821.00, 5394956.00, 20, 11749
118, 0.00, 6806451.00, 5394723.00, 20, 11852
119, 0.00, 6806002.00, 5394560.00, 20, 11956
120, 0.00, 6804861.00, 5394455.00, 20, 12059
121, 0.00, 6803939.00, 5394162.00, 20, 12162
122, 0.00, 6803458.00, 5392871.00, 20, 12265
123, 0.00, 6802835.00, 5390477.00, 20, 12369
BASELINE Time: 15:30:5
RECORDING Time: 15:33:33
1, 0.00, 5771356.00, 7375705.00, 19, 0
2, 0.00, 5763101.00, 7364188.00, 19, 0
3, 0.00, 5755337.00, 7361725.00, 19, 103
4, 0.00, 5755974.00, 7362176.00, 19, 207
5, 0.00, 5757249.00, 7361827.00, 19, 310
6, 0.00, 5759963.00, 7361216.00, 19, 414
7, 0.00, 5762822.00, 7361682.00, 19, 517
8, 0.00, 5763720.00, 7362286.00, 19, 621
9, 0.00, 5764184.00, 7362999.00, 19, 724
10, 0.00, 5764643.00, 7363869.00, 19, 827
11, 0.00, 5764989.00, 7364232.00, 19, 931
12, 0.00, 5765241.00, 7364196.00, 19, 1034
13, 0.00, 5765348.00, 7364327.00, 19, 1138
14, 0.00, 5765434.00, 7364356.00, 19, 1241
15, 0.00, 5765614.00, 7364320.00, 19, 1345
16, 0.00, 5765597.00, 7364190.00, 19, 1448
17, 0.00, 5765636.00, 7364170.00, 19, 1552
18, 0.00, 5765711.00, 7364225.00, 19, 1655
19, 0.00, 5765749.00, 7364229.00, 19, 1759
20, 0.00, 5765805.00, 7364277.00, 19, 1862
21, 0.00, 5765788.00, 7364274.00, 19, 1966
22, 0.00, 5765801.00, 7364287.00, 19, 2069
23, 0.00, 5765890.00, 7364370.00, 19, 2173
24, 0.00, 5765933.00, 7364349.00, 19, 2276
25, 0.00, 5765980.00, 7364279.00, 19, 2380
26, 0.00, 5766037.00, 7364365.00, 19, 2483
27, 0.00, 5766071.00, 7364423.00, 19, 2587
28, 0.00, 5766124.00, 7364376.00, 19, 2690
29, 0.00, 5766185.00, 7364352.00, 19, 2794
30, 0.00, 5766231.00, 7364386.00, 19, 2897
31, 0.00, 5766299.00, 7364427.00, 19, 3001
32, 0.00, 5766341.00, 7364320.00, 19, 3104
33, 0.00, 5766413.00, 7364290.00, 19, 3208
34, 0.00, 5766460.00, 7364361.00, 19, 3311
35, 0.00, 5766489.00, 7364381.00, 19, 3415
36, 0.00, 5766497.00, 7364374.00, 19, 3518
37, 0.00, 5766514.00, 7364403.00, 19, 3622
38, 0.00, 5766596.00, 7364469.00, 19, 3725
39, 0.00, 5766647.00, 7364500.00, 19, 3829
40, 0.00, 5766550.00, 7364559.00, 19, 3932
