Date: 28.2.2020 , In use by: Mena
Daytime: 14:48:31, Temperature: 12°C
ID, strain1, strain2, strain3, temp [°C], runtime [ms]
BASELINE Time: 14:48:56
1, 0.00, 0.00, 11503828.00, 12, 0
2, 0.00, 0.00, 11504296.00, 12, 0
3, 0.00, 0.00, 11506916.00, 12, 103
4, 0.00, 0.00, 11511693.00, 12, 207
5, 0.00, 0.00, 11516589.00, 12, 311
6, 0.00, 0.00, 11518874.00, 12, 415
7, 0.00, 0.00, 11518719.00, 12, 519
8, 0.00, 0.00, 11518474.00, 12, 623
9, 0.00, 0.00, 11518715.00, 12, 727
10, 0.00, 0.00, 11518563.00, 12, 830
11, 0.00, 0.00, 11517479.00, 12, 934
12, 0.00, 0.00, 11517274.00, 12, 1038
13, 0.00, 0.00, 11517810.00, 12, 1142
14, 0.00, 0.00, 11518338.00, 12, 1246
15, 0.00, 0.00, 11518083.00, 12, 1350
16, 0.00, 0.00, 11516998.00, 12, 1453
17, 0.00, 0.00, 11516885.00, 12, 1557
18, 0.00, 0.00, 11517074.00, 12, 1661
19, 0.00, 0.00, 11515941.00, 12, 1765
20, 0.00, 0.00, 11514287.00, 12, 1869
21, 0.00, 0.00, 11513589.00, 12, 1973
22, 0.00, 0.00, 11513990.00, 12, 2077
23, 0.00, 0.00, 11514129.00, 12, 2180
24, 0.00, 0.00, 11513858.00, 12, 2284
25, 0.00, 0.00, 11513121.00, 12, 2388
26, 0.00, 0.00, 11513372.00, 12, 2492
27, 0.00, 0.00, 11513755.00, 12, 2596
28, 0.00, 0.00, 11514271.00, 12, 2700
29, 0.00, 0.00, 11515098.00, 12, 2803
30, 0.00, 0.00, 11515506.00, 12, 2907
31, 0.00, 0.00, 11515222.00, 12, 3011
32, 0.00, 0.00, 11515726.00, 12, 3115
33, 0.00, 0.00, 11515459.00, 12, 3219
34, 0.00, 0.00, 11515057.00, 12, 3323
35, 0.00, 0.00, 11515434.00, 12, 3427
36, 0.00, 0.00, 11515606.00, 12, 3530
37, 0.00, 0.00, 11514806.00, 12, 3634
38, 0.00, 0.00, 11513789.00, 12, 3738
39, 0.00, 0.00, 11513894.00, 12, 3842
40, 0.00, 0.00, 11514898.00, 12, 3946
41, 0.00, 0.00, 11515894.00, 12, 4050
42, 0.00, 0.00, 11516703.00, 12, 4153
43, 0.00, 0.00, 11516984.00, 12, 4257
44, 0.00, 0.00, 11517198.00, 12, 4361
45, 0.00, 0.00, 11517547.00, 12, 4465
46, 0.00, 0.00, 11517470.00, 12, 4569
47, 0.00, 0.00, 11517536.00, 12, 4673
48, 0.00, 0.00, 11517591.00, 12, 4777
49, 0.00, 0.00, 11517336.00, 12, 4880
50, 0.00, 0.00, 11516894.00, 12, 4984
51, 0.00, 0.00, 11516903.00, 12, 5088
52, 0.00, 0.00, 11517070.00, 12, 5192
53, 0.00, 0.00, 11517088.00, 12, 5296
54, 0.00, 0.00, 11517147.00, 12, 5400
55, 0.00, 0.00, 11517128.00, 12, 5503
56, 0.00, 0.00, 11517344.00, 12, 5607
57, 0.00, 0.00, 11517180.00, 12, 5711
58, 0.00, 0.00, 11517185.00, 12, 5815
