time,chan1,chan2,chan3,chan4,chan5,chan6,chan7,chan8,chan9,chan10
2019-12-20 16:55:47.873939,7030996.0,8691810.0,1629406.0,8461977.0,8475939.0,9143577.0,8398911.0,9925704.0,9432037.0,7760814.0
2019-12-20 16:55:47.988648,7037125.0,8691489.0,1642851.0,8462026.0,8475007.0,9143559.0,8398965.0,9925743.0,9432091.0,7760782.0
2019-12-20 16:55:48.103129,7049018.0,8688459.0,1699287.0,8461815.0,8476298.0,9143453.0,8398982.0,9925685.0,9432031.0,7760786.0
2019-12-20 16:55:48.218264,7054755.0,8686541.0,1737975.0,8461410.0,8475701.0,9143488.0,8398895.0,9925723.0,9431959.0,7760801.0
2019-12-20 16:55:48.332873,7056083.0,8684747.0,1760998.0,8461137.0,8475734.0,9143517.0,8399101.0,9925673.0,9432056.0,7760810.0
2019-12-20 16:55:48.450957,7048013.0,8685678.0,1738880.0,8461239.0,8476974.0,9143521.0,8398977.0,9925749.0,9432017.0,7760745.0
2019-12-20 16:55:48.566450,7041661.0,8688176.0,1691900.0,8460769.0,8476223.0,9143489.0,8398967.0,9925867.0,9431949.0,7760715.0
2019-12-20 16:55:48.680194,7030537.0,8689527.0,1661500.0,8460848.0,8473852.0,9143554.0,8399006.0,9925855.0,9431919.0,7760755.0
2019-12-20 16:55:48.795380,7035315.0,8688675.0,1678260.0,8461218.0,8473551.0,9143520.0,8399047.0,9925767.0,9431892.0,7760881.0
2019-12-20 16:55:48.910317,7035795.0,8688607.0,1681783.0,8461312.0,8474789.0,9143421.0,8398909.0,9925783.0,9431827.0,7761001.0
2019-12-20 16:55:49.029233,7041943.0,8687729.0,1700979.0,8461354.0,8474206.0,9143402.0,8398853.0,9925738.0,9431840.0,7760984.0
2019-12-20 16:55:49.143334,7042369.0,8687716.0,1703829.0,8461310.0,8474805.0,9143398.0,8399003.0,9925809.0,9431786.0,7760962.0
2019-12-20 16:55:49.258545,7043356.0,8687489.0,1707768.0,8461314.0,8474567.0,9143425.0,8399026.0,9925751.0,9431756.0,7760913.0
2019-12-20 16:55:49.372640,7044162.0,8687473.0,1711113.0,8461459.0,8475488.0,9143491.0,8399038.0,9925731.0,9431692.0,7760954.0
2019-12-20 16:55:49.486863,7045018.0,8687148.0,1712957.0,8461445.0,8475360.0,9143492.0,8398990.0,9925787.0,9431683.0,7760919.0
2019-12-20 16:55:49.606684,7045339.0,8687060.0,1714358.0,8461368.0,8475450.0,9143415.0,8398904.0,9925792.0,9431607.0,7760899.0
2019-12-20 16:55:49.721063,7045194.0,8687176.0,1713858.0,8461319.0,8474484.0,9143551.0,8398847.0,9925828.0,9431610.0,7760912.0
2019-12-20 16:55:49.835356,7045677.0,8687052.0,1718335.0,8461434.0,8474535.0,9143522.0,8398800.0,9925763.0,9431647.0,7760928.0
2019-12-20 16:55:49.950682,7054940.0,8685381.0,1743137.0,8461461.0,8475053.0,9143489.0,8398990.0,9925733.0,9431661.0,7760933.0
