time,chan1,chan2,chan3,chan4,chan5,chan6,chan7,chan8,chan9,chan10
2019-12-20 16:39:30.712028,7011075.0,8641908.0,2234480.0,8462059.0,8473530.0,9413484.0,8399038.0,10082834.0,9557635.0,7704471.0
2019-12-20 16:39:30.827116,7012703.0,8641649.0,2233266.0,8462218.0,8472359.0,9413476.0,8399111.0,10082810.0,9557586.0,7704471.0
2019-12-20 16:39:30.945800,7007005.0,8642420.0,2215454.0,8461899.0,8473793.0,9413571.0,8399052.0,10082798.0,9557509.0,7704498.0
2019-12-20 16:39:31.059936,7014513.0,8641183.0,2246092.0,8461382.0,8473705.0,9413616.0,8399033.0,10082691.0,9557485.0,7704524.0
2019-12-20 16:39:31.178969,7027780.0,8637634.0,2308343.0,8461112.0,8472325.0,9413450.0,8399180.0,10082618.0,9557458.0,7704568.0
2019-12-20 16:39:31.294045,7022327.0,8638306.0,2289925.0,8461243.0,8471756.0,9413516.0,8399195.0,10082676.0,9557454.0,7704565.0
2019-12-20 16:39:31.412859,7017739.0,8639100.0,2271075.0,8461212.0,8472071.0,9413552.0,8399063.0,10082718.0,9557516.0,7704548.0
2019-12-20 16:39:31.527605,7012822.0,8640128.0,2227836.0,8461187.0,8472174.0,9413610.0,7864482.0,10082757.0,9557409.0,7704520.0
2019-12-20 16:39:31.645813,7006181.0,8640982.0,2229994.0,8461307.0,8472886.0,9413537.0,12582911.0,10082785.0,9557403.0,7704568.0
2019-12-20 16:39:31.761011,7008779.0,8640655.0,2239723.0,8461345.0,8471499.0,9413556.0,8398878.0,10082761.0,9557436.0,7704549.0
2019-12-20 16:39:31.879875,7013078.0,8639895.0,2253482.0,8461385.0,8472990.0,9413566.0,8398966.0,10082689.0,9557339.0,7704560.0
2019-12-20 16:39:31.993887,7023592.0,8639162.0,2288504.0,8461306.0,8472502.0,9413532.0,8398954.0,10082616.0,9557350.0,7704633.0
2019-12-20 16:39:32.113000,7027060.0,8638381.0,2299639.0,8461403.0,8472033.0,9413483.0,8399008.0,10082547.0,9557424.0,7704645.0
2019-12-20 16:39:32.227948,7031779.0,8637635.0,2315650.0,8461241.0,8474167.0,9413519.0,8399003.0,10082712.0,9557332.0,7704648.0
2019-12-20 16:39:32.342598,7037061.0,8636581.0,2366565.0,8461290.0,8473921.0,9413489.0,8399051.0,10082766.0,9557302.0,7704636.0
2019-12-20 16:39:32.461009,7036699.0,8635547.0,2333572.0,8461514.0,8474036.0,9413390.0,8398998.0,10082659.0,9557301.0,7704695.0
2019-12-20 16:39:32.575894,7032799.0,8637138.0,2320203.0,8461442.0,8473465.0,9413303.0,8399053.0,10082659.0,9557302.0,7704703.0
2019-12-20 16:39:32.694221,7035248.0,8636864.0,2328363.0,8461337.0,8473850.0,9413458.0,8398847.0,10082587.0,9557312.0,7704689.0
2019-12-20 16:39:32.809190,7044089.0,8635840.0,2357129.0,8461329.0,8474021.0,9413456.0,8398976.0,10082556.0,9557265.0,7704702.0
2019-12-20 16:39:32.927474,7035240.0,8637087.0,2327070.0,8461348.0,8473504.0,9413477.0,8399114.0,10082645.0,9557267.0,7704728.0
2019-12-20 16:39:33.042715,7033744.0,8636791.0,2323500.0,8461419.0,8473473.0,9413489.0,8399000.0,10082640.0,9557270.0,7704746.0
2019-12-20 16:39:33.161635,7040267.0,8635957.0,2346851.0,8461371.0,8473319.0,9413410.0,8399071.0,10082683.0,9557285.0,7704768.0
2019-12-20 16:39:33.276055,7048725.0,8635270.0,2374269.0,8461322.0,8473680.0,9413389.0,8399078.0,10082661.0,9557238.0,7704782.0
2019-12-20 16:39:33.395212,7048138.0,8635458.0,2371706.0,8461420.0,8474022.0,9413339.0,8399054.0,10082639.0,9557190.0,7704763.0
2019-12-20 16:39:33.509009,7046146.0,8635954.0,2364191.0,8461347.0,8473262.0,9413368.0,8399043.0,10082638.0,9557207.0,7704659.0
2019-12-20 16:39:33.623994,7041503.0,8636178.0,2350054.0,8461407.0,8474336.0,9413414.0,8398881.0,10082633.0,9557154.0,7704707.0
2019-12-20 16:39:33.743170,7038458.0,8636363.0,2339734.0,8461493.0,8473925.0,9413375.0,8398944.0,10082522.0,9557109.0,7704737.0
2019-12-20 16:39:33.858132,7039589.0,8635870.0,2345406.0,8461408.0,8472477.0,9413357.0,8398994.0,10082695.0,9557089.0,7704719.0
2019-12-20 16:39:33.976119,7029609.0,8636720.0,2355006.0,8461200.0,8472373.0,9413387.0,8399039.0,10082613.0,9557081.0,7704656.0
2019-12-20 16:39:34.091331,7015695.0,8639226.0,2262515.0,8461365.0,8473060.0,9413396.0,8399092.0,10082569.0,9557036.0,7704644.0
2019-12-20 16:39:34.209548,7016492.0,8639726.0,2267974.0,8461345.0,8474550.0,9413377.0,8399038.0,10082597.0,9557049.0,7704612.0
2019-12-20 16:39:34.324621,7026273.0,8636981.0,2302590.0,8461341.0,8473274.0,9413383.0,8398971.0,10082686.0,9557111.0,7704624.0
2019-12-20 16:39:34.442974,7044756.0,8635901.0,2361802.0,8461290.0,8472937.0,9413362.0,8398973.0,10082559.0,9557067.0,7704654.0
2019-12-20 16:39:34.558017,7037943.0,8636445.0,2334287.0,8461420.0,8473541.0,9413365.0,8398934.0,10082562.0,9556972.0,7704689.0
2019-12-20 16:39:34.677021,7027788.0,8637903.0,2302532.0,8461301.0,8473572.0,9413408.0,8399008.0,10082583.0,9556925.0,7704639.0
2019-12-20 16:39:34.791504,7027819.0,8637945.0,2304876.0,8461194.0,8473790.0,9413290.0,8399051.0,10082574.0,9556930.0,7704648.0
2019-12-20 16:39:34.906433,7019268.0,8639149.0,2274021.0,8461250.0,8472860.0,9413341.0,8399070.0,10082569.0,9556877.0,7704654.0
2019-12-20 16:39:35.024643,7013822.0,8639859.0,2256947.0,8461195.0,8473263.0,9413460.0,8399131.0,10082588.0,9556905.0,7704637.0
2019-12-20 16:39:35.139632,7009498.0,8640582.0,2242124.0,8461375.0,8472560.0,9413388.0,8399060.0,10082763.0,9556871.0,7704585.0
2019-12-20 16:39:35.258798,6996215.0,8642200.0,2199170.0,8461385.0,8473215.0,9413282.0,8399036.0,10082676.0,9556902.0,7704592.0
2019-12-20 16:39:35.372882,6992894.0,8642669.0,2189901.0,8461570.0,8475465.0,9413306.0,8399050.0,10082646.0,9556942.0,7704598.0
